YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,SHRIMP_EQUIVALENT_TONNES
2017,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,GUATEMALA,GUATEMALA,Shrimp equivalents,458329,88.56818
2018,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,GUATEMALA,GUATEMALA,Shrimp equivalents,1520800,256.6052
2015,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,ITALY,EUROPEAN UNION,Shrimp equivalents,144415.31,23.61
2016,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,ITALY,EUROPEAN UNION,Shrimp equivalents,263783.51,38.3025
2017,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,ITALY,EUROPEAN UNION,Shrimp equivalents,130540.5,16.1775
2018,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,ITALY,EUROPEAN UNION,Shrimp equivalents,390512,49.1025
2015,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,JAMAICA,JAMAICA,Shrimp equivalents,104642.5,13.38636
2016,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,JAMAICA,JAMAICA,Shrimp equivalents,845560.75,102.73201
2017,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,JAMAICA,JAMAICA,Shrimp equivalents,489169.8,58.49782
2016,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,JAPAN,JAPAN,Shrimp equivalents,2329571.43,246.51309
2017,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,JAPAN,JAPAN,Shrimp equivalents,2911862.99,320.6064
2018,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,JAPAN,JAPAN,Shrimp equivalents,1942826.4,226.7036
2018,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,NORTH KOREA,NORTH KOREA,Shrimp equivalents,2203861.5,417.3028
2015,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,PANAMA,PANAMA,Shrimp equivalents,146335.5,15.10909
2016,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,PANAMA,PANAMA,Shrimp equivalents,1084798.14,125.35499
2017,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,PANAMA,PANAMA,Shrimp equivalents,388689.8,32.82618
2018,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,PANAMA,PANAMA,Shrimp equivalents,1360562.3,135.22774
2016,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,PORTUGAL,EUROPEAN UNION,Shrimp equivalents,153206.41,20.904
2018,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,PORTUGAL,EUROPEAN UNION,Shrimp equivalents,1113547.3,149.0719
2014,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Shrimp equivalents,257836.5,20.0718
2015,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Shrimp equivalents,149446.25,32.121
2016,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Shrimp equivalents,1239318.13,239.407
2017,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Shrimp equivalents,3273762.79,647.489
2018,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Shrimp equivalents,4695101.3,1066.329
2016,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,SAUDI ARABIA,SAUDI ARABIA,Shrimp equivalents,332279.12,39.072
2017,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,SAUDI ARABIA,SAUDI ARABIA,Shrimp equivalents,1601007.9,171.252
2013,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,1734512.39,189
2014,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,2210143.61,231
2016,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,1546970.41,197.292
2017,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,1878128.04,255.312
2018,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,138479,17.28
2014,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,SPAIN,EUROPEAN UNION,Shrimp equivalents,174098.7,17
2015,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,SPAIN,EUROPEAN UNION,Shrimp equivalents,874247.11,120.716
2016,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,SPAIN,EUROPEAN UNION,Shrimp equivalents,4031208.5,537.7462
2017,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,SPAIN,EUROPEAN UNION,Shrimp equivalents,8957564.26,1191.3232
2018,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,SPAIN,EUROPEAN UNION,Shrimp equivalents,9477915.79,1368.9932
2017,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Shrimp equivalents,384729.68,40.644
2018,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Shrimp equivalents,3345987.8,395.856
2017,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,UNITED KINGDOM,EUROPEAN UNION,Shrimp equivalents,164820.5,17.298
2018,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,UNITED KINGDOM,EUROPEAN UNION,Shrimp equivalents,150182,17.118
2013,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,UNITED STATES,UNITED STATES,Shrimp equivalents,23577600.82,2008.21619
2014,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,UNITED STATES,UNITED STATES,Shrimp equivalents,22621735.31,2068.48393
2015,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,UNITED STATES,UNITED STATES,Shrimp equivalents,4177693.31,471.92741
2016,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,UNITED STATES,UNITED STATES,Shrimp equivalents,26981802.79,3112.8448
2017,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,UNITED STATES,UNITED STATES,Shrimp equivalents,25774755.59,3046.98152
2018,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,UNITED STATES,UNITED STATES,Shrimp equivalents,17601124.52,2485.83097
2016,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,VIETNAM,VIETNAM,Shrimp equivalents,1026175.41,146.14
2017,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,VIETNAM,VIETNAM,Shrimp equivalents,13204557.1,2044.30922
2018,PERU,PAITA,MARINAZUL S A,MARINAZUL S A,VIETNAM,VIETNAM,Shrimp equivalents,18459020.14,3423.19229999999
2013,PERU,PAITA,M.V.P. ENTERPRISE S.R.LTDA.,M.V.P. ENTERPRISE S.R.LTDA.,CANADA,CANADA,Shrimp equivalents,31632.8,3.41101
2014,PERU,PAITA,M.V.P. ENTERPRISE S.R.LTDA.,M.V.P. ENTERPRISE S.R.LTDA.,CANADA,CANADA,Shrimp equivalents,20450,2.02755
2015,PERU,PAITA,M.V.P. ENTERPRISE S.R.LTDA.,M.V.P. ENTERPRISE S.R.LTDA.,CANADA,CANADA,Shrimp equivalents,59045.6,5.39231
2018,PERU,PAITA,M.V.P. ENTERPRISE S.R.LTDA.,M.V.P. ENTERPRISE S.R.LTDA.,CANADA,CANADA,Shrimp equivalents,7920,0.79832
2015,PERU,PAITA,NATURAL FARM S.A.C,NATURAL FARM S.A.C,FRANCE,EUROPEAN UNION,Shrimp equivalents,387570.8,50.128
2016,PERU,PAITA,NATURAL FARM S.A.C,NATURAL FARM S.A.C,FRANCE,EUROPEAN UNION,Shrimp equivalents,986256.48,86.622
2017,PERU,PAITA,NATURAL FARM S.A.C,NATURAL FARM S.A.C,FRANCE,EUROPEAN UNION,Shrimp equivalents,686405,47.16
2014,PERU,PAITA,NATURAL FARM S.A.C,NATURAL FARM S.A.C,GERMANY,EUROPEAN UNION,Shrimp equivalents,760376,52.72
2017,PERU,PAITA,NATURAL FARM S.A.C,NATURAL FARM S.A.C,NETHERLANDS,EUROPEAN UNION,Shrimp equivalents,461226.59,28.01
2018,PERU,PAITA,NATURAL FARM S.A.C,NATURAL FARM S.A.C,NETHERLANDS,EUROPEAN UNION,Shrimp equivalents,1397782,87.222
2015,PERU,PAITA,NATURAL FARM S.A.C,NATURAL FARM S.A.C,SPAIN,EUROPEAN UNION,Shrimp equivalents,51901.85,8.449
2013,PERU,PAITA,NATURAL FARM S.A.C,NATURAL FARM S.A.C,UNITED STATES,UNITED STATES,Shrimp equivalents,463131,40.48312
2014,PERU,PAITA,NATURAL FARM S.A.C,NATURAL FARM S.A.C,UNITED STATES,UNITED STATES,Shrimp equivalents,671454.1,74.5517
2015,PERU,PAITA,NATURAL FARM S.A.C,NATURAL FARM S.A.C,UNITED STATES,UNITED STATES,Shrimp equivalents,124542.5,18.309
2015,PERU,PAITA,PACIFIC FREEZING COMPANY E.I.R.L.,PACIFIC FREEZING COMPANY E.I.R.L.,THAILAND,THAILAND,Shrimp equivalents,246482.8,52.444
2016,PERU,PAITA,PACIFIC FREEZING COMPANY E.I.R.L.,PACIFIC FREEZING COMPANY E.I.R.L.,THAILAND,THAILAND,Shrimp equivalents,77043.72,19.908
2013,PERU,PAITA,PACIFICO AZUL SAC,PACIFICO AZUL SAC,UKRAINE,UKRAINE,Shrimp equivalents,841095.23,143.605
2014,PERU,PAITA,PACIFICO AZUL SAC,PACIFICO AZUL SAC,UKRAINE,UKRAINE,Shrimp equivalents,128050.2,19.84
2013,PERU,PAITA,PACIFICO AZUL SAC,PACIFICO AZUL SAC,UNITED STATES,UNITED STATES,Shrimp equivalents,5882662.56,603.18069
2014,PERU,PAITA,PACIFICO AZUL SAC,PACIFICO AZUL SAC,UNITED STATES,UNITED STATES,Shrimp equivalents,1433380.49,116.38725
2016,PERU,PAITA,PERUPEZ S.A.C.,PERUPEZ S.A.C.,BELGIUM,EUROPEAN UNION,Shrimp equivalents,110124.35,21.8112
2015,PERU,PAITA,PERUPEZ S.A.C.,PERUPEZ S.A.C.,NETHERLANDS,EUROPEAN UNION,Shrimp equivalents,139344,22.8816
2016,PERU,PAITA,PERUPEZ S.A.C.,PERUPEZ S.A.C.,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,1830.62,0.25
2015,PERU,PAITA,PERUPEZ S.A.C.,PERUPEZ S.A.C.,UNITED STATES,UNITED STATES,Shrimp equivalents,192522,35.5028
2016,PERU,PAITA,PERUPEZ S.A.C.,PERUPEZ S.A.C.,UNITED STATES,UNITED STATES,Shrimp equivalents,3406,0.58112
2016,PERU,PAITA,PESQUERA ABC SAC,PESQUERA ABC SAC,ITALY,EUROPEAN UNION,Shrimp equivalents,769.9,0.104
2016,PERU,PAITA,PESQUERA ABC SAC,PESQUERA ABC SAC,SAUDI ARABIA,SAUDI ARABIA,Shrimp equivalents,1039.5,0.136
2016,PERU,PAITA,PESQUERA ABC SAC,PESQUERA ABC SAC,UNITED STATES,UNITED STATES,Shrimp equivalents,153399.5,22.96819
2016,PERU,PAITA,PESQUERA EXALMAR SA,PESQUERA EXALMAR SA,SPAIN,EUROPEAN UNION,Shrimp equivalents,52793.25,18.38
2015,PERU,PAITA,PESQUERA SAN SIMONE SOCIEDAD ANONIMA CER,PESQUERA SAN SIMONE SOCIEDAD ANONIMA CER,SPAIN,EUROPEAN UNION,Shrimp equivalents,18823.97,4.00428
2015,PERU,PAITA,PESQUERA SAN SIMONE SOCIEDAD ANONIMA CER,PESQUERA SAN SIMONE SOCIEDAD ANONIMA CER,UNITED STATES,UNITED STATES,Shrimp equivalents,5131.85,0.8172
2014,PERU,PAITA,PRODUCTORA ANDINA DE CONGELADOS COMERCIA,PRODUCTORA ANDINA DE CONGELADOS COMERCIA,SPAIN,EUROPEAN UNION,Shrimp equivalents,4607.5,0.95
2016,PERU,PAITA,PRODUCTORA ANDINA DE CONGELADOS COMERCIA,PRODUCTORA ANDINA DE CONGELADOS COMERCIA,SPAIN,EUROPEAN UNION,Shrimp equivalents,2356.2,0.495
2015,PERU,PAITA,PRODUPESCA S A C,PRODUPESCA S A C,UNITED STATES,UNITED STATES,Shrimp equivalents,193102,36.12409
2016,PERU,PAITA,PROVEEDORA DE PRODUCTOS MARINOS SOCIEDAD,PROVEEDORA DE PRODUCTOS MARINOS SOCIEDAD,UNITED STATES,UNITED STATES,Shrimp equivalents,141229.7,16.438
2018,PERU,PAITA,PROVEEDORA DE PRODUCTOS MARINOS SOCIEDAD,PROVEEDORA DE PRODUCTOS MARINOS SOCIEDAD,UNITED STATES,UNITED STATES,Shrimp equivalents,1066707,105.9685
2018,PERU,PAITA,QUICORNAC S A C,QUICORNAC S A C,NETHERLANDS,EUROPEAN UNION,Shrimp equivalents,27000,27
2017,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,CANADA,CANADA,Shrimp equivalents,313461.41,33.22564
2018,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,CANADA,CANADA,Shrimp equivalents,4816917.4,459.55073
2016,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,CHILE,CHILE,Shrimp equivalents,1,0.002
2018,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,CHILE,CHILE,Shrimp equivalents,1,0.001
2017,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,DENMARK,EUROPEAN UNION,Shrimp equivalents,298861.2,36.58
2018,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,DENMARK,EUROPEAN UNION,Shrimp equivalents,733920.2,79.02
2018,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,GERMANY,EUROPEAN UNION,Shrimp equivalents,397444,39.2062
2015,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,ITALY,EUROPEAN UNION,Shrimp equivalents,38133.32,6.49
2016,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,ITALY,EUROPEAN UNION,Shrimp equivalents,248181,36.36
2018,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,ITALY,EUROPEAN UNION,Shrimp equivalents,1717970,158.72
2017,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,MARTINIQUE,MARTINIQUE,Shrimp equivalents,149918.12,18.71
2015,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,MEXICO,MEXICO,Shrimp equivalents,588,0.1
2013,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,PANAMA,PANAMA,Shrimp equivalents,31887.39,4.97495
2016,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,PANAMA,PANAMA,Shrimp equivalents,334473.86,47.17903
2017,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,PANAMA,PANAMA,Shrimp equivalents,634901.99,85.22
2018,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,PANAMA,PANAMA,Shrimp equivalents,146000,24
2017,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,PORTUGAL,EUROPEAN UNION,Shrimp equivalents,292582,31.07
2018,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,PORTUGAL,EUROPEAN UNION,Shrimp equivalents,1159460,109.2015
2018,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Shrimp equivalents,223553,19.96
2016,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,154169,16.05717
2015,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,SPAIN,EUROPEAN UNION,Shrimp equivalents,350121.5,53.16
2016,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,SPAIN,EUROPEAN UNION,Shrimp equivalents,375919,54.8838
2018,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,SPAIN,EUROPEAN UNION,Shrimp equivalents,111427,9.4992
2016,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,UNITED STATES,UNITED STATES,Shrimp equivalents,385190.56,46.53132
2017,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,UNITED STATES,UNITED STATES,Shrimp equivalents,6260130.23,671.50446
2018,PERU,PAITA,SEAFROST S.A.C.,SEAFROST S.A.C.,UNITED STATES,UNITED STATES,Shrimp equivalents,19542639.47,1856.0051
2018,PERU,PAITA,SPRING VALLEY FRUIT S A C,SPRING VALLEY FRUIT S A C,ITALY,EUROPEAN UNION,Shrimp equivalents,88247.92,7.47
2015,PERU,PAITA,TUMIMAR SRL,TUMIMAR SRL,SPAIN,EUROPEAN UNION,Shrimp equivalents,588686.1,97.049
2016,PERU,PAITA,TUMIMAR SRL,TUMIMAR SRL,SPAIN,EUROPEAN UNION,Shrimp equivalents,243779,39.604
2013,PERU,PAITA,TUMIMAR SRL,TUMIMAR SRL,UNITED STATES,UNITED STATES,Shrimp equivalents,1371722.08,166.00929
2014,PERU,PAITA,TUMIMAR SRL,TUMIMAR SRL,UNITED STATES,UNITED STATES,Shrimp equivalents,1613171.2,172.73158
2015,PERU,PAITA,TUMIMAR SRL,TUMIMAR SRL,UNITED STATES,UNITED STATES,Shrimp equivalents,1182890.9,170.6278
2016,PERU,PAITA,TUMIMAR SRL,TUMIMAR SRL,UNITED STATES,UNITED STATES,Shrimp equivalents,1041590.47,130.03959
2017,PERU,PAITA,TUMIMAR SRL,TUMIMAR SRL,UNITED STATES,UNITED STATES,Shrimp equivalents,1005018.7,127.21594
2018,PERU,PAITA,TUMIMAR SRL,TUMIMAR SRL,UNITED STATES,UNITED STATES,Shrimp equivalents,743060.3,117.872
2015,PERU,PAITA,VIEIRA PERU S.A.,VIEIRA PERU S.A.,SPAIN,EUROPEAN UNION,Shrimp equivalents,329983,47.99
2013,PERU,PAITA,VIRAZON S A,VIRAZON S A,UNITED STATES,UNITED STATES,Shrimp equivalents,8083373.3,727.71664
2014,PERU,PAITA,VIRAZON S A,VIRAZON S A,UNITED STATES,UNITED STATES,Shrimp equivalents,9778919.91,859.88866
2015,PERU,PAITA,VIRAZON S A,VIRAZON S A,UNITED STATES,UNITED STATES,Shrimp equivalents,7448070.62,857.67695
2016,PERU,PAITA,VIRAZON S A,VIRAZON S A,UNITED STATES,UNITED STATES,Shrimp equivalents,6940664.21,711.60405
2017,PERU,PAITA,VIRAZON S A,VIRAZON S A,UNITED STATES,UNITED STATES,Shrimp equivalents,4975555.89,524.31558
2018,PERU,PAITA,VIRAZON S A,VIRAZON S A,UNITED STATES,UNITED STATES,Shrimp equivalents,3110274.8,365.40785
2013,PERU,PAITA,ZAPATA CHAVEZ RUPERTO ENRIQUE,ZAPATA CHAVEZ RUPERTO ENRIQUE,FRANCE,EUROPEAN UNION,Shrimp equivalents,55244.4,4.39
2013,PERU,PAITA,ZAPATA CHAVEZ RUPERTO ENRIQUE,ZAPATA CHAVEZ RUPERTO ENRIQUE,SPAIN,EUROPEAN UNION,Shrimp equivalents,311737.3,24.258
2016,PERU,PAITA,ZAPATA CHAVEZ RUPERTO ENRIQUE,ZAPATA CHAVEZ RUPERTO ENRIQUE,SPAIN,EUROPEAN UNION,Shrimp equivalents,660516.45,98.895
2017,PERU,PAITA,ZAPATA CHAVEZ RUPERTO ENRIQUE,ZAPATA CHAVEZ RUPERTO ENRIQUE,SPAIN,EUROPEAN UNION,Shrimp equivalents,295491.11,37.91
2013,PERU,PAITA,ZAPATA CHAVEZ RUPERTO ENRIQUE,ZAPATA CHAVEZ RUPERTO ENRIQUE,UNITED STATES,UNITED STATES,Shrimp equivalents,427112.41,43.22735
2014,PERU,PAITA,ZAPATA CHAVEZ RUPERTO ENRIQUE,ZAPATA CHAVEZ RUPERTO ENRIQUE,UNITED STATES,UNITED STATES,Shrimp equivalents,1308961.8,150.7109
2015,PERU,PAITA,ZAPATA CHAVEZ RUPERTO ENRIQUE,ZAPATA CHAVEZ RUPERTO ENRIQUE,UNITED STATES,UNITED STATES,Shrimp equivalents,1005984.5,161.75262
2016,PERU,PAITA,ZAPATA CHAVEZ RUPERTO ENRIQUE,ZAPATA CHAVEZ RUPERTO ENRIQUE,UNITED STATES,UNITED STATES,Shrimp equivalents,645975.2,91.48148
2017,PERU,PAITA,ZAPATA CHAVEZ RUPERTO ENRIQUE,ZAPATA CHAVEZ RUPERTO ENRIQUE,UNITED STATES,UNITED STATES,Shrimp equivalents,126975.2,18.72296
2018,PERU,PISCO,POLARIS E.I.R.L.,POLARIS E.I.R.L.,UNKNOWN COUNTRY,UNKNOWN COUNTRY,Shrimp equivalents,7600.9,2.75
2014,PERU,PISCO,TRITON MARITIME SERVICE S A,TRITON MARITIME SERVICE S A,UNKNOWN COUNTRY,UNKNOWN COUNTRY,Shrimp equivalents,12464.44,2.73307
2018,PERU,PUERTO DEL CALLAO,ALTAMAR FOODS PERU S A C,ALTAMAR FOODS PERU S A C,CANADA,CANADA,Shrimp equivalents,1,0.001
2015,PERU,PUERTO DEL CALLAO,APOLO SERVICE E I R L,APOLO SERVICE E I R L,UNKNOWN COUNTRY,UNKNOWN COUNTRY,Shrimp equivalents,46573.14,14.27444
2017,PERU,PUERTO DEL CALLAO,AUSTRAL GROUP S.A.A,AUSTRAL GROUP S.A.A,FRANCE,EUROPEAN UNION,Shrimp equivalents,64,2.06
2013,PERU,PUERTO DEL CALLAO,CONSORCIO SANGUINETI SOCIEDAD ANONIMA CE,CONSORCIO SANGUINETI SOCIEDAD ANONIMA CE,BELGIUM,EUROPEAN UNION,Shrimp equivalents,1.95,0.0011
2013,PERU,PUERTO DEL CALLAO,CONSORCIO SANGUINETI SOCIEDAD ANONIMA CE,CONSORCIO SANGUINETI SOCIEDAD ANONIMA CE,SPAIN,EUROPEAN UNION,Shrimp equivalents,0.58,0.00127
2014,PERU,PUERTO DEL CALLAO,CONSORCIO SANGUINETI SOCIEDAD ANONIMA CE,CONSORCIO SANGUINETI SOCIEDAD ANONIMA CE,UNITED STATES,UNITED STATES,Shrimp equivalents,10.8,0.00738
2015,PERU,PUERTO DEL CALLAO,CONSORCIO SANGUINETI SOCIEDAD ANONIMA CE,CONSORCIO SANGUINETI SOCIEDAD ANONIMA CE,UNITED STATES,UNITED STATES,Shrimp equivalents,100.01,0.052
2014,PERU,PUERTO DEL CALLAO,CORPORACION REFRIGERADOS INY SA,CORPORACION REFRIGERADOS INY SA,ARGENTINA,ARGENTINA,Shrimp equivalents,111736.03,11.1
2013,PERU,PUERTO DEL CALLAO,CORPORACION REFRIGERADOS INY SA,CORPORACION REFRIGERADOS INY SA,CHILE,CHILE,Shrimp equivalents,385705,41.625
2014,PERU,PUERTO DEL CALLAO,CORPORACION REFRIGERADOS INY SA,CORPORACION REFRIGERADOS INY SA,CHILE,CHILE,Shrimp equivalents,505835,46.35
2016,PERU,PUERTO DEL CALLAO,CORPORACION REFRIGERADOS INY SA,CORPORACION REFRIGERADOS INY SA,CHILE,CHILE,Shrimp equivalents,116750.68,11.625
2016,PERU,PUERTO DEL CALLAO,CORPORACION REFRIGERADOS INY SA,CORPORACION REFRIGERADOS INY SA,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,16,0.016
2014,PERU,PUERTO DEL CALLAO,CORPORACION REFRIGERADOS INY SA,CORPORACION REFRIGERADOS INY SA,DENMARK,EUROPEAN UNION,Shrimp equivalents,2.88,0.016
2013,PERU,PUERTO DEL CALLAO,CORPORACION REFRIGERADOS INY SA,CORPORACION REFRIGERADOS INY SA,FRANCE,EUROPEAN UNION,Shrimp equivalents,1.02,0.002
2015,PERU,PUERTO DEL CALLAO,CORPORACION REFRIGERADOS INY SA,CORPORACION REFRIGERADOS INY SA,FRANCE,EUROPEAN UNION,Shrimp equivalents,17.8,0.074
2015,PERU,PUERTO DEL CALLAO,CORPORACION REFRIGERADOS INY SA,CORPORACION REFRIGERADOS INY SA,GERMANY,EUROPEAN UNION,Shrimp equivalents,4.8,0.012
2015,PERU,PUERTO DEL CALLAO,CORPORACION REFRIGERADOS INY SA,CORPORACION REFRIGERADOS INY SA,JAPAN,JAPAN,Shrimp equivalents,93.44,0.064
2016,PERU,PUERTO DEL CALLAO,CORPORACION REFRIGERADOS INY SA,CORPORACION REFRIGERADOS INY SA,JAPAN,JAPAN,Shrimp equivalents,49,0.007
2014,PERU,PUERTO DEL CALLAO,CORPORACION REFRIGERADOS INY SA,CORPORACION REFRIGERADOS INY SA,PANAMA,PANAMA,Shrimp equivalents,5,0.009
2015,PERU,PUERTO DEL CALLAO,CORPORACION REFRIGERADOS INY SA,CORPORACION REFRIGERADOS INY SA,SOUTH KOREA,SOUTH KOREA,Shrimp equivalents,4,0.01
2014,PERU,PUERTO DEL CALLAO,CORPORACION REFRIGERADOS INY SA,CORPORACION REFRIGERADOS INY SA,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Shrimp equivalents,2.4,0.022
2014,PERU,PUERTO DEL CALLAO,CORPORACION REFRIGERADOS INY SA,CORPORACION REFRIGERADOS INY SA,UNITED STATES,UNITED STATES,Shrimp equivalents,1.5,0.008
2015,PERU,PUERTO DEL CALLAO,CORPORACION REFRIGERADOS INY SA,CORPORACION REFRIGERADOS INY SA,UNITED STATES,UNITED STATES,Shrimp equivalents,7.55,0.01038
2016,PERU,PUERTO DEL CALLAO,CORPORACION REFRIGERADOS INY SA,CORPORACION REFRIGERADOS INY SA,UNITED STATES,UNITED STATES,Shrimp equivalents,4.09,0.00272
2013,PERU,PUERTO DEL CALLAO,CRIADOR EL GUAMITO S.A.C.,CRIADOR EL GUAMITO S.A.C.,CHILE,CHILE,Shrimp equivalents,75390,12.28
2015,PERU,PUERTO DEL CALLAO,DEXIM SRL,DEXIM SRL,CANADA,CANADA,Shrimp equivalents,40.8,0.00408
2015,PERU,PUERTO DEL CALLAO,DON DELMAR FOODS SOCIEDAD ANONIMA CERRAD,DON DELMAR FOODS SOCIEDAD ANONIMA CERRAD,UNITED STATES,UNITED STATES,Shrimp equivalents,5,0.00204
2015,PERU,PUERTO DEL CALLAO,ECO - ACUICOLA SOCIEDAD ANONIMA CERRADA,ECO - ACUICOLA SOCIEDAD ANONIMA CERRADA,FRANCE,EUROPEAN UNION,Shrimp equivalents,2,0.004
2014,PERU,PUERTO DEL CALLAO,ECO - ACUICOLA SOCIEDAD ANONIMA CERRADA,ECO - ACUICOLA SOCIEDAD ANONIMA CERRADA,UNITED STATES,UNITED STATES,Shrimp equivalents,1,0.00227
2015,PERU,PUERTO DEL CALLAO,ECO - ACUICOLA SOCIEDAD ANONIMA CERRADA,ECO - ACUICOLA SOCIEDAD ANONIMA CERRADA,UNITED STATES,UNITED STATES,Shrimp equivalents,26,0.02847
2016,PERU,PUERTO DEL CALLAO,ECO - ACUICOLA SOCIEDAD ANONIMA CERRADA,ECO - ACUICOLA SOCIEDAD ANONIMA CERRADA,UNITED STATES,UNITED STATES,Shrimp equivalents,16,0.008
2015,PERU,PUERTO DEL CALLAO,GAM CORP S.A.,GAM CORP S.A.,UNITED STATES,UNITED STATES,Shrimp equivalents,10,0.00907
2015,PERU,PUERTO DEL CALLAO,GLOBAL TRADE LEADER S A C,GLOBAL TRADE LEADER S A C,UNKNOWN COUNTRY,UNKNOWN COUNTRY,Shrimp equivalents,12586.96,3.65
