YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,SUGARCANE_EQUIVALENT_TONNES
2017,BRAZIL,AEROPORTO INTERNACIONAL DE VIRACOPOS,HONDA TRADING BRASIL LTDA,HONDA TRADING BRASIL LTDA,JAPAN,JAPAN,Sugarcane equivalents,4450,0.62216349
2017,BRAZIL,AEROPORTO INTERNACIONAL DE VIRACOPOS,RAIZEN ENERGIA S.A,RAIZEN ENERGIA S.A,JAPAN,JAPAN,Sugarcane equivalents,140,0.380385
2017,BRAZIL,ASSIS BRASIL,USINAS ITAMARATI,USINAS ITAMARATI,PERU,PERU,Sugarcane equivalents,713376,10224.7488
2015,BRAZIL,BAGE,E D & F MAN BRASIL S/A.,E D & F MAN BRASIL S/A.,URUGUAY,URUGUAY,Sugarcane equivalents,750806,20244.0897
2016,BRAZIL,BAGE,E D & F MAN BRASIL S/A.,E D & F MAN BRASIL S/A.,URUGUAY,URUGUAY,Sugarcane equivalents,1024822,21978.6453
2017,BRAZIL,BAGE,E D & F MAN BRASIL S/A.,E D & F MAN BRASIL S/A.,URUGUAY,URUGUAY,Sugarcane equivalents,1124382,23416.5006
2016,BRAZIL,BAGE,MARIA ELISABETE MACHADO DA SILVA,MARIA ELISABETE MACHADO DA SILVA,URUGUAY,URUGUAY,Sugarcane equivalents,164964,1762.171551
2017,BRAZIL,BAGE,MARIA ELISABETE MACHADO DA SILVA,MARIA ELISABETE MACHADO DA SILVA,URUGUAY,URUGUAY,Sugarcane equivalents,64713,639.0468
2017,BRAZIL,BAGE,NARDINI AGROINDUSTRIAL,NARDINI AGROINDUSTRIAL,URUGUAY,URUGUAY,Sugarcane equivalents,418512,8627.1318
2017,BRAZIL,BAGE,USINA ALTA MOGIANA S/A-ACUCAR E ALCOOL,USINA ALTA MOGIANA S/A-ACUCAR E ALCOOL,URUGUAY,URUGUAY,Sugarcane equivalents,463530,7600.0923
2015,BRAZIL,BAGE,USINA SANTA FE S/A.,USINA SANTA FE S/A.,URUGUAY,URUGUAY,Sugarcane equivalents,415451,12735.2898
2016,BRAZIL,BAGE,USINA SANTA FE S/A.,USINA SANTA FE S/A.,URUGUAY,URUGUAY,Sugarcane equivalents,1358053,31427.4087
2017,BRAZIL,BAGE,USINA SANTA FE S/A.,USINA SANTA FE S/A.,URUGUAY,URUGUAY,Sugarcane equivalents,213602,4929.7896
2017,BRAZIL,BONFIM,MERCANTIL NOVA ERA LTDA,MERCANTIL NOVA ERA LTDA,GUYANA,GUYANA,Sugarcane equivalents,840,11.41155
2017,BRAZIL,BONFIM,RICCA COMERCIO LTDA - EPP,RICCA COMERCIO LTDA - EPP,GUYANA,GUYANA,Sugarcane equivalents,937,11.41155
2015,BRAZIL,BRASILEIA,M P ROCA IMPORTACAO E EXPORTACAO - ME,M P ROCA IMPORTACAO E EXPORTACAO - ME,BOLIVIA,BOLIVIA,Sugarcane equivalents,32935,563.274108
2016,BRAZIL,BRASILEIA,N CHAMI IMP E EXP EIRELI - EPP,N CHAMI IMP E EXP EIRELI - EPP,BOLIVIA,BOLIVIA,Sugarcane equivalents,324210,3118.091922
2017,BRAZIL,BRASILEIA,N CHAMI IMP E EXP EIRELI - EPP,N CHAMI IMP E EXP EIRELI - EPP,BOLIVIA,BOLIVIA,Sugarcane equivalents,618547,6759.289296
2015,BRAZIL,BRASILEIA,N. CHAMI IMP. E EXP. - EPP,N. CHAMI IMP. E EXP. - EPP,BOLIVIA,BOLIVIA,Sugarcane equivalents,614681,9822.605778
2016,BRAZIL,BRASILEIA,N. CHAMI IMP. E EXP. - EPP,N. CHAMI IMP. E EXP. - EPP,BOLIVIA,BOLIVIA,Sugarcane equivalents,660515,7653.498354
2015,BRAZIL,BRASILEIA,RARO DISTRIBUIDORA IMPORTACAO E EXPORTACAO LTDA - EPP,RARO DISTRIBUIDORA IMPORTACAO E EXPORTACAO LTDA - EPP,BOLIVIA,BOLIVIA,Sugarcane equivalents,62334,844.911162
2015,BRAZIL,CACERES,COMERCIAL ZAMBI DE PRODUTOS ALIMENTICIOS LTDA - ME,COMERCIAL ZAMBI DE PRODUTOS ALIMENTICIOS LTDA - ME,BOLIVIA,BOLIVIA,Sugarcane equivalents,3013,74.022921
2015,BRAZIL,CAMPINAS,IFF ESSENCIAS E FRAGRANCIAS LTDA,IFF ESSENCIAS E FRAGRANCIAS LTDA,JAPAN,JAPAN,Sugarcane equivalents,988,0.09
2016,BRAZIL,CAMPINAS,ODEBRECHT SERVICOS DE EXPORTACAO S.A,ODEBRECHT SERVICOS DE EXPORTACAO S.A,ANGOLA,ANGOLA,Sugarcane equivalents,9,0.0152154
2015,BRAZIL,CAMPINAS,RAIZEN ENERGIA S.A,RAIZEN ENERGIA S.A,JAPAN,JAPAN,Sugarcane equivalents,267,0.380385
2017,BRAZIL,CHUI,AKILA TRADING EXPORTADORA E IMPORTADORA,AKILA TRADING EXPORTADORA E IMPORTADORA,URUGUAY,URUGUAY,Sugarcane equivalents,77754,1704.1248
2015,BRAZIL,CHUI,ARCO IRIS BRASIL IND COM DE PRODUTOS ALIMENTICIOS LTDA,ARCO IRIS BRASIL IND COM DE PRODUTOS ALIMENTICIOS LTDA,URUGUAY,URUGUAY,Sugarcane equivalents,827,1.2476628
2017,BRAZIL,CHUI,BIOETAL COMERCIO E TRANSPORTES LTDA - ME,BIOETAL COMERCIO E TRANSPORTES LTDA - ME,URUGUAY,URUGUAY,Sugarcane equivalents,35713,770.2064948
2017,BRAZIL,CHUI,BIOSEV BIOENERGIA SA,LOUIS DREYFUS,URUGUAY,URUGUAY,Sugarcane equivalents,104312,2034.3150832
2015,BRAZIL,CHUI,CANEX EXPORTACAO LTDA,CANEX EXPORTACAO LTDA,URUGUAY,URUGUAY,Sugarcane equivalents,36775,1027.0395
2015,BRAZIL,CHUI,"COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A",URUGUAY,URUGUAY,Sugarcane equivalents,231980,4313.5659
2016,BRAZIL,CHUI,"COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A",URUGUAY,URUGUAY,Sugarcane equivalents,184310,3867.75468
2016,BRAZIL,CHUI,DACOLONIA ALIMENTOS NATURAIS LTDA.,DACOLONIA ALIMENTOS NATURAIS LTDA.,URUGUAY,URUGUAY,Sugarcane equivalents,1189,3.88285
2017,BRAZIL,CHUI,DACOLONIA ALIMENTOS NATURAIS LTDA.,DACOLONIA ALIMENTOS NATURAIS LTDA.,URUGUAY,URUGUAY,Sugarcane equivalents,9327,38.0385
2017,BRAZIL,CHUI,DUAS RODAS INDUSTRIAL LTDA,DUAS RODAS INDUSTRIAL LTDA,URUGUAY,URUGUAY,Sugarcane equivalents,10936,66.4380441
2017,BRAZIL,CHUI,F. PACHE DO BRASIL IMPORTACAO E EXPORTACAO LTDA.,F. PACHE DO BRASIL IMPORTACAO E EXPORTACAO LTDA.,URUGUAY,URUGUAY,Sugarcane equivalents,13390,197.8002
2015,BRAZIL,CHUI,INDUSTRIA DE PRODUTOS ALIMENTICIOS MAVALERIO LTDA,INDUSTRIA DE PRODUTOS ALIMENTICIOS MAVALERIO LTDA,URUGUAY,URUGUAY,Sugarcane equivalents,9010,60.6790152
2016,BRAZIL,CHUI,INDUSTRIA DE PRODUTOS ALIMENTICIOS MAVALERIO LTDA,INDUSTRIA DE PRODUTOS ALIMENTICIOS MAVALERIO LTDA,URUGUAY,URUGUAY,Sugarcane equivalents,2768,12.9635208
2017,BRAZIL,CHUI,INDUSTRIA DE PRODUTOS ALIMENTICIOS MAVALERIO LTDA,INDUSTRIA DE PRODUTOS ALIMENTICIOS MAVALERIO LTDA,URUGUAY,URUGUAY,Sugarcane equivalents,10307,56.0763567
2016,BRAZIL,CHUI,JALLES MACHADO,JALLES MACHADO,URUGUAY,URUGUAY,Sugarcane equivalents,8000,76.077
2017,BRAZIL,CHUI,JALLES MACHADO,JALLES MACHADO,URUGUAY,URUGUAY,Sugarcane equivalents,9500,76.077
2016,BRAZIL,CHUI,MIX INDUSTRIA DE PRODUTOS ALIMENTICIOS LTDA,MIX INDUSTRIA DE PRODUTOS ALIMENTICIOS LTDA,URUGUAY,URUGUAY,Sugarcane equivalents,6235,35.7942285
2017,BRAZIL,CHUI,RAIZEN ENERGIA S.A,RAIZEN ENERGIA S.A,URUGUAY,URUGUAY,Sugarcane equivalents,345536,7700.46198717
2015,BRAZIL,CHUI,SANCHEZ CANO LTDA,SANCHEZ CANO LTDA,URUGUAY,URUGUAY,Sugarcane equivalents,2172,2.738772
2017,BRAZIL,CHUI,TEREOS ACUCAR E ENERGIA BRASIL S.A.,TEREOS ACUCAR E ENERGIA BRASIL S.A.,URUGUAY,URUGUAY,Sugarcane equivalents,144600,3043.08
2017,BRAZIL,CHUI,USINA ACUCAREIRA ESTER,USINA ACUCAREIRA ESTER,URUGUAY,URUGUAY,Sugarcane equivalents,168801,3547.4485967
2015,BRAZIL,CHUI,USINA SANTA ISABEL,USINA SANTA ISABEL,URUGUAY,URUGUAY,Sugarcane equivalents,75600,2054.079
2017,BRAZIL,CHUI,WORLD TROTTER COMERCIAL IMPORTADORA E EXPORTADORA LTDA - EPP,WORLD TROTTER COMERCIAL IMPORTADORA E EXPORTADORA LTDA - EPP,URUGUAY,URUGUAY,Sugarcane equivalents,2032,4.8232818
2015,BRAZIL,CHUI,WORLD TROTTER COMERCIAL IMPORTADORA E EXPORTADORA LTDA,WORLD TROTTER COMERCIAL IMPORTADORA E EXPORTADORA LTDA,URUGUAY,URUGUAY,Sugarcane equivalents,2605,7.6229154
2016,BRAZIL,CHUI,WORLD TROTTER COMERCIAL IMPORTADORA E EXPORTADORA LTDA,WORLD TROTTER COMERCIAL IMPORTADORA E EXPORTADORA LTDA,URUGUAY,URUGUAY,Sugarcane equivalents,3120,11.41155
2017,BRAZIL,CORUMBA,ANJO QUIMICA DO BRASIL LTDA,ANJO QUIMICA DO BRASIL LTDA,BOLIVIA,BOLIVIA,Sugarcane equivalents,3262,42.30711732
2015,BRAZIL,CORUMBA,ATACADO FERNANDES DE GENEROS ALIMENTICIOS IMPORTADORA E EXP,ATACADO FERNANDES DE GENEROS ALIMENTICIOS IMPORTADORA E EXP,BOLIVIA,BOLIVIA,Sugarcane equivalents,633660,15725.1159
2015,BRAZIL,CORUMBA,BIAVA DISTRIBUIDORA DE BEBIDAS,BIAVA DISTRIBUIDORA DE BEBIDAS,BOLIVIA,BOLIVIA,Sugarcane equivalents,149239,3504.10662
2017,BRAZIL,CORUMBA,C Q A COMERCIAL QUIMICA AMERICANA LTDA,C Q A COMERCIAL QUIMICA AMERICANA LTDA,BOLIVIA,BOLIVIA,Sugarcane equivalents,15,0.0228231
2015,BRAZIL,CORUMBA,"EXPORTRADE EXPORTACAO, IMPORTACAO E REPRESENTACOES LTDA","EXPORTRADE EXPORTACAO, IMPORTACAO E REPRESENTACOES LTDA",BOLIVIA,BOLIVIA,Sugarcane equivalents,30000,593.4006
2015,BRAZIL,CORUMBA,INDUSTRIA DE PRODUTOS ALIMENTICIOS MAVALERIO LTDA,INDUSTRIA DE PRODUTOS ALIMENTICIOS MAVALERIO LTDA,BOLIVIA,BOLIVIA,Sugarcane equivalents,10891,50.0282352
2016,BRAZIL,CORUMBA,INDUSTRIA DE PRODUTOS ALIMENTICIOS MAVALERIO LTDA,INDUSTRIA DE PRODUTOS ALIMENTICIOS MAVALERIO LTDA,BOLIVIA,BOLIVIA,Sugarcane equivalents,5713,46.4906547
2017,BRAZIL,CORUMBA,MARNEW COMERCIO INTERNACIONAL LTDA,MARNEW COMERCIO INTERNACIONAL LTDA,BOLIVIA,BOLIVIA,Sugarcane equivalents,2800,12.6027989
2016,BRAZIL,CORUMBA,USINA SAO FRANCISCO S/A,USINA SAO FRANCISCO S/A,BOLIVIA,BOLIVIA,Sugarcane equivalents,7000,76.077
2015,BRAZIL,FORTALEZA,PRONUTRE- PRODUTOS NUTRIENTES INDUSTRIAIS LTDA - ME,PRONUTRE- PRODUTOS NUTRIENTES INDUSTRIAIS LTDA - ME,CAPE VERDE,CAPE VERDE,Sugarcane equivalents,920,3.1039416
2015,BRAZIL,FOZ DO IGUACU,"ACW COMERCIO, IMPORTACAO E EXPORTACAO DE MANUFATURADOS","ACW COMERCIO, IMPORTACAO E EXPORTACAO DE MANUFATURADOS",PARAGUAY,PARAGUAY,Sugarcane equivalents,81,0.122
2017,BRAZIL,FOZ DO IGUACU,ALCOOL FERREIRA S A,ALCOOL FERREIRA S A,PARAGUAY,PARAGUAY,Sugarcane equivalents,10588,129.72906412
2015,BRAZIL,FOZ DO IGUACU,ALIMENTOS ZAELI,ALIMENTOS ZAELI,PARAGUAY,PARAGUAY,Sugarcane equivalents,596,3.04308
2016,BRAZIL,FOZ DO IGUACU,ALIMENTOS ZAELI,ALIMENTOS ZAELI,PARAGUAY,PARAGUAY,Sugarcane equivalents,1208,5.5155825
2017,BRAZIL,FOZ DO IGUACU,AMERICA FOZ IMPORTACAO E EXPORTACAO DE PRODUTOS AGRICOLAS E,AMERICA FOZ IMPORTACAO E EXPORTACAO DE PRODUTOS AGRICOLAS E,PARAGUAY,PARAGUAY,Sugarcane equivalents,35,0.08737225
2015,BRAZIL,FOZ DO IGUACU,EDEN STADIKOWSKI & CIA LTDA,EDEN STADIKOWSKI & CIA LTDA,PARAGUAY,PARAGUAY,Sugarcane equivalents,201,1.0498626
2017,BRAZIL,FOZ DO IGUACU,E D & F MAN BRASIL S/A.,E D & F MAN BRASIL S/A.,PARAGUAY,PARAGUAY,Sugarcane equivalents,615132,11411.55
2017,BRAZIL,FOZ DO IGUACU,FARIAS E KLEIN LTDA,FARIAS E KLEIN LTDA,PARAGUAY,PARAGUAY,Sugarcane equivalents,67,0.04785873
2017,BRAZIL,FOZ DO IGUACU,NELLO COMERCIO ATACADISTA DE ALIMENTOS LTDA - EPP,NELLO COMERCIO ATACADISTA DE ALIMENTOS LTDA - EPP,PARAGUAY,PARAGUAY,Sugarcane equivalents,6461,45.6462
2017,BRAZIL,FOZ DO IGUACU,NUVA TRADING LTDA,NUVA TRADING LTDA,PARAGUAY,PARAGUAY,Sugarcane equivalents,550319,17071.6788
2015,BRAZIL,GUAIRA,IRACEMA ZEFERINO RODRIGUES,IRACEMA ZEFERINO RODRIGUES,PARAGUAY,PARAGUAY,Sugarcane equivalents,593,2.054079
2017,BRAZIL,GUAIRA,RAIZEN PARAGUACU,RAIZEN PARAGUACU,PARAGUAY,PARAGUAY,Sugarcane equivalents,76278,1898.88192
2017,BRAZIL,GUAIRA,RECCA-EXPORTADORA DE ALIMENTOS LTDA.,RECCA-EXPORTADORA DE ALIMENTOS LTDA.,PARAGUAY,PARAGUAY,Sugarcane equivalents,22135,309.35883072
2017,BRAZIL,GUAJARA-MIRIM,AMAZONIA COMERCIO E ATACADO DE GENEROS ALIMENTICIOS EIRELI,AMAZONIA COMERCIO E ATACADO DE GENEROS ALIMENTICIOS EIRELI,BOLIVIA,BOLIVIA,Sugarcane equivalents,283724,3657.1583286
2015,BRAZIL,GUAJARA-MIRIM,COIMBRA IMPORTACAO E EXPORTACAO,COIMBRA IMPORTACAO E EXPORTACAO,BOLIVIA,BOLIVIA,Sugarcane equivalents,391809,7391.869551
2016,BRAZIL,GUAJARA-MIRIM,COIMBRA IMPORTACAO E EXPORTACAO,COIMBRA IMPORTACAO E EXPORTACAO,BOLIVIA,BOLIVIA,Sugarcane equivalents,164684,2063.2310631
2017,BRAZIL,GUAJARA-MIRIM,COIMBRA IMPORTACAO E EXPORTACAO,COIMBRA IMPORTACAO E EXPORTACAO,BOLIVIA,BOLIVIA,Sugarcane equivalents,665715,9904.7917611
2015,BRAZIL,GUAJARA-MIRIM,DISTRIBUIDORA DE ALIMENTOS PIARARA LTDA,DISTRIBUIDORA DE ALIMENTOS PIARARA LTDA,BOLIVIA,BOLIVIA,Sugarcane equivalents,72977,1488.06612
2016,BRAZIL,GUAJARA-MIRIM,DISTRIBUIDORA DE ALIMENTOS PIARARA LTDA,DISTRIBUIDORA DE ALIMENTOS PIARARA LTDA,BOLIVIA,BOLIVIA,Sugarcane equivalents,24671,317.24109
2015,BRAZIL,GUAJARA-MIRIM,J. C. DA SILVA COM. E REPRESENTACAO  - ME,J. C. DA SILVA COM. E REPRESENTACAO  - ME,BOLIVIA,BOLIVIA,Sugarcane equivalents,16960,287.799291
2015,BRAZIL,GUAJARA-MIRIM,M S COMERCIAL IMPORTADORA E EXPORTADORA DE ALIMENTOS,M S COMERCIAL IMPORTADORA E EXPORTADORA DE ALIMENTOS,BOLIVIA,BOLIVIA,Sugarcane equivalents,1815157,31395.304206
2016,BRAZIL,GUAJARA-MIRIM,M S COMERCIAL IMPORTADORA E EXPORTADORA DE ALIMENTOS,M S COMERCIAL IMPORTADORA E EXPORTADORA DE ALIMENTOS,BOLIVIA,BOLIVIA,Sugarcane equivalents,1696762,21585.0381174
2017,BRAZIL,GUAJARA-MIRIM,M S COMERCIAL IMPORTADORA E EXPORTADORA DE ALIMENTOS,M S COMERCIAL IMPORTADORA E EXPORTADORA DE ALIMENTOS,BOLIVIA,BOLIVIA,Sugarcane equivalents,2052627,26248.6723329
2017,BRAZIL,GUAJARA-MIRIM,N. C. ACRE ALIMENTOS EXPORTACAO E IMPORTACAO LTDA - ME,N. C. ACRE ALIMENTOS EXPORTACAO E IMPORTACAO LTDA - ME,BOLIVIA,BOLIVIA,Sugarcane equivalents,26722,282.321747
2016,BRAZIL,GUAJARA-MIRIM,RONDONIA COMERCIO DE GENEROS ALIMENTICIOS EIRELI  - ME,RONDONIA COMERCIO DE GENEROS ALIMENTICIOS EIRELI  - ME,BOLIVIA,BOLIVIA,Sugarcane equivalents,44715,575.4616434
2015,BRAZIL,GUAJARA-MIRIM,RUI DE QUEIROZ LOPES DA SILVA - ME,RUI DE QUEIROZ LOPES DA SILVA - ME,BOLIVIA,BOLIVIA,Sugarcane equivalents,840036,13803.41088
2016,BRAZIL,GUAJARA-MIRIM,RUI DE QUEIROZ LOPES DA SILVA - ME,RUI DE QUEIROZ LOPES DA SILVA - ME,BOLIVIA,BOLIVIA,Sugarcane equivalents,1072729,12472.367688
2017,BRAZIL,GUAJARA-MIRIM,RUI DE QUEIROZ LOPES DA SILVA - ME,RUI DE QUEIROZ LOPES DA SILVA - ME,BOLIVIA,BOLIVIA,Sugarcane equivalents,1266684,16514.79516
2017,BRAZIL,ITAJAI,AGROVAL-AGROINDUSTRIAL VALE DO PARAIBA,AGROVAL-AGROINDUSTRIAL VALE DO PARAIBA,SOUTH AFRICA,SOUTH AFRICA,Sugarcane equivalents,2381793,35604.036
2017,BRAZIL,ITAJAI,APTI ALIMENTOS LTDA,APTI ALIMENTOS LTDA,CAPE VERDE,CAPE VERDE,Sugarcane equivalents,272,1.7117325
2017,BRAZIL,ITAJAI,COMPANHIA ALCOOLQUIMICA NACIONAL-ALCOOLQUIMICA,COMPANHIA ALCOOLQUIMICA NACIONAL-ALCOOLQUIMICA,CONGO DEMOCRATIC REPUBLIC OF THE,CONGO DEMOCRATIC REPUBLIC OF THE,Sugarcane equivalents,1139390,16356.555
2016,BRAZIL,ITAJAI,DACOLONIA ALIMENTOS NATURAIS LTDA.,DACOLONIA ALIMENTOS NATURAIS LTDA.,ANGOLA,ANGOLA,Sugarcane equivalents,67463,248.61102
2017,BRAZIL,ITAJAI,DORAEXPORT COMERCIO INTERNACIONAL LTDA,DORAEXPORT COMERCIO INTERNACIONAL LTDA,ANGOLA,ANGOLA,Sugarcane equivalents,80178,182.5848
2016,BRAZIL,ITAJAI,JPM COMERCIO E EXPORTACAO LTDA,JPM COMERCIO E EXPORTACAO LTDA,UNITED STATES,UNITED STATES,Sugarcane equivalents,452,1.141155
2017,BRAZIL,ITAJAI,JPM COMERCIO E EXPORTACAO LTDA,JPM COMERCIO E EXPORTACAO LTDA,UNITED STATES,UNITED STATES,Sugarcane equivalents,963,16.73694
2016,BRAZIL,ITAJAI,PRODUTOS NATURAIS PLANETA VERDE LTDA,PRODUTOS NATURAIS PLANETA VERDE LTDA,CHINA (MAINLAND),CHINA (MAINLAND),Sugarcane equivalents,40000,152.154
2015,BRAZIL,ITAJAI,PRODUTOS NATURAIS PLANETA VERDE LTDA,PRODUTOS NATURAIS PLANETA VERDE LTDA,GERMANY,EUROPEAN UNION,Sugarcane equivalents,111456,456.690231
2016,BRAZIL,ITAJAI,PRODUTOS NATURAIS PLANETA VERDE LTDA,PRODUTOS NATURAIS PLANETA VERDE LTDA,JAPAN,JAPAN,Sugarcane equivalents,595012,2313.349416
2017,BRAZIL,ITAJAI,PRODUTOS NATURAIS PLANETA VERDE LTDA,PRODUTOS NATURAIS PLANETA VERDE LTDA,JAPAN,JAPAN,Sugarcane equivalents,191860,722.9216925
2015,BRAZIL,ITAJAI,PRODUTOS NATURAIS PLANETA VERDE LTDA,PRODUTOS NATURAIS PLANETA VERDE LTDA,UNITED STATES,UNITED STATES,Sugarcane equivalents,172088,608.920308
2016,BRAZIL,ITAJAI,PRODUTOS NATURAIS PLANETA VERDE LTDA,PRODUTOS NATURAIS PLANETA VERDE LTDA,UNITED STATES,UNITED STATES,Sugarcane equivalents,86044,304.460154
2015,BRAZIL,ITAJAI,TRIBAL BRASIL ALIMENTOS LTDA - EPP,TRIBAL BRASIL ALIMENTOS LTDA - EPP,UNITED STATES,UNITED STATES,Sugarcane equivalents,7315,25.2956025
2016,BRAZIL,ITAJAI,USINA BATATAIS S/A ACUCAR E ALCOOL,USINA BATATAIS S/A ACUCAR E ALCOOL,ANGOLA,ANGOLA,Sugarcane equivalents,299329,5135.1975
2016,BRAZIL,ITAJAI,USINA BATATAIS S/A ACUCAR E ALCOOL,USINA BATATAIS S/A ACUCAR E ALCOOL,DJIBOUTI,DJIBOUTI,Sugarcane equivalents,610631,10475.8029
2016,BRAZIL,ITAJAI,USINA BATATAIS S/A ACUCAR E ALCOOL,USINA BATATAIS S/A ACUCAR E ALCOOL,GAMBIA,GAMBIA,Sugarcane equivalents,119732,2054.079
2016,BRAZIL,ITAJAI,USINA BATATAIS S/A ACUCAR E ALCOOL,USINA BATATAIS S/A ACUCAR E ALCOOL,GHANA,GHANA,Sugarcane equivalents,143678,2464.8948
2016,BRAZIL,ITAJAI,USINA BATATAIS S/A ACUCAR E ALCOOL,USINA BATATAIS S/A ACUCAR E ALCOOL,MYANMAR,MYANMAR,Sugarcane equivalents,359195,6162.237
2016,BRAZIL,ITAJAI,USINA BATATAIS S/A ACUCAR E ALCOOL,USINA BATATAIS S/A ACUCAR E ALCOOL,SRI LANKA,SRI LANKA,Sugarcane equivalents,275382,4724.3817
2017,BRAZIL,ITAJAI,USINA IPOJUCA S/A,USINA IPOJUCA S/A,SOUTH AFRICA,SOUTH AFRICA,Sugarcane equivalents,333234,6162.237
2015,BRAZIL,ITAJAI,USINA SERRA GRANDE SA,USINA SERRA GRANDE SA,ANGOLA,ANGOLA,Sugarcane equivalents,95734,3081.1185
2017,BRAZIL,ITAJAI,USINA SERRA GRANDE SA,USINA SERRA GRANDE SA,SOUTH AFRICA,SOUTH AFRICA,Sugarcane equivalents,494972,7189.2765
2017,BRAZIL,ITAJAI,USINA TRAPICHE S/A,USINA TRAPICHE S/A,SOUTH AFRICA,SOUTH AFRICA,Sugarcane equivalents,297886,4108.158
2015,BRAZIL,JAGUARAO,AKILA TRADING EXPORTADORA E IMPORTADORA,AKILA TRADING EXPORTADORA E IMPORTADORA,URUGUAY,URUGUAY,Sugarcane equivalents,1575834,34736.7582
2016,BRAZIL,JAGUARAO,AKILA TRADING EXPORTADORA E IMPORTADORA,AKILA TRADING EXPORTADORA E IMPORTADORA,URUGUAY,URUGUAY,Sugarcane equivalents,1989503,39347.0244
2017,BRAZIL,JAGUARAO,AKILA TRADING EXPORTADORA E IMPORTADORA,AKILA TRADING EXPORTADORA E IMPORTADORA,URUGUAY,URUGUAY,Sugarcane equivalents,2039348,41271.7725
2015,BRAZIL,JAGUARAO,ANDRADE ACUCAR E ALCOOL,ANDRADE ACUCAR E ALCOOL,URUGUAY,URUGUAY,Sugarcane equivalents,358828,10270.395
2016,BRAZIL,JAGUARAO,ANDRADE ACUCAR E ALCOOL,ANDRADE ACUCAR E ALCOOL,URUGUAY,URUGUAY,Sugarcane equivalents,354985,8216.316
2017,BRAZIL,JAGUARAO,ANDRADE ACUCAR E ALCOOL,ANDRADE ACUCAR E ALCOOL,URUGUAY,URUGUAY,Sugarcane equivalents,207695,3697.3422
2016,BRAZIL,JAGUARAO,COMPANHIA ENERGETICA SAO JOSE,COMPANHIA ENERGETICA SAO JOSE,URUGUAY,URUGUAY,Sugarcane equivalents,899013,19947.3894
2017,BRAZIL,JAGUARAO,COMPANHIA ENERGETICA SAO JOSE,COMPANHIA ENERGETICA SAO JOSE,URUGUAY,URUGUAY,Sugarcane equivalents,1899839,39013.80714
2015,BRAZIL,JAGUARAO,"COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A",URUGUAY,URUGUAY,Sugarcane equivalents,2095962,43957.2906
2016,BRAZIL,JAGUARAO,"COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E A",URUGUAY,URUGUAY,Sugarcane equivalents,668618,17003.2095
2016,BRAZIL,JAGUARAO,"COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E ALCOOL","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E ALCOOL",URUGUAY,URUGUAY,Sugarcane equivalents,96772,2464.8948
2017,BRAZIL,JAGUARAO,"COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E ALCOOL","COOPERATIVA DE PRODUTORES DE CANA-DE-ACUCAR, ACUCAR E ALCOOL",URUGUAY,URUGUAY,Sugarcane equivalents,693517,11347.64532
2017,BRAZIL,JAGUARAO,DACOLONIA ALIMENTOS NATURAIS LTDA.,DACOLONIA ALIMENTOS NATURAIS LTDA.,URUGUAY,URUGUAY,Sugarcane equivalents,1804,7.6077
2015,BRAZIL,JAGUARAO,E D & F MAN BRASIL S/A.,E D & F MAN BRASIL S/A.,URUGUAY,URUGUAY,Sugarcane equivalents,847212,19209.4425
2015,BRAZIL,JAGUARAO,GUARANI,GUARANI,URUGUAY,URUGUAY,Sugarcane equivalents,219140,4420.0737
2016,BRAZIL,JAGUARAO,GUARANI,GUARANI,URUGUAY,URUGUAY,Sugarcane equivalents,214317,4693.9509
2017,BRAZIL,JAGUARAO,GUARANI,GUARANI,URUGUAY,URUGUAY,Sugarcane equivalents,77091,1437.8553
2017,BRAZIL,JAGUARAO,JALLES MACHADO,JALLES MACHADO,URUGUAY,URUGUAY,Sugarcane equivalents,9000,76.077
2015,BRAZIL,JAGUARAO,NARDINI AGROINDUSTRIAL,NARDINI AGROINDUSTRIAL,URUGUAY,URUGUAY,Sugarcane equivalents,219912,4929.7896
2015,BRAZIL,JAGUARAO,NUVA TRADING LTDA,NUVA TRADING LTDA,URUGUAY,URUGUAY,Sugarcane equivalents,26371,611.65908
2017,BRAZIL,JAGUARAO,RAIZEN ARARAQUARA ACUCAR E ALCOOL LTDA,RAIZEN ARARAQUARA ACUCAR E ALCOOL LTDA,URUGUAY,URUGUAY,Sugarcane equivalents,48450,1315.73220516
