YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB,PALM_OIL_EQUIVALENT_TONNES
2016,COLOMBIA,BUENAVENTURA,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,CARIBBEAN ECO SOAPS USUARIO INDL DE BIENES Y SERVS,CARIBBEAN ECO SOAPS USUARIO INDL DE BIENES Y SERVS,BOLIVIA,BOLIVIA,Palm oil equivalents,992678.09,1261.44257894737
2016,COLOMBIA,BUENAVENTURA,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,CIA INTL DE ALIMENTOS S A,CIA INTL DE ALIMENTOS S A,BOLIVIA,BOLIVIA,Palm oil equivalents,1262619.55,1532.51157894737
2014,COLOMBIA,BUENAVENTURA,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,DAABON ORGANIC JAPAN CO LTD,DAABON ORGANIC JAPAN CO LTD,MEXICO,MEXICO,Palm oil equivalents,6,0.00745263157894737
2014,COLOMBIA,BUENAVENTURA,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,TEAM FOODS CHILE S A,TEAM FOODS CHILE S A,BELGIUM,EUROPEAN UNION,Palm oil equivalents,31363.2,25.0105263157895
2016,COLOMBIA,BUENAVENTURA,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,TEAM FOODS CHILE S A,TEAM FOODS CHILE S A,BOLIVIA,BOLIVIA,Palm oil equivalents,264648.7,317.025263157895
2014,COLOMBIA,BUENAVENTURA,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,TEAM FOODS CHILE S A,TEAM FOODS CHILE S A,CHILE,CHILE,Palm oil equivalents,30912.81,23.6210526315789
2014,COLOMBIA,BUENAVENTURA,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,TEAM FOODS MEXICO S A DE C V,DOMESTIC CONSUMPTION,MEXICO,MEXICO,Palm oil equivalents,205587.65,187.532631578947
2014,COLOMBIA,BUENAVENTURA,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,UNILEVER CARIBBEAN LTD,UNILEVER CARIBBEAN LTD,TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,Palm oil equivalents,81598.62,64.1052631578947
2016,COLOMBIA,ESPECIAL DE CARTAGENA,AAK COL S A S,AAK COL S A S,AAK MEXICO SA DE CV,AAK MEXICO SA DE CV,ISRAEL,ISRAEL,Palm oil equivalents,7684319.37,11018.5206842105
2016,COLOMBIA,ESPECIAL DE CARTAGENA,AAK COL S A S,AAK COL S A S,AAK MEXICO SA DE CV,AAK MEXICO SA DE CV,VENEZUELA,VENEZUELA,Palm oil equivalents,82082.4,79.8863157894737
2016,COLOMBIA,ESPECIAL DE CARTAGENA,AAK COL S A S,AAK COL S A S,FERRERO DEL ECUADOR S A,FERRERO,ISRAEL,ISRAEL,Palm oil equivalents,13147045.11,19352.0029473684
2016,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP SANTAMARIA S A,AGROP SANTAMARIA S A,ARCO CIAL TRADING,DOMESTIC CONSUMPTION,ISRAEL,ISRAEL,Palm oil equivalents,16052320.07,23384.4666631579
2016,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP SANTAMARIA S A,AGROP SANTAMARIA S A,GRASAS COMERCIALES GRASCO S A,GRASAS COMERCIALES GRASCO S A,ISRAEL,ISRAEL,Palm oil equivalents,3686662.86,5744.04647368421
2016,COLOMBIA,ESPECIAL DE CARTAGENA,AGROP SANTAMARIA S A,AGROP SANTAMARIA S A,SUMITECH S P A,SUMITECH S P A,ISRAEL,ISRAEL,Palm oil equivalents,334678.37,386.636315789474
2013,COLOMBIA,ESPECIAL DE CARTAGENA,C I ACEPALMA S A,C I ACEPALMA S A,GUYANA STOCKEEDS INC,GUYANA STOCKEEDS INC,GUYANA,GUYANA,Palm oil equivalents,53549.3,58.975
2015,COLOMBIA,ESPECIAL DE CARTAGENA,CIALZDORA INTL SANTANDEREANA DE ACEITES S A S,CIALZDORA INTL SANTANDEREANA DE ACEITES S A S,MAYS CHEMICAL CO OF PUERTO RICO INC,DOMESTIC CONSUMPTION,PUERTO RICO,PUERTO RICO,Palm oil equivalents,83908.48,69.538947368421
2017,COLOMBIA,ESPECIAL DE CARTAGENA,DEL LLANO S A,DEL LLANO S A,AGRIFLORIDA LLC,AGRIFLORIDA LLC,GUYANA,GUYANA,Palm oil equivalents,296235.3,396.73947368421
2016,COLOMBIA,ESPECIAL DE CARTAGENA,DEL LLANO S A,DEL LLANO S A,AGRIFLORIDA LLC,AGRIFLORIDA LLC,PERU,PERU,Palm oil equivalents,14381924.34,21619.9110526316
2016,COLOMBIA,ESPECIAL DE CARTAGENA,DEL LLANO S A,DEL LLANO S A,AGRIFLORIDA LLC,AGRIFLORIDA LLC,SOUTH KOREA,SOUTH KOREA,Palm oil equivalents,447476.32,512.940421052632
2017,COLOMBIA,ESPECIAL DE CARTAGENA,DEL LLANO S A,DEL LLANO S A,CAMILO FERRON CHILE S A,CAMILO FERRON CHILE S A,GUATEMALA,GUATEMALA,Palm oil equivalents,434170.62,559.411894736842
2016,COLOMBIA,ESPECIAL DE CARTAGENA,DEL LLANO S A,DEL LLANO S A,CARGILL GMBH,CARGILL,VENEZUELA,VENEZUELA,Palm oil equivalents,9036285.94,13176.9300842105
2017,COLOMBIA,ESPECIAL DE CARTAGENA,DEL LLANO S A,DEL LLANO S A,COMPANIA NAL DE CHOCOLATES DCR S A,COMPANIA NAL DE CHOCOLATES DCR S A,GUYANA,GUYANA,Palm oil equivalents,584858.74,777.883842105263
2017,COLOMBIA,ESPECIAL DE CARTAGENA,DEL LLANO S A,DEL LLANO S A,LIPIDOS DE SANTIGA SA,LIPIDOS DE SANTIGA SA,SPAIN,EUROPEAN UNION,Palm oil equivalents,15640322.58,19831.2522105263
2016,COLOMBIA,ESPECIAL DE CARTAGENA,DEL LLANO S A,DEL LLANO S A,M DIAS BRANCO S A E CIO DE ALIMENTOS,M DIAS BRANCO S A E CIO DE ALIMENTOS,BRAZIL,BRAZIL,Palm oil equivalents,7671058.07,12026.2401052632
2016,COLOMBIA,ESPECIAL DE CARTAGENA,DEL LLANO S A,DEL LLANO S A,M DIAS BRANCO S A E CIO DE ALIMENTOS,M DIAS BRANCO S A E CIO DE ALIMENTOS,VENEZUELA,VENEZUELA,Palm oil equivalents,12887145.18,19919.3263684211
2017,COLOMBIA,ESPECIAL DE CARTAGENA,DEL LLANO S A,DEL LLANO S A,MERCASID S A,MERCASID S A,GUATEMALA,GUATEMALA,Palm oil equivalents,9434219.78,11857.0243684211
2016,COLOMBIA,ESPECIAL DE CARTAGENA,DEL LLANO S A,DEL LLANO S A,MERCASID S A,MERCASID S A,VENEZUELA,VENEZUELA,Palm oil equivalents,8626688.5,12467.9064736842
2017,COLOMBIA,ESPECIAL DE CARTAGENA,DEL LLANO S A,DEL LLANO S A,NATURACEITES S A,NATURACEITES S A,GUATEMALA,GUATEMALA,Palm oil equivalents,2727366.37,3513.66842105263
2017,COLOMBIA,ESPECIAL DE CARTAGENA,DEL LLANO S A,DEL LLANO S A,PASTERNAK BAUM AND CO INC,PASTERNAK BAUM AND CO INC,GUATEMALA,GUATEMALA,Palm oil equivalents,2992790.8,3809.15584210526
2017,COLOMBIA,ESPECIAL DE CARTAGENA,DEL LLANO S A,DEL LLANO S A,PROCESADORA QUIRIGUA S A PROQUISA,DOMESTIC CONSUMPTION,GUATEMALA,GUATEMALA,Palm oil equivalents,2316393,3000.575
2018,COLOMBIA,ESPECIAL DE CARTAGENA,FCA DE GRASAS Y PRODS QUIMICOS LTD GRASCO LTD,FCA DE GRASAS Y PRODS QUIMICOS LTD GRASCO LTD,ABLE SALES CO INC,ABLE SALES CO INC,PANAMA,PANAMA,Palm oil equivalents,231828.31,259.310294736842
2018,COLOMBIA,ESPECIAL DE CARTAGENA,FCA DE GRASAS Y PRODS QUIMICOS LTD GRASCO LTD,FCA DE GRASAS Y PRODS QUIMICOS LTD GRASCO LTD,MERCASID S A,MERCASID S A,PANAMA,PANAMA,Palm oil equivalents,1406808.7,2148.40510526316
2018,COLOMBIA,ESPECIAL DE CARTAGENA,OLEOFLORES S A S,OLEOFLORES S A S,CARGILL DE MEXICO S A DE C V,CARGILL,PANAMA,PANAMA,Palm oil equivalents,481738.12,670.033684210526
2018,COLOMBIA,ESPECIAL DE CARTAGENA,OLEOFLORES S A S,OLEOFLORES S A S,FRI EL ACERRA SRL,FRI EL ACERRA SRL,ITALY,EUROPEAN UNION,Palm oil equivalents,12079779,18641.8728421053
2018,COLOMBIA,ESPECIAL DE CARTAGENA,OLEOFLORES S A S,OLEOFLORES S A S,MERCASID S A,MERCASID S A,ITALY,EUROPEAN UNION,Palm oil equivalents,650080,1000
2018,COLOMBIA,ESPECIAL DE CARTAGENA,OLEOFLORES S A S,OLEOFLORES S A S,OBM PROD INC,OBM PROD INC,ITALY,EUROPEAN UNION,Palm oil equivalents,201452.47,212.805263157895
2018,COLOMBIA,ESPECIAL DE CARTAGENA,OLEOFLORES S A S,OLEOFLORES S A S,OILFLOWER TRADING LLC,OILFLOWER TRADING LLC,PANAMA,PANAMA,Palm oil equivalents,6096263.36,9124.53415789474
2018,COLOMBIA,ESPECIAL DE CARTAGENA,SCI Y DE FABRICA DE ACEITES Y MARGARI DEL MAGDALENA S A,SCI Y DE FABRICA DE ACEITES Y MARGARI DEL MAGDALENA S A,BREJEIRO,BREJEIRO,CUBA,CUBA,Palm oil equivalents,18918663.25,28880.9705789474
2018,COLOMBIA,ESPECIAL DE CARTAGENA,SCI Y DE FABRICA DE ACEITES Y MARGARI DEL MAGDALENA S A,SCI Y DE FABRICA DE ACEITES Y MARGARI DEL MAGDALENA S A,EURICOM SPA,EURICOM SPA,CUBA,CUBA,Palm oil equivalents,10225155.94,16432.8239368421
2014,COLOMBIA,ESPECIAL DE CARTAGENA,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,CHOCOLATES INDLS S A,CHOCOLATES INDLS S A,ARGENTINA,ARGENTINA,Palm oil equivalents,3260.05,2.10526315789474
2014,COLOMBIA,ESPECIAL DE CARTAGENA,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,SUCESORES DE JOSE SALGADO S A I C,SUCESORES DE JOSE SALGADO S A I C,ARGENTINA,ARGENTINA,Palm oil equivalents,10289.86,6.31578947368421
2015,COLOMBIA,IPIALES,AAK COL S A S,AAK COL S A S,AAK MEXICO SA DE CV,AAK MEXICO SA DE CV,ISRAEL,ISRAEL,Palm oil equivalents,270438.8,394.164736842105
2018,COLOMBIA,IPIALES,C I ACEPALMA S A,C I ACEPALMA S A,CARGILL BV,CARGILL,CANADA,CANADA,Palm oil equivalents,325644.31,489.556052631579
2018,COLOMBIA,IPIALES,C I ACEPALMA S A,C I ACEPALMA S A,CARGILL BV,CARGILL,NETHERLANDS,EUROPEAN UNION,Palm oil equivalents,960136.86,1246.96157894737
2018,COLOMBIA,IPIALES,C I ACEPALMA S A,C I ACEPALMA S A,CARGILL BV,CARGILL,UNITED STATES,UNITED STATES,Palm oil equivalents,14709.6,19.1157894736842
2018,COLOMBIA,IPIALES,C I ACEPALMA S A,C I ACEPALMA S A,INDUSTRIALIZADORA OLEOFINOS S A DE C V,INDUSTRIALIZADORA OLEOFINOS S A DE C V,MEXICO,MEXICO,Palm oil equivalents,1453286,2223.52794736842
2018,COLOMBIA,IPIALES,C I ACEPALMA S A,C I ACEPALMA S A,M DIAS BRANCO S A E CIO DE ALIMENTOS,M DIAS BRANCO S A E CIO DE ALIMENTOS,BRAZIL,BRAZIL,Palm oil equivalents,6698498.96,10181.0714210526
2018,COLOMBIA,IPIALES,C I ACEPALMA S A,C I ACEPALMA S A,PASTERNAK BAUM AND CO INC,PASTERNAK BAUM AND CO INC,MEXICO,MEXICO,Palm oil equivalents,415440.11,612.837526315789
2018,COLOMBIA,IPIALES,C I BIOCOSTA S A,C I BIOCOSTA S A,LA FABRIL S A,LA FABRIL S A,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Palm oil equivalents,1882941.7,2558.79052631579
2018,COLOMBIA,IPIALES,C I BIOCOSTA S A,C I BIOCOSTA S A,OLENEX SARL,OLENEX SARL,PUERTO RICO,PUERTO RICO,Palm oil equivalents,7374531.1,11607.9552105263
2018,COLOMBIA,IPIALES,C I MACROEXPORT GUTIERREZ Y RAMIREZ S A S,C I MACROEXPORT GUTIERREZ Y RAMIREZ S A S,ITHACA COMPANY PANAMA S A,ITHACA COMPANY PANAMA S A,ECUADOR,ECUADOR,Palm oil equivalents,67853.64,73.0315789473684
2017,COLOMBIA,IPIALES,C I MACROEXPORT GUTIERREZ Y RAMIREZ S A S,C I MACROEXPORT GUTIERREZ Y RAMIREZ S A S,SAO BUSINESS INTL S A,SAO BUSINESS INTL S A,ECUADOR,ECUADOR,Palm oil equivalents,40997.54,36.6842105263158
2015,COLOMBIA,IPIALES,GRASAS S A,GRASAS S A,BAKERY CHOTELAL,BAKERY CHOTELAL,SURINAME,SURINAME,Palm oil equivalents,7177769.27,10954.7532526316
2015,COLOMBIA,IPIALES,GRASAS S A,GRASAS S A,CARGILL GMBH,CARGILL,ISRAEL,ISRAEL,Palm oil equivalents,33016537.72,47773.4213578947
2015,COLOMBIA,IPIALES,GRASAS S A,GRASAS S A,ECUAQUIMICA C A,ECUAQUIMICA C A,ARGENTINA,ARGENTINA,Palm oil equivalents,4084980.51,6279.41636842105
2015,COLOMBIA,IPIALES,GRASAS S A,GRASAS S A,MERCASID S A,MERCASID S A,ARGENTINA,ARGENTINA,Palm oil equivalents,67036.14,50.9002105263158
2015,COLOMBIA,IPIALES,GRASAS S A,GRASAS S A,MIGUEL MARITANO IND DE JABONES SA,MIGUEL MARITANO IND DE JABONES SA,ISRAEL,ISRAEL,Palm oil equivalents,15520512.99,23930.6745684211
2015,COLOMBIA,IPIALES,GRASAS S A,GRASAS S A,MIGUEL MARITANO IND DE JABONES SA,MIGUEL MARITANO IND DE JABONES SA,SURINAME,SURINAME,Palm oil equivalents,1965500.98,2449.02465263158
2015,COLOMBIA,IPIALES,GRASAS S A,GRASAS S A,PASTERNAK BAUM AND CO INC,PASTERNAK BAUM AND CO INC,HAITI,HAITI,Palm oil equivalents,24946268.05,29913.5757052632
2015,COLOMBIA,IPIALES,GRASAS S A,GRASAS S A,REFRICENTRO S A,REFRICENTRO S A,ISRAEL,ISRAEL,Palm oil equivalents,13542960.33,19262.8199894737
2015,COLOMBIA,IPIALES,GRASAS S A,GRASAS S A,WILMAR EUROPE TRADING B V,WILMAR EUROPE TRADING B V,HAITI,HAITI,Palm oil equivalents,4422094.2,5975.50904210526
2016,COLOMBIA,IPIALES,GRASAS Y DERIVADOS S A,GRASAS Y DERIVADOS S A,CARIBBEAN BAKERY SUPPLIES NV,CARIBBEAN BAKERY SUPPLIES NV,CURACAO,CURACAO,Palm oil equivalents,652484.03,842.860526315789
2018,COLOMBIA,IPIALES,GRASAS Y DERIVADOS S A,GRASAS Y DERIVADOS S A,CARIBBEAN BAKERY SUPPLIES NV,CARIBBEAN BAKERY SUPPLIES NV,CURACAO,CURACAO,Palm oil equivalents,9280.6,8.7378947368421
2015,COLOMBIA,IPIALES,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,AAK MEXICO SA DE CV,AAK MEXICO SA DE CV,ISRAEL,ISRAEL,Palm oil equivalents,153825.98,191.91
2015,COLOMBIA,IPIALES,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,CAMILO FERRON CHILE S A,CAMILO FERRON CHILE S A,ISRAEL,ISRAEL,Palm oil equivalents,5939863.09,9717.25168421053
2018,COLOMBIA,IPIALES,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,GOLD IMP INC,GOLD IMP INC,PUERTO RICO,PUERTO RICO,Palm oil equivalents,6762204.7,10369.7635789474
2015,COLOMBIA,IPIALES,INDUTRADE COLOMBIA S A S,INDUTRADE COLOMBIA S A S,LANSEY S A,LANSEY S A,ISRAEL,ISRAEL,Palm oil equivalents,240278.65,317.66552631579
2018,COLOMBIA,IPIALES,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,ADM AMERICAS S DE R L,ADM,JAMAICA,JAMAICA,Palm oil equivalents,2305453.5,3445.14715789474
2018,COLOMBIA,IPIALES,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,CARIBBEAN ECO SOAPS USUARIO INDL DE BIENES Y SERVS,CARIBBEAN ECO SOAPS USUARIO INDL DE BIENES Y SERVS,COLOMBIA,COLOMBIA,Palm oil equivalents,190764.01,216.263157894737
2018,COLOMBIA,IPIALES,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,CEPSA TRADING S A U,CEPSA TRADING S A U,SPAIN,EUROPEAN UNION,Palm oil equivalents,6483894.5,10000.146
2018,COLOMBIA,IPIALES,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,DAABON ORGANIC USA INC,DAABON ORGANIC USA INC,COLOMBIA,COLOMBIA,Palm oil equivalents,70.47,0.0326315789473684
2018,COLOMBIA,IPIALES,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,ESPECIAS Y ADITIVOS ALIMENTARIOS S A,ESPECIAS Y ADITIVOS ALIMENTARIOS S A,BELGIUM,EUROPEAN UNION,Palm oil equivalents,99825.55,117.521052631579
2018,COLOMBIA,IPIALES,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,ESPECIAS Y ADITIVOS ALIMENTARIOS S A,ESPECIAS Y ADITIVOS ALIMENTARIOS S A,UNITED KINGDOM,EUROPEAN UNION,Palm oil equivalents,291753.7,309.631578947368
2018,COLOMBIA,IPIALES,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,GLOBAL ORGANICS,GLOBAL ORGANICS,ARUBA,ARUBA,Palm oil equivalents,11786.6,11.1252631578947
2018,COLOMBIA,IPIALES,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,GLOBAL ORGANICS,GLOBAL ORGANICS,AUSTRALIA,AUSTRALIA,Palm oil equivalents,24774,28.1052631578947
2018,COLOMBIA,IPIALES,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,GLOBAL ORGANICS,GLOBAL ORGANICS,BELGIUM,EUROPEAN UNION,Palm oil equivalents,94117.5,95.3157894736842
2018,COLOMBIA,IPIALES,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,GLOBAL ORGANICS,GLOBAL ORGANICS,COLOMBIA,COLOMBIA,Palm oil equivalents,8428466.12,13526.6562631579
2018,COLOMBIA,IPIALES,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,SAO BUSINESS INTL S A,SAO BUSINESS INTL S A,BELGIUM,EUROPEAN UNION,Palm oil equivalents,70488,74.9473684210526
2018,COLOMBIA,IPIALES,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,TEAM FOODS CHILE S A,TEAM FOODS CHILE S A,BELGIUM,EUROPEAN UNION,Palm oil equivalents,508771.38,656.75252631579
2018,COLOMBIA,IPIALES,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,VECO ENTERPRISES GROUP LLC,VECO ENTERPRISES GROUP LLC,JAMAICA,JAMAICA,Palm oil equivalents,75416.63,90.4568421052631
2018,COLOMBIA,IPIALES,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,INDUTRADE SOC DE COMERCIALIZACION INTL S A S,WATTS S A,WATTS S A,COLOMBIA,COLOMBIA,Palm oil equivalents,529358.78,708.875473684211
2015,COLOMBIA,IPIALES,RECAMIER S A,RECAMIER S A,BANN QUIMICA LTD,DOMESTIC CONSUMPTION,ECUADOR,ECUADOR,Palm oil equivalents,111027.34,50.7877684210526
2015,COLOMBIA,IPIALES,RECAMIER S A,RECAMIER S A,CARIBBEAN BAKERY SUPPLIES NV,CARIBBEAN BAKERY SUPPLIES NV,CURACAO,CURACAO,Palm oil equivalents,10583422.57,12954.3744842105
2016,COLOMBIA,IPIALES,RECAMIER S A,RECAMIER S A,LANSEY S A,LANSEY S A,ECUADOR,ECUADOR,Palm oil equivalents,1410.93,0.0378947368421053
2015,COLOMBIA,IPIALES,RECAMIER S A,RECAMIER S A,M DIAS BRANCO S A E CIO DE ALIMENTOS,M DIAS BRANCO S A E CIO DE ALIMENTOS,CURACAO,CURACAO,Palm oil equivalents,2082830.3,3118.47018947368
2015,COLOMBIA,IPIALES,RECAMIER S A,RECAMIER S A,MERCASID S A,MERCASID S A,ARGENTINA,ARGENTINA,Palm oil equivalents,2246767.32,3310.15347368421
2015,COLOMBIA,IPIALES,RECAMIER S A,RECAMIER S A,SUCESORES DE JOSE SALGADO S A I C,SUCESORES DE JOSE SALGADO S A I C,ARGENTINA,ARGENTINA,Palm oil equivalents,2665751.62,4213.51621052632
2016,COLOMBIA,IPIALES,RECAMIER S A,RECAMIER S A,WILMAR EUROPE TRADING B V,WILMAR EUROPE TRADING B V,ECUADOR,ECUADOR,Palm oil equivalents,4034008.5,7525.012
2015,COLOMBIA,IPIALES,SERVS INDUSTRIALES DEL NORTE S A S,SERVS INDUSTRIALES DEL NORTE S A S,BIO OILS HUELVA S L U,BIO OILS HUELVA S L U,ISRAEL,ISRAEL,Palm oil equivalents,36226023.88,61124.6897157895
2015,COLOMBIA,IPIALES,SERVS INDUSTRIALES DEL NORTE S A S,SERVS INDUSTRIALES DEL NORTE S A S,CASA MENDEZ N V,CASA MENDEZ N V,ISRAEL,ISRAEL,Palm oil equivalents,7166187.11,10514.8154947368
2015,COLOMBIA,IPIALES,SERVS INDUSTRIALES DEL NORTE S A S,SERVS INDUSTRIALES DEL NORTE S A S,CESAR IGLESIAS S A,DOMESTIC CONSUMPTION,ISRAEL,ISRAEL,Palm oil equivalents,14055672.08,26281.5438421053
2015,COLOMBIA,IPIALES,SERVS INDUSTRIALES DEL NORTE S A S,SERVS INDUSTRIALES DEL NORTE S A S,C I FONCAR C A,C I FONCAR C A,ISRAEL,ISRAEL,Palm oil equivalents,5795950.26,8681.05135789474
2015,COLOMBIA,IPIALES,SERVS INDUSTRIALES DEL NORTE S A S,SERVS INDUSTRIALES DEL NORTE S A S,DOMINGO RIJO C X A,DOMINGO RIJO C X A,PARAGUAY,PARAGUAY,Palm oil equivalents,6364207.21,11775.8749473684
2015,COLOMBIA,IPIALES,SERVS INDUSTRIALES DEL NORTE S A S,SERVS INDUSTRIALES DEL NORTE S A S,ESPECIAS Y ADITIVOS ALIMENTARIOS S A,ESPECIAS Y ADITIVOS ALIMENTARIOS S A,ARUBA,ARUBA,Palm oil equivalents,32846.88,32.3726315789474
2015,COLOMBIA,IPIALES,SERVS INDUSTRIALES DEL NORTE S A S,SERVS INDUSTRIALES DEL NORTE S A S,ESPECIAS Y ADITIVOS ALIMENTARIOS S A,ESPECIAS Y ADITIVOS ALIMENTARIOS S A,PARAGUAY,PARAGUAY,Palm oil equivalents,16651461.78,28945.4861473684
2015,COLOMBIA,IPIALES,SERVS INDUSTRIALES DEL NORTE S A S,SERVS INDUSTRIALES DEL NORTE S A S,LA FABRIL S A,LA FABRIL S A,PARAGUAY,PARAGUAY,Palm oil equivalents,982353.27,1234.45736842105
2015,COLOMBIA,IPIALES,SERVS INDUSTRIALES DEL NORTE S A S,SERVS INDUSTRIALES DEL NORTE S A S,LUNYSOL S A,LUNYSOL S A,URUGUAY,URUGUAY,Palm oil equivalents,289917000.7,440426.464563158
2015,COLOMBIA,IPIALES,SERVS INDUSTRIALES DEL NORTE S A S,SERVS INDUSTRIALES DEL NORTE S A S,PARALEVA SA,PARALEVA SA,PARAGUAY,PARAGUAY,Palm oil equivalents,2203263.35,3479.89342105263
2013,COLOMBIA,IPIALES,SUPERTIENDAS CANAVERAL S A,SUPERTIENDAS CANAVERAL S A,LA FABRIL S A,LA FABRIL S A,ECUADOR,ECUADOR,Palm oil equivalents,36760,28.3684210526316
2018,COLOMBIA,IPIALES,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,FERRERO DEL ECUADOR S A,FERRERO,CHILE,CHILE,Palm oil equivalents,20900,14.7368421052632
2018,COLOMBIA,IPIALES,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,FERRERO DEL ECUADOR S A,FERRERO,JAMAICA,JAMAICA,Palm oil equivalents,9115820.75,13582.2289473684
2018,COLOMBIA,IPIALES,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,MIGUEL MARITANO IND DE JABONES SA,MIGUEL MARITANO IND DE JABONES SA,CHILE,CHILE,Palm oil equivalents,369031.85,442.335368421053
2018,COLOMBIA,IPIALES,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,S C I BOLIVARIANA DE NEGOCIOS C A,S C I BOLIVARIANA DE NEGOCIOS C A,CHILE,CHILE,Palm oil equivalents,336310.9,369.694736842105
2018,COLOMBIA,IPIALES,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,TEAM FOODS COL S A Y PODRA UTILIZAR LAS SIGLAS ACEGRASAS S A,TEAM FOODS CHILE S A,TEAM FOODS CHILE S A,CHILE,CHILE,Palm oil equivalents,298841.5,393.115157894737
