YEAR,COUNTRY OF PRODUCTION,PORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,COCOA_EQUIVALENT_TONNES
2017,COLOMBIA,ADUANAS DE BARRANQUI,HADA S A,HADA S A,HADA S A,HADA S A,COLOMBIA,COLOMBIA,Cocoa equivalents,2301.5,0.15456521736
2016,COLOMBIA,ADUANAS DE BARRANQUI,INVS G CARDENAS S A S,INVS G CARDENAS S A S,HORTENCIA WOLTER,HORTENCIA WOLTER,ARUBA,ARUBA,Cocoa equivalents,8.39,0.5
2017,COLOMBIA,ADUANAS DE CALI,AGROFILIAL S A S,AGROFILIAL S A S,ARA CHOCOLAT ANDRES ANDRES ZAKHOUR,ARA CHOCOLAT ANDRES ANDRES ZAKHOUR,FRANCE,EUROPEAN UNION,Cocoa equivalents,1698,0.1638
2018,COLOMBIA,ADUANAS DE CALI,AGROFILIAL S A S,AGROFILIAL S A S,ARA CHOCOLAT ANDRES ANDRES ZAKHOUR,ARA CHOCOLAT ANDRES ANDRES ZAKHOUR,FRANCE,EUROPEAN UNION,Cocoa equivalents,2251,0.332
2014,COLOMBIA,ADUANAS DE CALI,CORP TECNICA PARA EL DESARROLLO DEL PACIFICO,CORP TECNICA PARA EL DESARROLLO DEL PACIFICO,ZHAW UNIVERSIDAD DE LAS CIENCIAS APLICADAS,ZHAW UNIVERSIDAD DE LAS CIENCIAS APLICADAS,SWITZERLAND,SWITZERLAND,Cocoa equivalents,7567,2
2016,COLOMBIA,ADUANAS DE MEDELLIN,AVON COLOMBIA S A S,AVON COLOMBIA S A S,COSMETICOS AVON S A CHILE,COSMETICOS AVON S A CHILE,CHILE,CHILE,Cocoa equivalents,119.52,0.005152173912
2013,COLOMBIA,ADUANAS DE MEDELLIN,AVON COLOMBIA S A S,AVON COLOMBIA S A S,PRODS AVON S A EDUADOR,PRODS AVON S A EDUADOR,ECUADOR,ECUADOR,Cocoa equivalents,5,0.001717391304
2013,COLOMBIA,ADUANAS DE MEDELLIN,AVON COLOMBIA S A S,AVON COLOMBIA S A S,PRODS AVON S A,PRODS AVON S A,PERU,PERU,Cocoa equivalents,270.56,0.027478260864
2014,COLOMBIA,ADUANAS DE MEDELLIN,AVON COLOMBIA S A S,AVON COLOMBIA S A S,PRODS AVON S A,PRODS AVON S A,PERU,PERU,Cocoa equivalents,26.72,0.00407021739048
2015,COLOMBIA,ADUANAS DE MEDELLIN,AVON COLOMBIA S A S,AVON COLOMBIA S A S,PRODS AVON S A,PRODS AVON S A,PERU,PERU,Cocoa equivalents,66.92,0.00858695652
2015,COLOMBIA,ADUANAS DE MEDELLIN,AVON COLOMBIA S A S,AVON COLOMBIA S A S,QUALIPHARM LAB FARMACEUTICO S A,QUALIPHARM LAB FARMACEUTICO S A,ECUADOR,ECUADOR,Cocoa equivalents,96.71,0.012021739128
2016,COLOMBIA,ADUANAS DE MEDELLIN,CACAOTIER S A S,CACAOTIER S A S,TUSA SPECIALTY COFFEE LLC,TUSA SPECIALTY COFFEE LLC,UNITED STATES,UNITED STATES,Cocoa equivalents,1697.5,0.36
2013,COLOMBIA,ADUANAS DE MEDELLIN,CIA COL DE TABACO S A,CIA COL DE TABACO S A,MASSALIN PARTICULARES S A,MASSALIN PARTICULARES S A,ARGENTINA,ARGENTINA,Cocoa equivalents,802.1,0.047282608725
2016,COLOMBIA,ADUANAS DE MEDELLIN,CIA COL DE TABACO S A,CIA COL DE TABACO S A,MASSALIN PARTICULARES S A,MASSALIN PARTICULARES S A,ARGENTINA,ARGENTINA,Cocoa equivalents,12189.59,1.9543478273
2016,COLOMBIA,ADUANAS DE MEDELLIN,CIA COL DE TABACO S A,CIA COL DE TABACO S A,PHILIP MORRIS BRASIL IND E CIO LTD,PHILIP MORRIS BRASIL IND E CIO LTD,BRAZIL,BRAZIL,Cocoa equivalents,708.5,0.09456521745
2016,COLOMBIA,ADUANAS DE MEDELLIN,CIA COL DE TABACO S A,CIA COL DE TABACO S A,PHILIP MORRIS DOMINICANA S A,PHILIP MORRIS DOMINICANA S A,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Cocoa equivalents,1284.91,0.1891304349
2016,COLOMBIA,ADUANAS DE MEDELLIN,CIA COL DE TABACO S A,CIA COL DE TABACO S A,PHILIP MORRIS INTL,PHILIP MORRIS INTL,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Cocoa equivalents,984.8,0.141847826175
2016,COLOMBIA,ADUANAS DE MEDELLIN,CIA COL DE TABACO S A,CIA COL DE TABACO S A,TABACALERA COSTARICENSE SA,TABACALERA COSTARICENSE SA,COSTA RICA,COSTA RICA,Cocoa equivalents,1252.75,0.1891304349
2017,COLOMBIA,ADUANAS DE MEDELLIN,CIA COL DE TABACO S A,CIA COL DE TABACO S A,TABACALERA COSTARICENSE SA,TABACALERA COSTARICENSE SA,COSTA RICA,COSTA RICA,Cocoa equivalents,1282.39,0.15760869575
2013,COLOMBIA,ADUANAS DE MEDELLIN,C I DE MI ALDEA S A S,C I DE MI ALDEA S A S,LATIN FOOD IMPORT CO,LATIN FOOD IMPORT CO,UNITED STATES,UNITED STATES,Cocoa equivalents,158,0.0128608695732
2014,COLOMBIA,ADUANAS DE MEDELLIN,COMPANIA NACIONAL DE CHOCOLATES SAS,COMPANIA NACIONAL DE CHOCOLATES SAS,BUHLER A G,BUHLER A G,SWITZERLAND,SWITZERLAND,Cocoa equivalents,72,0.09456521745
2016,COLOMBIA,ADUANAS DE MEDELLIN,COMPANIA NACIONAL DE CHOCOLATES SAS,COMPANIA NACIONAL DE CHOCOLATES SAS,CIA NAL DE CHOCOLATES DE COSTA RICA S A,CIA NAL DE CHOCOLATES DE COSTA RICA S A,COSTA RICA,COSTA RICA,Cocoa equivalents,605,0.1717391304
2013,COLOMBIA,ADUANAS DE MEDELLIN,COMPANIA NACIONAL DE CHOCOLATES SAS,COMPANIA NACIONAL DE CHOCOLATES SAS,COMBI PACKAGING SYSTEMS LLC,COMBI PACKAGING SYSTEMS LLC,UNITED STATES,UNITED STATES,Cocoa equivalents,202.06,0.03886000002412
2014,COLOMBIA,ADUANAS DE MEDELLIN,COMPANIA NACIONAL DE CHOCOLATES SAS,COMPANIA NACIONAL DE CHOCOLATES SAS,COMBI PACKAGING SYSTEMS LLC,COMBI PACKAGING SYSTEMS LLC,UNITED STATES,UNITED STATES,Cocoa equivalents,500,0.2644043479902
2018,COLOMBIA,ADUANAS DE MEDELLIN,COMPANIA NACIONAL DE CHOCOLATES SAS,COMPANIA NACIONAL DE CHOCOLATES SAS,CORDIALSA USA INC,CORDIALSA USA INC,UNITED STATES,UNITED STATES,Cocoa equivalents,8922.8,1.4720586956969
2013,COLOMBIA,ADUANAS DE MEDELLIN,COMPANIA NACIONAL DE CHOCOLATES SAS,COMPANIA NACIONAL DE CHOCOLATES SAS,EL CAFETAL CO LTD,EL CAFETAL CO LTD,SOUTH KOREA,SOUTH KOREA,Cocoa equivalents,10400,0.9456521745
2016,COLOMBIA,ADUANAS DE MEDELLIN,COMPANIA NACIONAL DE CHOCOLATES SAS,COMPANIA NACIONAL DE CHOCOLATES SAS,EL CAFETAL CO LTD,EL CAFETAL CO LTD,SOUTH KOREA,SOUTH KOREA,Cocoa equivalents,15480,1.260869566
2016,COLOMBIA,ADUANAS DE MEDELLIN,COMPANIA NACIONAL DE CHOCOLATES SAS,COMPANIA NACIONAL DE CHOCOLATES SAS,FOOD LINKS INC,FOOD LINKS INC,UNITED STATES,UNITED STATES,Cocoa equivalents,4044.32,0.423652174176
2013,COLOMBIA,ADUANAS DE MEDELLIN,COMPANIA NACIONAL DE CHOCOLATES SAS,COMPANIA NACIONAL DE CHOCOLATES SAS,HAAS MONDOMIX B V,HAAS MONDOMIX B V,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,408,0.3420289854
2014,COLOMBIA,ADUANAS DE MEDELLIN,COMPANIA NACIONAL DE CHOCOLATES SAS,COMPANIA NACIONAL DE CHOCOLATES SAS,JASON MITCHELL,JASON MITCHELL,UNITED STATES,UNITED STATES,Cocoa equivalents,76,0.0192913043598
2016,COLOMBIA,ADUANAS DE MEDELLIN,COMPANIA NACIONAL DE CHOCOLATES SAS,COMPANIA NACIONAL DE CHOCOLATES SAS,JOSE RAMON CASTILLO,JOSE RAMON CASTILLO,MEXICO,MEXICO,Cocoa equivalents,18,0.05152173912
2015,COLOMBIA,ADUANAS DE MEDELLIN,COMPANIA NACIONAL DE CHOCOLATES SAS,COMPANIA NACIONAL DE CHOCOLATES SAS,MESPACK S L,MESPACK S L,SPAIN,EUROPEAN UNION,Cocoa equivalents,25,0.03152173915
2016,COLOMBIA,ADUANAS DE MEDELLIN,COMPANIA NACIONAL DE CHOCOLATES SAS,COMPANIA NACIONAL DE CHOCOLATES SAS,MITSUBISHI CORPORATION DO BRASIL,MITSUBISHI CORPORATION DO BRASIL,JAPAN,JAPAN,Cocoa equivalents,14100,3.420289854
2018,COLOMBIA,ADUANAS DE MEDELLIN,COMPANIA NACIONAL DE CHOCOLATES SAS,COMPANIA NACIONAL DE CHOCOLATES SAS,PURDYS CHOCOLATES,PURDYS CHOCOLATES,CANADA,CANADA,Cocoa equivalents,3089.25,0.288
2014,COLOMBIA,ADUANAS DE MEDELLIN,COMPANIA NACIONAL DE CHOCOLATES SAS,COMPANIA NACIONAL DE CHOCOLATES SAS,TECHNISCHE UNIVERSITAT DRESDEN FAKULTAT MASCHINENWESEN,TECHNISCHE UNIVERSITAT DRESDEN FAKULTAT MASCHINENWESEN,GERMANY,EUROPEAN UNION,Cocoa equivalents,40,0.0373695652215
2018,COLOMBIA,ADUANAS DE MEDELLIN,COMPANIA NACIONAL DE CHOCOLATES SAS,COMPANIA NACIONAL DE CHOCOLATES SAS,WCS DISTRIB,WCS DISTRIB,UNITED STATES,UNITED STATES,Cocoa equivalents,4942.8,0.4608
2016,COLOMBIA,ADUANAS DE MEDELLIN,IND COL DE CAFE S A S,IND COL DE CAFE S A S,ALTRATEC SDN BHD,ALTRATEC SDN BHD,MALAYSIA,MALAYSIA,Cocoa equivalents,80,0.09456521745
2013,COLOMBIA,ADUANAS DE MEDELLIN,MOCAROMA S A S,MOCAROMA S A S,CENTINI CHOCOLATE,CENTINI CHOCOLATE,ITALY,EUROPEAN UNION,Cocoa equivalents,10,0.049024154574
2015,COLOMBIA,ARAUCA,ARTUS GLOBAL S A S,ARTUS GLOBAL S A S,TRANSMAR COMMODITY GROUP LTD,TRANSMAR COMMODITY GROUP LTD,UNITED STATES,UNITED STATES,Cocoa equivalents,76600,25
2016,COLOMBIA,BOGOTA,AGENCIA DE ADUANAS ADUANIMEX S A NIVEL 1,AGENCIA DE ADUANAS ADUANIMEX S A NIVEL 1,ANDY CONCEPT CO LTD,ANDY CONCEPT CO LTD,TAIWAN,TAIWAN,Cocoa equivalents,3,0.006
2014,COLOMBIA,BOGOTA,ARTEAGA CASTANO ORLANDO,ARTEAGA CASTANO ORLANDO,DANIEL MEJIA GONZALES,DANIEL MEJIA GONZALES,AUSTRALIA,AUSTRALIA,Cocoa equivalents,45.66,0.018
2018,COLOMBIA,BOGOTA,ASOC NAL CACAOTERA DE COLOMBIA,ASOC NAL CACAOTERA DE COLOMBIA,CHOCOLATERIE BONNAT,CHOCOLATERIE BONNAT,FRANCE,EUROPEAN UNION,Cocoa equivalents,75,0.15
2016,COLOMBIA,BOGOTA,ASOC NAL CACAOTERA DE COLOMBIA,ASOC NAL CACAOTERA DE COLOMBIA,QL LOGISTICS SOLUTIONS S L,QL LOGISTICS SOLUTIONS S L,SPAIN,EUROPEAN UNION,Cocoa equivalents,60382.52,25
2018,COLOMBIA,BOGOTA,ASOC NAL CACAOTERA DE COLOMBIA,ASOC NAL CACAOTERA DE COLOMBIA,UNLTD CHANNEL INC TUBELITE CO,UNLTD CHANNEL INC TUBELITE CO,SOUTH KOREA,SOUTH KOREA,Cocoa equivalents,3496.2,0.61
2016,COLOMBIA,BOGOTA,BELTRAN MARIN INVS AGROPS S A S,BELTRAN MARIN INVS AGROPS S A S,MARIA LUCIA CONTATORE FOGLINO,MARIA LUCIA CONTATORE FOGLINO,URUGUAY,URUGUAY,Cocoa equivalents,1312.15,0.24
2017,COLOMBIA,BOGOTA,BELTRAN MARIN INVS AGROPS S A S,BELTRAN MARIN INVS AGROPS S A S,TABLA CHOCOLATE LLC,TABLA CHOCOLATE LLC,UNITED STATES,UNITED STATES,Cocoa equivalents,1320,0.3
2018,COLOMBIA,BOGOTA,BELTRAN MARIN INVS AGROPS S A S,BELTRAN MARIN INVS AGROPS S A S,TABLA CHOCOLATE LLC,TABLA CHOCOLATE LLC,UNITED STATES,UNITED STATES,Cocoa equivalents,1500,0.3
2013,COLOMBIA,BOGOTA,BRITISH AMERICAN TOBACCO COL S A S,BRITISH AMERICAN TOBACCO COL S A S,C A CIGARRERA BIGOTT S A SUCS,C A CIGARRERA BIGOTT S A SUCS,VENEZUELA,VENEZUELA,Cocoa equivalents,11680,1.260869566
2017,COLOMBIA,BOGOTA,CACAO DE COLOMBIA S A S,CACAO DE COLOMBIA S A S,CACAO HUNTERS JAPAN CO LTD,CACAO HUNTERS JAPAN CO LTD,JAPAN,JAPAN,Cocoa equivalents,5456,1.1
2018,COLOMBIA,BOGOTA,CACAO DE COLOMBIA S A S,CACAO DE COLOMBIA S A S,CACAO HUNTERS JAPAN CO LTD,CACAO HUNTERS JAPAN CO LTD,JAPAN,JAPAN,Cocoa equivalents,8216,1.04
2013,COLOMBIA,BOGOTA,CACAO DE COLOMBIA S A S,CACAO DE COLOMBIA S A S,CAFE CACAO,CAFE CACAO,JAPAN,JAPAN,Cocoa equivalents,1392,0.24
2014,COLOMBIA,BOGOTA,CACAO DE COLOMBIA S A S,CACAO DE COLOMBIA S A S,CAFE CACAO,CAFE CACAO,JAPAN,JAPAN,Cocoa equivalents,61270.5,3.135
2015,COLOMBIA,BOGOTA,CACAO DE COLOMBIA S A S,CACAO DE COLOMBIA S A S,CAFE CACAO,CAFE CACAO,JAPAN,JAPAN,Cocoa equivalents,54039,9.5992
2014,COLOMBIA,BOGOTA,CACAO DE COLOMBIA S A S,CACAO DE COLOMBIA S A S,CARGIL JAPAN LTD,CARGILL,JAPAN,JAPAN,Cocoa equivalents,12100,1.1
2014,COLOMBIA,BOGOTA,CACAO DE COLOMBIA S A S,CACAO DE COLOMBIA S A S,CASTRONOVO CHOCOLATE LLC,CASTRONOVO CHOCOLATE LLC,JAPAN,JAPAN,Cocoa equivalents,1750,0.25
2014,COLOMBIA,BOGOTA,CACAO DE COLOMBIA S A S,CACAO DE COLOMBIA S A S,CASTRONOVO CHOCOLATE LLC,CASTRONOVO CHOCOLATE LLC,UNITED STATES,UNITED STATES,Cocoa equivalents,4200,0.525
2015,COLOMBIA,BOGOTA,CACAO DE COLOMBIA S A S,CACAO DE COLOMBIA S A S,CASTRONOVO CHOCOLATE LLC,CASTRONOVO CHOCOLATE LLC,UNITED STATES,UNITED STATES,Cocoa equivalents,4585,0.25
2016,COLOMBIA,BOGOTA,CACAO DE COLOMBIA S A S,CACAO DE COLOMBIA S A S,CASTRONOVO CHOCOLATE LLC,CASTRONOVO CHOCOLATE LLC,UNITED STATES,UNITED STATES,Cocoa equivalents,5950,0.6
2017,COLOMBIA,BOGOTA,CACAO DE COLOMBIA S A S,CACAO DE COLOMBIA S A S,CASTRONOVO CHOCOLATE LLC,CASTRONOVO CHOCOLATE LLC,UNITED STATES,UNITED STATES,Cocoa equivalents,3850,0.55
2017,COLOMBIA,BOGOTA,CACAO DE COLOMBIA S A S,CACAO DE COLOMBIA S A S,COUP DE CHOCOLAT,COUP DE CHOCOLAT,BELGIUM,EUROPEAN UNION,Cocoa equivalents,11500,1
2018,COLOMBIA,BOGOTA,CACAO DE COLOMBIA S A S,CACAO DE COLOMBIA S A S,COUP DE CHOCOLAT,COUP DE CHOCOLAT,BELGIUM,EUROPEAN UNION,Cocoa equivalents,3850,0.35
2015,COLOMBIA,BOGOTA,CACAO DE COLOMBIA S A S,CACAO DE COLOMBIA S A S,EL SAUCO,EL SAUCO,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,3326,0.1
2016,COLOMBIA,BOGOTA,CACAO DE COLOMBIA S A S,CACAO DE COLOMBIA S A S,EL SAUCO,EL SAUCO,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,4352.5,0.11
2014,COLOMBIA,BOGOTA,CACAO DE COLOMBIA S A S,CACAO DE COLOMBIA S A S,HOTEL CHOCOLATE LTD,HOTEL CHOCOLATE LTD,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,2338,0.155
2015,COLOMBIA,BOGOTA,CACAO DE COLOMBIA S A S,CACAO DE COLOMBIA S A S,INGENIOUS SOLUTIONS,INGENIOUS SOLUTIONS,FRANCE,EUROPEAN UNION,Cocoa equivalents,1295,0.0175
2014,COLOMBIA,BOGOTA,CACAO DE COLOMBIA S A S,CACAO DE COLOMBIA S A S,JUNKO LOGEAIS YAMANO,JUNKO LOGEAIS YAMANO,FRANCE,EUROPEAN UNION,Cocoa equivalents,4978,0.235
2015,COLOMBIA,BOGOTA,CACAO DE COLOMBIA S A S,CACAO DE COLOMBIA S A S,MAYUMI OGATA,MAYUMI OGATA,JAPAN,JAPAN,Cocoa equivalents,34544,1.141
2016,COLOMBIA,BOGOTA,CACAO DE COLOMBIA S A S,CACAO DE COLOMBIA S A S,MAYUMI OGATA,MAYUMI OGATA,JAPAN,JAPAN,Cocoa equivalents,71268.67,2.6444
2015,COLOMBIA,BOGOTA,CACAO DE COLOMBIA S A S,CACAO DE COLOMBIA S A S,OLIVER LOMAZZI,OLIVER LOMAZZI,CHILE,CHILE,Cocoa equivalents,884,0.052
2015,COLOMBIA,BOGOTA,CACAO DE COLOMBIA S A S,CACAO DE COLOMBIA S A S,TOSHOKU AMERICA INC,TOSHOKU AMERICA INC,UNITED STATES,UNITED STATES,Cocoa equivalents,2500,0.1
2015,COLOMBIA,BOGOTA,CACAO DE COLOMBIA S A S,CACAO DE COLOMBIA S A S,UTOPICK C B,UTOPICK C B,SPAIN,EUROPEAN UNION,Cocoa equivalents,1050,0.15
2013,COLOMBIA,BOGOTA,CIAL ALLAN S A S,CIAL ALLAN S A S,PANAMENA DE HELADOS S A,PANAMENA DE HELADOS S A,PANAMA,PANAMA,Cocoa equivalents,7653,0.656913043886
2016,COLOMBIA,BOGOTA,C I FRUTOS DE LOS ANDES FRUANDES S A S,C I FRUTOS DE LOS ANDES FRUANDES S A S,FAR EAST INC,FAR EAST INC,JAPAN,JAPAN,Cocoa equivalents,850,0.1
2017,COLOMBIA,BOGOTA,C I FRUTOS DE LOS ANDES FRUANDES S A S,C I FRUTOS DE LOS ANDES FRUANDES S A S,FAR EAST INC,FAR EAST INC,JAPAN,JAPAN,Cocoa equivalents,525,0.05
2017,COLOMBIA,BOGOTA,COBIA GLOBAL COMMERCE S A S CGC S A S,COBIA GLOBAL COMMERCE S A S CGC S A S,DIRECT ORIGIN TRADING LLC,DIRECT ORIGIN TRADING LLC,UNITED STATES,UNITED STATES,Cocoa equivalents,3747.85,1
2018,COLOMBIA,BOGOTA,COLCOCOA S A S,COLCOCOA S A S,SOREMARTEC ITALIA SRL,SOREMARTEC ITALIA SRL,ITALY,EUROPEAN UNION,Cocoa equivalents,7084,0.8624
2013,COLOMBIA,BOGOTA,COMPANIA NACIONAL DE CHOCOLATES SAS,COMPANIA NACIONAL DE CHOCOLATES SAS,BUHLER BINDLER GMBH,BUHLER BINDLER GMBH,GERMANY,EUROPEAN UNION,Cocoa equivalents,311,0.1140096618
2014,COLOMBIA,BOGOTA,COMPANIA NACIONAL DE CHOCOLATES SAS,COMPANIA NACIONAL DE CHOCOLATES SAS,TECHNISCHE UNIVERSITAT DRESDEN FAKULTAT MASCHINENWESEN,TECHNISCHE UNIVERSITAT DRESDEN FAKULTAT MASCHINENWESEN,GERMANY,EUROPEAN UNION,Cocoa equivalents,35,0.025652173905
2018,COLOMBIA,BOGOTA,CONGRUPO S A,CONGRUPO S A,BAKER PERKINS LTD,BAKER PERKINS LTD,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,20.79,0.0072966183552
2016,COLOMBIA,BOGOTA,COOP DEPARTAMENTAL CAFETERA DE CUNDINAMARCA LTDA COODECAFEC,COOP DEPARTAMENTAL CAFETERA DE CUNDINAMARCA LTDA COODECAFEC,IMPER AGRO COMMERCE INTL LLC,IMPER AGRO COMMERCE INTL LLC,UNITED STATES,UNITED STATES,Cocoa equivalents,3058,0.302
2017,COLOMBIA,BOGOTA,EL COLABORATORIO SAS,EL COLABORATORIO SAS,UAB MULATE,UAB MULATE,LITHUANIA,EUROPEAN UNION,Cocoa equivalents,1875.4,0.3
2013,COLOMBIA,BOGOTA,GRAN COLOMBIA TRADING LTDA,GRAN COLOMBIA TRADING LTDA,INTL COCOA INC,INTL COCOA INC,JAPAN,JAPAN,Cocoa equivalents,2939,0.36
2018,COLOMBIA,BOGOTA,GREEN ANDINA COLOMBIA LTD,GREEN ANDINA COLOMBIA LTD,BOTANIKA LIVING INC,BOTANIKA LIVING INC,CANADA,CANADA,Cocoa equivalents,211.4,0.01717391304
2017,COLOMBIA,BOGOTA,GRUPO BIZ COL S A S,GRUPO BIZ COL S A S,CLAUDIA MOCKER,CLAUDIA MOCKER,GERMANY,EUROPEAN UNION,Cocoa equivalents,1371,0.1140096618
2018,COLOMBIA,BOGOTA,GRUPO BIZ COL S A S,GRUPO BIZ COL S A S,CORQUIN LTD,CORQUIN LTD,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,264,0.03420289854
2018,COLOMBIA,BOGOTA,GRUPO BIZ COL S A S,GRUPO BIZ COL S A S,GOODMOODFOOD,GOODMOODFOOD,GERMANY,EUROPEAN UNION,Cocoa equivalents,1229.68,0.1140096618
2013,COLOMBIA,BOGOTA,GRUPO BIZ COL S A S,GRUPO BIZ COL S A S,MANOTAS LTD,MANOTAS LTD,CANADA,CANADA,Cocoa equivalents,1326,0.067
2018,COLOMBIA,BOGOTA,GRUPO SUAGU S A S,GRUPO SUAGU S A S,PRAZSKA COKALADA S R O,PRAZSKA COKALADA S R O,CZECH REPUBLIC,EUROPEAN UNION,Cocoa equivalents,2870,0.5
2018,COLOMBIA,BOGOTA,GRUPO SUAGU S A S,GRUPO SUAGU S A S,YORK COCOA HOUSE,YORK COCOA HOUSE,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,8040,1.5
2017,COLOMBIA,BOGOTA,HEAVEN S FRUITS S A S,HEAVEN S FRUITS S A S,2B WORLD TRADING LTD,2B WORLD TRADING LTD,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,145.5,0.03
2014,COLOMBIA,BOGOTA,LAMERICA CI S A S,LAMERICA CI S A S,LATIN FOOD IMPORT CO,LATIN FOOD IMPORT CO,UNITED STATES,UNITED STATES,Cocoa equivalents,250.06,0.005043478264
2015,COLOMBIA,BOGOTA,LOK FOODS S A S,LOK FOODS S A S,EXPO MILANO 2015,EXPO MILANO 2015,ITALY,EUROPEAN UNION,Cocoa equivalents,1015.2,0.046021739159
2017,COLOMBIA,BOGOTA,LOK FOODS S A S,LOK FOODS S A S,INFUSIONES DEL ESTE,INFUSIONES DEL ESTE,CHILE,CHILE,Cocoa equivalents,395,0.01613282609697
2018,COLOMBIA,BOGOTA,LOK FOODS S A S,LOK FOODS S A S,INFUSIONES DEL ESTE,INFUSIONES DEL ESTE,CHILE,CHILE,Cocoa equivalents,1896,0.07232347830576
2015,COLOMBIA,BOGOTA,OCATI S A,OCATI S A,CULTIVAR SA,CULTIVAR SA,SPAIN,EUROPEAN UNION,Cocoa equivalents,40,0.0125
2014,COLOMBIA,BOGOTA,OCATI S A,OCATI S A,LOGISTIC BUSINESS PARTNERS ROTTERDAM B V,LOGISTIC BUSINESS PARTNERS ROTTERDAM B V,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,13,0.003
2015,COLOMBIA,BOGOTA,OCATI S A,OCATI S A,LOGISTIC BUSINESS PARTNERS ROTTERDAM B V,LOGISTIC BUSINESS PARTNERS ROTTERDAM B V,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,13,0.003
2016,COLOMBIA,BOGOTA,OCATI S A,OCATI S A,LOGISTIC BUSINESS PARTNERS ROTTERDAM B V,LOGISTIC BUSINESS PARTNERS ROTTERDAM B V,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,13,0.003
2013,COLOMBIA,BOGOTA,OCATI S A,OCATI S A,MHS INTL GMBH AND CO KG,MHS INTL GMBH AND CO KG,GERMANY,EUROPEAN UNION,Cocoa equivalents,1252.8,0.3635
2014,COLOMBIA,BOGOTA,OCATI S A,OCATI S A,MHS INTL GMBH AND CO KG,MHS INTL GMBH AND CO KG,GERMANY,EUROPEAN UNION,Cocoa equivalents,1061.4,0.305
2015,COLOMBIA,BOGOTA,OCATI S A,OCATI S A,MHS INTL GMBH AND CO KG,MHS INTL GMBH AND CO KG,GERMANY,EUROPEAN UNION,Cocoa equivalents,1177.5,0.375
2016,COLOMBIA,BOGOTA,OCATI S A,OCATI S A,MHS INTL GMBH AND CO KG,MHS INTL GMBH AND CO KG,GERMANY,EUROPEAN UNION,Cocoa equivalents,1918.8,0.615
2015,COLOMBIA,BOGOTA,OCATI S A,OCATI S A,ROVEG FRUIT B V,ROVEG FRUIT B V,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,844.5,0.22
2016,COLOMBIA,BOGOTA,OCATI S A,OCATI S A,ROVEG FRUIT B V,ROVEG FRUIT B V,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,567,0.1575
2017,COLOMBIA,BOGOTA,OCATI S A,OCATI S A,ROVEG FRUIT B V,ROVEG FRUIT B V,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,36,0.01
2016,COLOMBIA,BOGOTA,OCATI S A,OCATI S A,SATORI S A,SATORI S A,SWITZERLAND,SWITZERLAND,Cocoa equivalents,71,0.025
2013,COLOMBIA,BOGOTA,OCATI S A,OCATI S A,TOUCAN FRUIT,TOUCAN FRUIT,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,1144.9,0.26
2014,COLOMBIA,BOGOTA,OCATI S A,OCATI S A,TOUCAN FRUIT,TOUCAN FRUIT,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,2205,0.5235
2015,COLOMBIA,BOGOTA,OCATI S A,OCATI S A,TOUCAN FRUIT,TOUCAN FRUIT,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,472.5,0.103
2013,COLOMBIA,BOGOTA,OCATI S A,OCATI S A,ZIMPELMANN AGENTUR GMBH,ZIMPELMANN AGENTUR GMBH,GERMANY,EUROPEAN UNION,Cocoa equivalents,44,0.0125
2014,COLOMBIA,BOGOTA,OCATI S A,OCATI S A,ZIMPELMANN SELECT FRUIT GMBH AND CO KG AGENTUR GMBH,ZIMPELMANN SELECT FRUIT GMBH AND CO KG AGENTUR GMBH,GERMANY,EUROPEAN UNION,Cocoa equivalents,61.6,0.0175
2015,COLOMBIA,BOGOTA,OCATI S A,OCATI S A,ZIMPELMANN SELECT FRUIT GMBH AND CO KG AGENTUR GMBH,ZIMPELMANN SELECT FRUIT GMBH AND CO KG AGENTUR GMBH,GERMANY,EUROPEAN UNION,Cocoa equivalents,431.2,0.1225
2016,COLOMBIA,BOGOTA,OCATI S A,OCATI S A,ZIMPELMANN SELECT FRUIT GMBH AND CO KG AGENTUR GMBH,ZIMPELMANN SELECT FRUIT GMBH AND CO KG AGENTUR GMBH,GERMANY,EUROPEAN UNION,Cocoa equivalents,510.4,0.145
