YEAR,COUNTRY OF PRODUCTION,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB,COCOA_EQUIVALENT_TONNES
2018,COTE D'IVOIRE,ADAGRA MARIE CHANTAL,ADAGRA MARIE CHANTAL,LITHUANIA,EUROPEAN UNION,Cocoa equivalents,17.4216027874564,0.030260869584
2017,COTE D'IVOIRE,ADM COCOA SIFCA,ADM COCOA SIFCA,COTE D'IVOIRE,COTE D'IVOIRE,Cocoa equivalents,0.00169779286926995,0.569
2016,COTE D'IVOIRE,ADM COCOA SIFCA,ADM COCOA SIFCA,ESTONIA,EUROPEAN UNION,Cocoa equivalents,387677.956661316,125.125
2016,COTE D'IVOIRE,ADM COCOA SIFCA,ADM COCOA SIFCA,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,22403441.1813804,7432.425
2016,COTE D'IVOIRE,ADM COCOA SIFCA,ADM COCOA SIFCA,UNITED STATES,UNITED STATES,Cocoa equivalents,10260082.4510433,3428.425
2017,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,BELGIUM,EUROPEAN UNION,Cocoa equivalents,3576705.21731749,1676.675
2018,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,BELGIUM,EUROPEAN UNION,Cocoa equivalents,1813779.38675958,775.775
2019,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,BELGIUM,EUROPEAN UNION,Cocoa equivalents,3788725.6369863,1626.75
2018,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,CANADA,CANADA,Cocoa equivalents,1087873.82926829,500.5
2019,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,CANADA,CANADA,Cocoa equivalents,5149286.04280822,2352.35
2017,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,FRANCE,EUROPEAN UNION,Cocoa equivalents,843546.225806452,333.918
2018,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,FRANCE,EUROPEAN UNION,Cocoa equivalents,3180969.76480836,1451.45
2019,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,FRANCE,EUROPEAN UNION,Cocoa equivalents,989613.347602739,439.795
2017,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,GERMANY,EUROPEAN UNION,Cocoa equivalents,1536960.70797963,500.5
2018,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,GERMANY,EUROPEAN UNION,Cocoa equivalents,1489390.36759582,775.775
2019,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,GERMANY,EUROPEAN UNION,Cocoa equivalents,10264101.760274,4329.325
2017,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,INDONESIA,INDONESIA,Cocoa equivalents,156963.049235993,50.05
2019,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,INDONESIA,INDONESIA,Cocoa equivalents,985683.220890411,450.45
2016,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,ITALY,EUROPEAN UNION,Cocoa equivalents,7143532.823435,2427.425
2017,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,ITALY,EUROPEAN UNION,Cocoa equivalents,16546568.7809847,6831.825
2018,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,ITALY,EUROPEAN UNION,Cocoa equivalents,1323170.4076655,630.717
2019,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,ITALY,EUROPEAN UNION,Cocoa equivalents,2917151.97773973,1226.225
2017,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,MALAYSIA,MALAYSIA,Cocoa equivalents,574593.830220713,250.25
2019,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,MALAYSIA,MALAYSIA,Cocoa equivalents,4206257.98972603,1851.85
2019,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,MEXICO,MEXICO,Cocoa equivalents,237339.619863014,100.1
2016,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,6641441.43820225,2427.425
2017,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,5209437.87775891,2695.187
2018,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,6777927.11498257,3392.701
2019,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,12462187.8356164,5255.36
2017,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,POLAND,EUROPEAN UNION,Cocoa equivalents,2309164.64685908,750.75
2019,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,SPAIN,EUROPEAN UNION,Cocoa equivalents,712015.489726027,300.3
2018,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,UNITED STATES,UNITED STATES,Cocoa equivalents,2168453.27874564,1126.125
2019,COTE D'IVOIRE,AFCOTRADE,AFCOTRADE,UNITED STATES,UNITED STATES,Cocoa equivalents,3513586.49657534,1501.5
2017,COTE D'IVOIRE,AF COTT COTE D'IVOIRE,AF COTT COTE D'IVOIRE,BELGIUM,EUROPEAN UNION,Cocoa equivalents,1567389.28692699,502.04
2017,COTE D'IVOIRE,AF COTT COTE D'IVOIRE,AF COTT COTE D'IVOIRE,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,292539.251273345,101.12
2019,COTE D'IVOIRE,AF COTT COTE D'IVOIRE,AF COTT COTE D'IVOIRE,UNITED STATES,UNITED STATES,Cocoa equivalents,683962.095890411,300.708
2016,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),BELGIUM,EUROPEAN UNION,Cocoa equivalents,580728.313001605,200.2
2017,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),BELGIUM,EUROPEAN UNION,Cocoa equivalents,1430477.39219015,700.7
2017,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),CANADA,CANADA,Cocoa equivalents,9160037.46519525,4104.1
2018,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),CANADA,CANADA,Cocoa equivalents,4647959.30662021,2002
2019,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),CANADA,CANADA,Cocoa equivalents,399320.563356164,175.175
2016,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),COTE D'IVOIRE,COTE D'IVOIRE,Cocoa equivalents,0.00321027287319422,63.691
2016,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),FRANCE,EUROPEAN UNION,Cocoa equivalents,0.00321027287319422,88.771
2017,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),FRANCE,EUROPEAN UNION,Cocoa equivalents,0.00169779286926995,5.39
2018,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),FRANCE,EUROPEAN UNION,Cocoa equivalents,2.28571428571428,90.805
2016,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),GERMANY,EUROPEAN UNION,Cocoa equivalents,2044145.21669342,725.725
2017,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),GERMANY,EUROPEAN UNION,Cocoa equivalents,15923995.426146,5555.55
2018,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),GERMANY,EUROPEAN UNION,Cocoa equivalents,275181.959930313,150.15
2019,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),GERMANY,EUROPEAN UNION,Cocoa equivalents,16544555.3184931,7157.15
2016,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),ITALY,EUROPEAN UNION,Cocoa equivalents,16936784.4686998,5580.575
2017,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),ITALY,EUROPEAN UNION,Cocoa equivalents,13797614.4804754,4154.15
2018,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),ITALY,EUROPEAN UNION,Cocoa equivalents,10878764.5644599,4679.675
2016,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),MALAYSIA,MALAYSIA,Cocoa equivalents,575458.547351525,200.2
2019,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),MALAYSIA,MALAYSIA,Cocoa equivalents,1012449.41267123,450.45
2016,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,25803747.9614767,8783.775
2017,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,30380141.7368421,12043.289
2018,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,7329628.09059233,3528.525
2019,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,18254139.8835616,7961.921
2016,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),SPAIN,EUROPEAN UNION,Cocoa equivalents,144919.11717496,50.05
2019,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),TURKEY,TURKEY,Cocoa equivalents,3305106.73630137,1501.5
2016,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,710983.685393258,250.25
2019,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,18680449.0273973,8058.05
2016,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),UNITED STATES,UNITED STATES,Cocoa equivalents,4171810.71107544,1451.45
2018,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),UNITED STATES,UNITED STATES,Cocoa equivalents,365344.050522649,200.2
2019,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),UNITED STATES,UNITED STATES,Cocoa equivalents,3754163.21746575,1651.65
2017,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),UNKNOWN COUNTRY,UNKNOWN COUNTRY,Cocoa equivalents,2.22750424448218,174.433
2019,COTE D'IVOIRE,AGRICOM (AGRICULTURAL COMMODITIES),AGRICOM (AGRICULTURAL COMMODITIES),UNKNOWN COUNTRY,UNKNOWN COUNTRY,Cocoa equivalents,0.00171232876712329,3.866
2017,COTE D'IVOIRE,AGRO CITA MANDIRI SARL,AGRO CITA MANDIRI SARL,MALAYSIA,MALAYSIA,Cocoa equivalents,478246.110356537,200.2
2017,COTE D'IVOIRE,AGRO WEST AFRICA ABIDJAN (AW2A),AGRO WEST AFRICA ABIDJAN (AW2A),NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,835683.651952462,300.3
2017,COTE D'IVOIRE,AGRO WEST AFRICA ABIDJAN (AW2A),AGRO WEST AFRICA ABIDJAN (AW2A),SPAIN,EUROPEAN UNION,Cocoa equivalents,2200636.61629881,800.8
2017,COTE D'IVOIRE,AGRO WEST AFRICA ABIDJAN (AW2A),AGRO WEST AFRICA ABIDJAN (AW2A),UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,212672.619694397,75.075
2016,COTE D'IVOIRE,AGRO WEST AFRICA ABIDJAN (AW2A),AGRO WEST AFRICA ABIDJAN (AW2A),UNITED STATES,UNITED STATES,Cocoa equivalents,5452798.91813805,2102.1
2017,COTE D'IVOIRE,AGRO WEST AFRICA ABIDJAN (AW2A),AGRO WEST AFRICA ABIDJAN (AW2A),UNITED STATES,UNITED STATES,Cocoa equivalents,19460239.5619694,7032.025
2017,COTE D'IVOIRE,AGRO WEST AFRICA ABIDJAN (AW2A),AGRO WEST AFRICA ABIDJAN (AW2A),UNKNOWN COUNTRY,UNKNOWN COUNTRY,Cocoa equivalents,0.0033955857385399,8.849
2016,COTE D'IVOIRE,A.K INTERNATIONAL,A.K INTERNATIONAL,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,246309.221508828,100.1
2017,COTE D'IVOIRE,ARHOS,ARHOS,GERMANY,EUROPEAN UNION,Cocoa equivalents,222.736842105264,0.21
2016,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,BELGIUM,EUROPEAN UNION,Cocoa equivalents,17068019.0385233,6556.55
2019,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,BELGIUM,EUROPEAN UNION,Cocoa equivalents,5094982.01027397,2277.275
2018,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,BULGARIA,EUROPEAN UNION,Cocoa equivalents,2515303.68466899,1351.35
2018,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,CANADA,CANADA,Cocoa equivalents,3520141.81533101,1901.9
2019,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,CANADA,CANADA,Cocoa equivalents,13838815.8099315,6006
2019,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,CHINA (MAINLAND),CHINA (MAINLAND),Cocoa equivalents,613453.457191781,250.25
2017,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,ESTONIA,EUROPEAN UNION,Cocoa equivalents,5967100.50594227,2052.05
2018,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,ESTONIA,EUROPEAN UNION,Cocoa equivalents,569899.785714286,300.3
2019,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,ESTONIA,EUROPEAN UNION,Cocoa equivalents,2769647.01712329,1176.175
2018,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,FRANCE,EUROPEAN UNION,Cocoa equivalents,1.14285714285714,57.389
2019,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,FRANCE,EUROPEAN UNION,Cocoa equivalents,0.00342465753424658,53.157
2016,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,GERMANY,EUROPEAN UNION,Cocoa equivalents,23930557.9951846,7357.35
2017,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,GERMANY,EUROPEAN UNION,Cocoa equivalents,7187303.02886246,3503.5
2018,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,GERMANY,EUROPEAN UNION,Cocoa equivalents,29593093.2247387,16141.125
2018,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,INDIA,INDIA,Cocoa equivalents,4351904.43728223,2352.375
2019,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,INDIA,INDIA,Cocoa equivalents,2913738.53082192,1251.25
2018,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,INDONESIA,INDONESIA,Cocoa equivalents,2285859.29790941,1251.25
2017,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,MALAYSIA,MALAYSIA,Cocoa equivalents,471498.327674024,250.25
2018,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,MALAYSIA,MALAYSIA,Cocoa equivalents,10269374.8101045,5455.45
2019,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,MALAYSIA,MALAYSIA,Cocoa equivalents,6322833.54623287,2752.75
2016,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,127587361.659711,47249.758
2017,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,80967375.1850595,33576.87
2018,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,38130097.0278746,20270.25
2019,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,74153621.6626712,31806.775
2017,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,TURKEY,TURKEY,Cocoa equivalents,31515604.4108659,11061.05
2018,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,TURKEY,TURKEY,Cocoa equivalents,8557184.19686411,4629.625
2019,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,TURKEY,TURKEY,Cocoa equivalents,10486881.1558219,4504.5
2017,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,UNITED STATES,UNITED STATES,Cocoa equivalents,47732411.6910017,17417.4
2018,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,UNITED STATES,UNITED STATES,Cocoa equivalents,12004835.902439,6531.525
2019,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,UNITED STATES,UNITED STATES,Cocoa equivalents,15903880.765411,6931.925
2017,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,UNKNOWN COUNTRY,UNKNOWN COUNTRY,Cocoa equivalents,1.11375212224109,236.029
2018,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,UNKNOWN COUNTRY,UNKNOWN COUNTRY,Cocoa equivalents,0.00174216027874564,151.583
2019,COTE D'IVOIRE,ARMAJARO NEGOCE,ECOM,UNKNOWN COUNTRY,UNKNOWN COUNTRY,Cocoa equivalents,0.00342465753424658,97.601
2019,COTE D'IVOIRE,ASCOT,ASCOT,BELGIUM,EUROPEAN UNION,Cocoa equivalents,1048385.52226027,450.45
2019,COTE D'IVOIRE,ASCOT,ASCOT,ESTONIA,EUROPEAN UNION,Cocoa equivalents,112988.592465753,50.05
2018,COTE D'IVOIRE,ASCOT,ASCOT,FRANCE,EUROPEAN UNION,Cocoa equivalents,0.00174216027874564,0.484
2018,COTE D'IVOIRE,ASCOT,ASCOT,GERMANY,EUROPEAN UNION,Cocoa equivalents,89797.543554007,50.05
2018,COTE D'IVOIRE,ASCOT,ASCOT,MALAYSIA,MALAYSIA,Cocoa equivalents,645467.400696864,350.35
2019,COTE D'IVOIRE,ASCOT,ASCOT,MALAYSIA,MALAYSIA,Cocoa equivalents,335888.172945206,150.15
2019,COTE D'IVOIRE,ASCOT,ASCOT,MEXICO,MEXICO,Cocoa equivalents,273211.707191781,150.15
2018,COTE D'IVOIRE,ASCOT,ASCOT,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,93344.736933798,50.05
2019,COTE D'IVOIRE,ASCOT,ASCOT,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,175256.210616438,75.075
2017,COTE D'IVOIRE,ASCOT,ASCOT,SPAIN,EUROPEAN UNION,Cocoa equivalents,370793.893039049,200.2
2018,COTE D'IVOIRE,ASCOT,ASCOT,SPAIN,EUROPEAN UNION,Cocoa equivalents,648027.235191637,350.35
2019,COTE D'IVOIRE,ASCOT,ASCOT,SPAIN,EUROPEAN UNION,Cocoa equivalents,395458.953767123,175.175
2017,COTE D'IVOIRE,ASCOT,ASCOT,TURKEY,TURKEY,Cocoa equivalents,278094.58573854,150.15
2017,COTE D'IVOIRE,ASCOT,ASCOT,UNITED STATES,UNITED STATES,Cocoa equivalents,648887.365025467,350.35
2018,COTE D'IVOIRE,ASCOT,ASCOT,UNITED STATES,UNITED STATES,Cocoa equivalents,819188.587108013,425.425
2019,COTE D'IVOIRE,ASCOT,ASCOT,UNITED STATES,UNITED STATES,Cocoa equivalents,225977.186643836,100.1
2016,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,BELGIUM,EUROPEAN UNION,Cocoa equivalents,90860375.9325843,31830.37
2017,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,BELGIUM,EUROPEAN UNION,Cocoa equivalents,88671095.0271647,34084.05
2018,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,BELGIUM,EUROPEAN UNION,Cocoa equivalents,21078158.7648084,9334.325
2019,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,BELGIUM,EUROPEAN UNION,Cocoa equivalents,88413028.3339041,39064.025
2019,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,BRAZIL,BRAZIL,Cocoa equivalents,5996364.64554795,2777.775
2016,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,CANADA,CANADA,Cocoa equivalents,145483.736757624,50.05
2018,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,CANADA,CANADA,Cocoa equivalents,6050870.77526133,3003
2019,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,CANADA,CANADA,Cocoa equivalents,3479352.05650685,1601.926
2016,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,FRANCE,EUROPEAN UNION,Cocoa equivalents,28544639.8635634,10529.801
2017,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,FRANCE,EUROPEAN UNION,Cocoa equivalents,11888708.9677419,5038.942
2018,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,FRANCE,EUROPEAN UNION,Cocoa equivalents,29007778.1393728,14143.454
2019,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,FRANCE,EUROPEAN UNION,Cocoa equivalents,23665357.1832191,11023.046
2016,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,GERMANY,EUROPEAN UNION,Cocoa equivalents,31328097.9711076,10885.875
2017,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,GERMANY,EUROPEAN UNION,Cocoa equivalents,40919748.4974533,17117.1
2018,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,GERMANY,EUROPEAN UNION,Cocoa equivalents,38625512.8240418,17642.625
2019,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,GERMANY,EUROPEAN UNION,Cocoa equivalents,69354998.5599315,30155.125
2017,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,GHANA,GHANA,Cocoa equivalents,9457065.31748727,5005
2018,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,GHANA,GHANA,Cocoa equivalents,2093703.89198607,1001
2019,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,GHANA,GHANA,Cocoa equivalents,328180.678082192,150.15
2019,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,INDONESIA,INDONESIA,Cocoa equivalents,1765600.36815069,800.8
2016,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,ITALY,EUROPEAN UNION,Cocoa equivalents,16283050.4285714,5655.65
2017,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,ITALY,EUROPEAN UNION,Cocoa equivalents,24948736.5382003,11036.025
2018,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,ITALY,EUROPEAN UNION,Cocoa equivalents,14538351.2961673,6456.45
2019,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,ITALY,EUROPEAN UNION,Cocoa equivalents,9626883.3390411,4379.375
2016,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,MALAYSIA,MALAYSIA,Cocoa equivalents,6869643.04654896,2452.45
2017,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,MALAYSIA,MALAYSIA,Cocoa equivalents,18393047.7691002,7582.575
2019,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,MALAYSIA,MALAYSIA,Cocoa equivalents,12852484.4982877,5680.675
2019,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,0.00171232876712329,282.377
2016,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,UNITED STATES,UNITED STATES,Cocoa equivalents,21047201.6051364,7107.1
2018,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,UNITED STATES,UNITED STATES,Cocoa equivalents,10768964.9181185,5105.1
2019,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,UNITED STATES,UNITED STATES,Cocoa equivalents,17684558.0376712,7007
2017,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,UNKNOWN COUNTRY,UNKNOWN COUNTRY,Cocoa equivalents,3.34125636672327,289.62
2018,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,UNKNOWN COUNTRY,UNKNOWN COUNTRY,Cocoa equivalents,0.00348432055749128,20.277
2019,COTE D'IVOIRE,BARRY CALLEBAUT,BARRY CALLEBAUT,UNKNOWN COUNTRY,UNKNOWN COUNTRY,Cocoa equivalents,592793.058219178,250.25
2017,COTE D'IVOIRE,BIOPARTENAIRE,BIOPARTENAIRE,COTE D'IVOIRE,COTE D'IVOIRE,Cocoa equivalents,0.00169779286926995,0.855
2018,COTE D'IVOIRE,BIOPARTENAIRE,BIOPARTENAIRE,GERMANY,EUROPEAN UNION,Cocoa equivalents,556410.383275261,300.3
2017,COTE D'IVOIRE,BIOPARTENAIRE,BIOPARTENAIRE,ITALY,EUROPEAN UNION,Cocoa equivalents,1121248.79456706,375.375
2018,COTE D'IVOIRE,BIOPARTENAIRE,BIOPARTENAIRE,UNKNOWN COUNTRY,UNKNOWN COUNTRY,Cocoa equivalents,0.00174216027874564,3.42
2019,COTE D'IVOIRE,BUREAU IVOIRIEN DU CACAO,BUREAU IVOIRIEN DU CACAO,BELGIUM,EUROPEAN UNION,Cocoa equivalents,1409504.45205479,625.625
2018,COTE D'IVOIRE,BUREAU IVOIRIEN DU CACAO,BUREAU IVOIRIEN DU CACAO,CANADA,CANADA,Cocoa equivalents,384566.789198606,200.2
2019,COTE D'IVOIRE,BUREAU IVOIRIEN DU CACAO,BUREAU IVOIRIEN DU CACAO,CANADA,CANADA,Cocoa equivalents,623298.428082192,275.275
2016,COTE D'IVOIRE,BUREAU IVOIRIEN DU CACAO,BUREAU IVOIRIEN DU CACAO,GERMANY,EUROPEAN UNION,Cocoa equivalents,598294.903691814,200.2
2019,COTE D'IVOIRE,BUREAU IVOIRIEN DU CACAO,BUREAU IVOIRIEN DU CACAO,GERMANY,EUROPEAN UNION,Cocoa equivalents,1302817.09075342,650.65
2018,COTE D'IVOIRE,BUREAU IVOIRIEN DU CACAO,BUREAU IVOIRIEN DU CACAO,INDONESIA,INDONESIA,Cocoa equivalents,3258501.82578397,1676.675
