YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,COCOA_EQUIVALENT_TONNES
2013,PERU,DESAGUADERO,COMPAIA NACIONAL DE CHOCOLATES DE PERU,BOLIVIA,BOLIVIA,Cocoa equivalents,18400,6.869565216
2014,PERU,DESAGUADERO,COMPAIA NACIONAL DE CHOCOLATES DE PERU,BOLIVIA,BOLIVIA,Cocoa equivalents,15400,3.434782608
2013,PERU,DESAGUADERO,CONSERVAS Y ALIMENTOS S.A.,BOLIVIA,BOLIVIA,Cocoa equivalents,346500,75.65217396
2014,PERU,DESAGUADERO,CONSERVAS Y ALIMENTOS S.A.,BOLIVIA,BOLIVIA,Cocoa equivalents,159000,75.65217396
2015,PERU,DESAGUADERO,CONSERVAS Y ALIMENTOS S.A.,BOLIVIA,BOLIVIA,Cocoa equivalents,137640,56.73913047
2016,PERU,DESAGUADERO,CONSERVAS Y ALIMENTOS S.A.,BOLIVIA,BOLIVIA,Cocoa equivalents,145680,37.82608698
2014,PERU,DESAGUADERO,LASINO S A,BOLIVIA,BOLIVIA,Cocoa equivalents,7314.1,1.118391305042
2015,PERU,DESAGUADERO,LASINO S A,BOLIVIA,BOLIVIA,Cocoa equivalents,7645.57,1.12396434852372
2013,PERU,DESAGUADERO,MACHU PICCHU COFFEE TRADING S.A.C.,BOLIVIA,BOLIVIA,Cocoa equivalents,569260,116.000000072
2014,PERU,DESAGUADERO,MACHU PICCHU COFFEE TRADING S.A.C.,BOLIVIA,BOLIVIA,Cocoa equivalents,163218,45.5173913326
2015,PERU,DESAGUADERO,MACHU PICCHU COFFEE TRADING S.A.C.,BOLIVIA,BOLIVIA,Cocoa equivalents,279133.6,55.00543481675
2016,PERU,DESAGUADERO,MACHU PICCHU COFFEE TRADING S.A.C.,BOLIVIA,BOLIVIA,Cocoa equivalents,462079.88,100.239130497
2017,PERU,DESAGUADERO,MACHU PICCHU COFFEE TRADING S.A.C.,BOLIVIA,BOLIVIA,Cocoa equivalents,877916.48,227.2717392715
2018,PERU,DESAGUADERO,MACHU PICCHU COFFEE TRADING S.A.C.,BOLIVIA,BOLIVIA,Cocoa equivalents,1015499.71,303.78630450787
2016,PERU,DESAGUADERO,ORGANO GOLD ENTERPRISES PERU S A C OGE,BOLIVIA,BOLIVIA,Cocoa equivalents,7522.87,0.544695652512
2013,PERU,MOLLENDO MATARANI,MAKE A DEAL SOCIEDAD ANONIMA CERRADA,COSTA RICA,COSTA RICA,Cocoa equivalents,7169.04,0.488586956825
2014,PERU,MOLLENDO MATARANI,MAKE A DEAL SOCIEDAD ANONIMA CERRADA,COSTA RICA,COSTA RICA,Cocoa equivalents,12208,0.8195652179
2015,PERU,MOLLENDO MATARANI,MAKE A DEAL SOCIEDAD ANONIMA CERRADA,COSTA RICA,COSTA RICA,Cocoa equivalents,6397.45,0.5070652176
2017,PERU,PAITA,AGRICOLA SAN JOSE S A,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Cocoa equivalents,26391,11.786608702968
2013,PERU,PAITA,ARMAJARO PERU S A C,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,2015481.83,825.588
2014,PERU,PAITA,ARMAJARO PERU S A C,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,813900.6,300.288
2013,PERU,PAITA,ARMAJARO PERU S A C,SPAIN,EUROPEAN UNION,Cocoa equivalents,167740.12,75.072
2017,PERU,PAITA,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,BELGIUM,EUROPEAN UNION,Cocoa equivalents,114816,49.92
2018,PERU,PAITA,ASOCIACI?N DE PRODUCTORES CACAOTEROS Y C,BELGIUM,EUROPEAN UNION,Cocoa equivalents,106262.7,49.92
2013,PERU,PAITA,ASOCIACI?N DE PRODUCTORES CACAOTEROS Y C,ITALY,EUROPEAN UNION,Cocoa equivalents,77316,24.94
2014,PERU,PAITA,ASOCIACI?N DE PRODUCTORES CACAOTEROS Y C,ITALY,EUROPEAN UNION,Cocoa equivalents,378734.68,100.699
2015,PERU,PAITA,ASOCIACI?N DE PRODUCTORES CACAOTEROS Y C,ITALY,EUROPEAN UNION,Cocoa equivalents,606474.08,149.86
2016,PERU,PAITA,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,ITALY,EUROPEAN UNION,Cocoa equivalents,651640.83,174.96
2017,PERU,PAITA,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,ITALY,EUROPEAN UNION,Cocoa equivalents,594858.02,225.09
2018,PERU,PAITA,ASOCIACI?N DE PRODUCTORES CACAOTEROS Y C,ITALY,EUROPEAN UNION,Cocoa equivalents,297098.4,125.197
2016,PERU,PAITA,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,SPAIN,EUROPEAN UNION,Cocoa equivalents,129619.3,50.01
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,BELGIUM,EUROPEAN UNION,Cocoa equivalents,21586.92,2.47
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,FRANCE,EUROPEAN UNION,Cocoa equivalents,423504.8,100.024
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,GERMANY,EUROPEAN UNION,Cocoa equivalents,480000,150
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,77337.99,25
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,NEW ZEALAND,NEW ZEALAND,Cocoa equivalents,5600,1.4
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,SPAIN,EUROPEAN UNION,Cocoa equivalents,21000,6
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,SWITZERLAND,SWITZERLAND,Cocoa equivalents,40000,8
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,48000,12
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,UNITED STATES,UNITED STATES,Cocoa equivalents,660669.6,174.5
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS NO,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,149781.06,50.094
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES DE CAFETALEROS,CANADA,CANADA,Cocoa equivalents,3750,1.25
2016,PERU,PAITA,B  R PACIFIC TRADING S R L,MALAYSIA,MALAYSIA,Cocoa equivalents,73601.22,25.06
2014,PERU,PAITA,CASA LUKER DEL PERU S A C,BELGIUM,EUROPEAN UNION,Cocoa equivalents,156152.8,49.92895
2013,PERU,PAITA,CASA LUKER DEL PERU S A C,COLOMBIA,COLOMBIA,Cocoa equivalents,66052.8,25.02
2014,PERU,PAITA,CASA LUKER DEL PERU S A C,INDIA,INDIA,Cocoa equivalents,778383.41,248.963
2013,PERU,PAITA,CASA LUKER DEL PERU S A C,MALAYSIA,MALAYSIA,Cocoa equivalents,243641.08,99.23
2015,PERU,PAITA,CASA LUKER DEL PERU S A C,SPAIN,EUROPEAN UNION,Cocoa equivalents,209202.01,74.5935
2017,PERU,PAITA,CASA LUKER DEL PERU S A C,SPAIN,EUROPEAN UNION,Cocoa equivalents,360310.15,148.827
2014,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,NEW ZEALAND,NEW ZEALAND,Cocoa equivalents,15680,3.92
2015,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,NEW ZEALAND,NEW ZEALAND,Cocoa equivalents,11250,2.25
2016,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,NEW ZEALAND,NEW ZEALAND,Cocoa equivalents,26250,5.25
2017,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,NEW ZEALAND,NEW ZEALAND,Cocoa equivalents,30600,6
2018,PERU,PAITA,CENTRAL FRONTERIZA NORTE CAFETALEROS,NEW ZEALAND,NEW ZEALAND,Cocoa equivalents,29900,5.75
2016,PERU,PAITA,C H P EXPORTACIONES S A C,MALAYSIA,MALAYSIA,Cocoa equivalents,64153.6,25.06
2013,PERU,PAITA,COOP AGRARIA CAFETALERA BAGUA GRANDE LTD,UNITED STATES,UNITED STATES,Cocoa equivalents,1,0.025
2014,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,BELGIUM,EUROPEAN UNION,Cocoa equivalents,17986.76,1.46
2018,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,BELGIUM,EUROPEAN UNION,Cocoa equivalents,57500,25
2018,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,CANADA,CANADA,Cocoa equivalents,10970,3
2016,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,CHILE,CHILE,Cocoa equivalents,50000,10
2015,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,DENMARK,EUROPEAN UNION,Cocoa equivalents,2250,0.5
2016,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,DENMARK,EUROPEAN UNION,Cocoa equivalents,2750,0.5
2013,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,FRANCE,EUROPEAN UNION,Cocoa equivalents,103501,25.01
2014,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,FRANCE,EUROPEAN UNION,Cocoa equivalents,595030,150.03
2015,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,FRANCE,EUROPEAN UNION,Cocoa equivalents,690000,175
2016,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,FRANCE,EUROPEAN UNION,Cocoa equivalents,622857.5,150.055
2017,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,FRANCE,EUROPEAN UNION,Cocoa equivalents,701586.5,176.274
2018,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,FRANCE,EUROPEAN UNION,Cocoa equivalents,385000,100
2013,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,GERMANY,EUROPEAN UNION,Cocoa equivalents,82500,25
2014,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,GERMANY,EUROPEAN UNION,Cocoa equivalents,182500,50
2015,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,GERMANY,EUROPEAN UNION,Cocoa equivalents,1041625,275
2016,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,GERMANY,EUROPEAN UNION,Cocoa equivalents,505650,150
2017,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,GERMANY,EUROPEAN UNION,Cocoa equivalents,652800,206
2018,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,GERMANY,EUROPEAN UNION,Cocoa equivalents,300000,100
2015,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,ISRAEL,ISRAEL,Cocoa equivalents,88600,22
2013,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,ITALY,EUROPEAN UNION,Cocoa equivalents,87500,25
2014,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,ITALY,EUROPEAN UNION,Cocoa equivalents,141250,37.5
2015,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,ITALY,EUROPEAN UNION,Cocoa equivalents,423000,105
2016,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,ITALY,EUROPEAN UNION,Cocoa equivalents,810000,200
2017,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,ITALY,EUROPEAN UNION,Cocoa equivalents,970100,257
2018,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,ITALY,EUROPEAN UNION,Cocoa equivalents,1129116,300.404
2016,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,LATVIA,EUROPEAN UNION,Cocoa equivalents,75160.95,15
2018,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,MEXICO,MEXICO,Cocoa equivalents,160350,50
2013,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,145874.3,37.5
2014,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,365804.36,100
2015,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,430883.75,112.8
2016,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,342115,112.75
2017,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,1068100,319.75
2018,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,1285145,425.98
2014,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,SWITZERLAND,SWITZERLAND,Cocoa equivalents,60000,12
2015,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,SWITZERLAND,SWITZERLAND,Cocoa equivalents,53508.6,12.5
2016,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,SWITZERLAND,SWITZERLAND,Cocoa equivalents,62500,12.5
2017,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,SWITZERLAND,SWITZERLAND,Cocoa equivalents,53750,12.5
2018,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,SWITZERLAND,SWITZERLAND,Cocoa equivalents,32000,8
2014,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,50160,12.5
2015,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,149900,37.475
2018,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,93100,24.5
2014,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,UNITED STATES,UNITED STATES,Cocoa equivalents,945454.17,246.875
2015,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,UNITED STATES,UNITED STATES,Cocoa equivalents,751000,225.6
2016,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,UNITED STATES,UNITED STATES,Cocoa equivalents,829799.99,216.8
2017,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,UNITED STATES,UNITED STATES,Cocoa equivalents,1422965,394.05
2018,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,UNITED STATES,UNITED STATES,Cocoa equivalents,352750,106
2018,PERU,PAITA,COOPERATIVA DE SERVICIOS MULTIPLES SOL&C,SWEDEN,EUROPEAN UNION,Cocoa equivalents,3757.2,1
2015,PERU,PAITA,EXPORTADORA ROMEX S A,BELGIUM,EUROPEAN UNION,Cocoa equivalents,1881460.77,598.51
2016,PERU,PAITA,EXPORTADORA ROMEX S A,BELGIUM,EUROPEAN UNION,Cocoa equivalents,1544097.83,499.2
2017,PERU,PAITA,EXPORTADORA ROMEX S A,BELGIUM,EUROPEAN UNION,Cocoa equivalents,3620547.49,1889.85
2018,PERU,PAITA,EXPORTADORA ROMEX S A,BELGIUM,EUROPEAN UNION,Cocoa equivalents,432426,201.6
2018,PERU,PAITA,EXPORTADORA ROMEX S A,INDIA,INDIA,Cocoa equivalents,490471,200.192
2015,PERU,PAITA,EXPORTADORA ROMEX S A,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,3452090.68,1073.846
2016,PERU,PAITA,EXPORTADORA ROMEX S A,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,3199459.92,1048.704
2015,PERU,PAITA,EXPORTADORA ROMEX S A,SPAIN,EUROPEAN UNION,Cocoa equivalents,162799.28,49.92
2014,PERU,PAITA,RAINFOREST TRADING S.A.C.,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,87689.55,25.047
2016,PERU,PAITA,RAINFOREST TRADING S.A.C.,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,62100,24.84
2013,PERU,PAITA,RAINFOREST TRADING S.A.C.,SPAIN,EUROPEAN UNION,Cocoa equivalents,236618.25,100.05
2014,PERU,PAITA,RAINFOREST TRADING S.A.C.,SPAIN,EUROPEAN UNION,Cocoa equivalents,149756.77,49.335
2013,PERU,PAITA,RAINFOREST TRADING S.A.C.,UNITED STATES,UNITED STATES,Cocoa equivalents,384089,150.075
2016,PERU,PAITA,SELVACACAO SOCIEDAD ANONIMA CERRADA,MALAYSIA,MALAYSIA,Cocoa equivalents,505817.54,199.898
2016,PERU,PAITA,SELVACACAO SOCIEDAD ANONIMA CERRADA,PANAMA,PANAMA,Cocoa equivalents,69331.84,25.016
2014,PERU,PAITA,SUMAQAO SOCIEDAD ANONIMA CERRADA,AUSTRALIA,AUSTRALIA,Cocoa equivalents,90558.6,24.96
2015,PERU,PAITA,SUMAQAO SOCIEDAD ANONIMA CERRADA,AUSTRALIA,AUSTRALIA,Cocoa equivalents,79812.84,24.96
2013,PERU,PAITA,SUMAQAO SOCIEDAD ANONIMA CERRADA,BELGIUM,EUROPEAN UNION,Cocoa equivalents,169504,65.92
2014,PERU,PAITA,SUMAQAO SOCIEDAD ANONIMA CERRADA,BELGIUM,EUROPEAN UNION,Cocoa equivalents,61600,16
2013,PERU,PAITA,SUMAQAO SOCIEDAD ANONIMA CERRADA,GERMANY,EUROPEAN UNION,Cocoa equivalents,94400,32
2013,PERU,PAITA,SUMAQAO SOCIEDAD ANONIMA CERRADA,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,236121.6,99.84
2016,PERU,PISCO,MACHU PICCHU COFFEE TRADING S.A.C.,AUSTRALIA,AUSTRALIA,Cocoa equivalents,104239.8,18.3073748785548
2018,PERU,PISCO,MACHU PICCHU COFFEE TRADING S.A.C.,CANADA,CANADA,Cocoa equivalents,25584,3.709780194256
2017,PERU,PISCO,MACHU PICCHU COFFEE TRADING S.A.C.,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,443770,171.7391304
2016,PERU,PISCO,MACHU PICCHU COFFEE TRADING S.A.C.,SOUTH KOREA,SOUTH KOREA,Cocoa equivalents,371520,57.6
2016,PERU,PISCO,MACHU PICCHU COFFEE TRADING S.A.C.,UNITED STATES,UNITED STATES,Cocoa equivalents,627023.57,105.033181326476
2017,PERU,PISCO,MACHU PICCHU COFFEE TRADING S.A.C.,UNITED STATES,UNITED STATES,Cocoa equivalents,967197.85,228.348708423722
2018,PERU,PISCO,MACHU PICCHU COFFEE TRADING S.A.C.,UNITED STATES,UNITED STATES,Cocoa equivalents,529285.26,105.156374528277
2018,PERU,PUERTO DE CHIMBOTE,DOLMAR REPRESENTACIONES SOCIEDAD ANONIMA,UNKNOWN COUNTRY,UNKNOWN COUNTRY,Cocoa equivalents,41.41,0.01055729468268
2015,PERU,PUERTO DEL CALLAO,ACHARTE LUME FELIX AMADOR,AUSTRIA,EUROPEAN UNION,Cocoa equivalents,290,0.012347826094
2017,PERU,PUERTO DEL CALLAO,ACHARTE LUME FELIX AMADOR,CANADA,CANADA,Cocoa equivalents,200,0.02
2016,PERU,PUERTO DEL CALLAO,ACHARTE LUME FELIX AMADOR,UNITED STATES,UNITED STATES,Cocoa equivalents,140,0.00630434783
2018,PERU,PUERTO DEL CALLAO,AGP ALSERVICE BUSINESS S A C,GERMANY,EUROPEAN UNION,Cocoa equivalents,70560,11.76
2018,PERU,PUERTO DEL CALLAO,AGP ALSERVICE BUSINESS S A C,HUNGARY,EUROPEAN UNION,Cocoa equivalents,24960,3.84
2017,PERU,PUERTO DEL CALLAO,AGRICOLA DON RICARDO S.A.C.,UNITED STATES,UNITED STATES,Cocoa equivalents,35388,10.142434788904
2015,PERU,PUERTO DEL CALLAO,AGRICOLA RIVAS PLATA S A C,ESTONIA,EUROPEAN UNION,Cocoa equivalents,78888.16,25.024
2016,PERU,PUERTO DEL CALLAO,AGRICOLA RIVAS PLATA S A C,ESTONIA,EUROPEAN UNION,Cocoa equivalents,68592.1,24.41
2017,PERU,PUERTO DEL CALLAO,AGRICOLA RIVAS PLATA S A C,ESTONIA,EUROPEAN UNION,Cocoa equivalents,53726.53,25.024
2018,PERU,PUERTO DEL CALLAO,AGRICOLA RIVAS PLATA S A C,ESTONIA,EUROPEAN UNION,Cocoa equivalents,112202.6,50.024
2018,PERU,PUERTO DEL CALLAO,AGRICOLA RIVAS PLATA S A C,INDONESIA,INDONESIA,Cocoa equivalents,108802.2,50.024
2018,PERU,PUERTO DEL CALLAO,AGRICOLA RIVAS PLATA S A C,MALAYSIA,MALAYSIA,Cocoa equivalents,117508,49.948
2018,PERU,PUERTO DEL CALLAO,AGRICOLA RIVAS PLATA S A C,SPAIN,EUROPEAN UNION,Cocoa equivalents,48091.1,24.95
2018,PERU,PUERTO DEL CALLAO,AGRICOLA RIVAS PLATA S A C,UNITED STATES,UNITED STATES,Cocoa equivalents,70392.5,25.024
2015,PERU,PUERTO DEL CALLAO,AGRITRADE S A C,GERMANY,EUROPEAN UNION,Cocoa equivalents,15540,1.260869566
2016,PERU,PUERTO DEL CALLAO,AGRITRADE S A C,MALTA,EUROPEAN UNION,Cocoa equivalents,13372.91,1.074260870232
2018,PERU,PUERTO DEL CALLAO,AGRITRADE S A C,SOUTH AFRICA,SOUTH AFRICA,Cocoa equivalents,111249.48,20.31369565685
2017,PERU,PUERTO DEL CALLAO,AGRITRADE S A C,SOUTH KOREA,SOUTH KOREA,Cocoa equivalents,111783.7,21.8
2018,PERU,PUERTO DEL CALLAO,AGRITRADE S A C,SOUTH KOREA,SOUTH KOREA,Cocoa equivalents,184595,37.84
2016,PERU,PUERTO DEL CALLAO,AGRITRADE S A C,SPAIN,EUROPEAN UNION,Cocoa equivalents,9050,1.3630434784
2018,PERU,PUERTO DEL CALLAO,AGRITRADE S A C,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Cocoa equivalents,3448.45,0.51
2018,PERU,PUERTO DEL CALLAO,AGRITRADE S A C,UNITED STATES,UNITED STATES,Cocoa equivalents,15178.2,2.1339130443
2017,PERU,PUERTO DEL CALLAO,AGRO AMERICANO S A C,SOUTH KOREA,SOUTH KOREA,Cocoa equivalents,30310.5,5.01
2018,PERU,PUERTO DEL CALLAO,AGRO AMERICANO S A C,SOUTH KOREA,SOUTH KOREA,Cocoa equivalents,62531.2,10.005
2017,PERU,PUERTO DEL CALLAO,AGROCONDOR S.R.L.,JAPAN,JAPAN,Cocoa equivalents,5774.59,0.4652173915
2018,PERU,PUERTO DEL CALLAO,AGROCONDOR S.R.L.,JAPAN,JAPAN,Cocoa equivalents,18355.2,1.23565217468
2017,PERU,PUERTO DEL CALLAO,AGROCONDOR S.R.L.,SINGAPORE,SINGAPORE,Cocoa equivalents,401.4,0.045
2018,PERU,PUERTO DEL CALLAO,AGROCONDOR S.R.L.,SINGAPORE,SINGAPORE,Cocoa equivalents,2241.27,0.20085
2016,PERU,PUERTO DEL CALLAO,AGROCONDOR S.R.L.,SOUTH KOREA,SOUTH KOREA,Cocoa equivalents,99667.2,13.005
2017,PERU,PUERTO DEL CALLAO,AGROCONDOR S.R.L.,SOUTH KOREA,SOUTH KOREA,Cocoa equivalents,58506,8.4
2014,PERU,PUERTO DEL CALLAO,AGRO FERGI S A C,AUSTRALIA,AUSTRALIA,Cocoa equivalents,85094,9.271739133
2015,PERU,PUERTO DEL CALLAO,AGRO FERGI S A C,URUGUAY,URUGUAY,Cocoa equivalents,314.53,0.04048
2015,PERU,PUERTO DEL CALLAO,AGROFINO FOODS S A C,AUSTRALIA,AUSTRALIA,Cocoa equivalents,3015,0.4142347825248
2016,PERU,PUERTO DEL CALLAO,AGROFINO FOODS S A C,AUSTRALIA,AUSTRALIA,Cocoa equivalents,46965.03,4.7973500010395
2017,PERU,PUERTO DEL CALLAO,AGROFINO FOODS S A C,AUSTRALIA,AUSTRALIA,Cocoa equivalents,28104.5,3.32926086986
2018,PERU,PUERTO DEL CALLAO,AGROFINO FOODS S A C,AUSTRALIA,AUSTRALIA,Cocoa equivalents,24377.7,3.221365217216
2016,PERU,PUERTO DEL CALLAO,AGROFINO FOODS S A C,CHINA (HONG KONG),CHINA (HONG KONG),Cocoa equivalents,0.35,0.0006934782613
2016,PERU,PUERTO DEL CALLAO,AGROFINO FOODS S A C,GERMANY,EUROPEAN UNION,Cocoa equivalents,4939.2,0.317739130632
2017,PERU,PUERTO DEL CALLAO,AGROFINO FOODS S A C,GERMANY,EUROPEAN UNION,Cocoa equivalents,3324,0.22860195666363
2018,PERU,PUERTO DEL CALLAO,AGROFINO FOODS S A C,GERMANY,EUROPEAN UNION,Cocoa equivalents,5791.5,0.3319239132495
2018,PERU,PUERTO DEL CALLAO,AGROFINO FOODS S A C,GREECE,EUROPEAN UNION,Cocoa equivalents,8551.75,1.140434783
2018,PERU,PUERTO DEL CALLAO,AGROFINO FOODS S A C,INDIA,INDIA,Cocoa equivalents,6555.99,1.015152173915
2018,PERU,PUERTO DEL CALLAO,AGROFINO FOODS S A C,KUWAIT,KUWAIT,Cocoa equivalents,11756,0.8192173915
2015,PERU,PUERTO DEL CALLAO,AGROFINO FOODS S A C,LEBANON,LEBANON,Cocoa equivalents,1350,0.09456521745
2018,PERU,PUERTO DEL CALLAO,AGROFINO FOODS S A C,LEBANON,LEBANON,Cocoa equivalents,2320,0.2521739132
2017,PERU,PUERTO DEL CALLAO,AGROFINO FOODS S A C,MALAYSIA,MALAYSIA,Cocoa equivalents,0.31,0.0008826086962
2016,PERU,PUERTO DEL CALLAO,AGROFINO FOODS S A C,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,2955,0.1891304349
2016,PERU,PUERTO DEL CALLAO,AGROFINO FOODS S A C,POLAND,EUROPEAN UNION,Cocoa equivalents,6291.3,1.005
2018,PERU,PUERTO DEL CALLAO,AGROFINO FOODS S A C,POLAND,EUROPEAN UNION,Cocoa equivalents,6153.03,1.51
2018,PERU,PUERTO DEL CALLAO,AGROFINO FOODS S A C,SAUDI ARABIA,SAUDI ARABIA,Cocoa equivalents,2430.82,0.3
2016,PERU,PUERTO DEL CALLAO,AGROFINO FOODS S A C,SINGAPORE,SINGAPORE,Cocoa equivalents,0.2,0.0003152173915
2016,PERU,PUERTO DEL CALLAO,AGROFINO FOODS S A C,SOUTH KOREA,SOUTH KOREA,Cocoa equivalents,8190,1.05
2017,PERU,PUERTO DEL CALLAO,AGROFINO FOODS S A C,SOUTH KOREA,SOUTH KOREA,Cocoa equivalents,73360.94,12.015
2018,PERU,PUERTO DEL CALLAO,AGROFINO FOODS S A C,SOUTH KOREA,SOUTH KOREA,Cocoa equivalents,26695.1,5.01
2014,PERU,PUERTO DEL CALLAO,AGROFINO S A C,AUSTRALIA,AUSTRALIA,Cocoa equivalents,47165.06,3.8962869584
2015,PERU,PUERTO DEL CALLAO,AGROFINO S A C,AUSTRALIA,AUSTRALIA,Cocoa equivalents,25928.6,1.88004347875
2016,PERU,PUERTO DEL CALLAO,AGRO HUNEY PERU S A C,ITALY,EUROPEAN UNION,Cocoa equivalents,1,0.001
