YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,TYPE,FOB_USD,SOY_EQUIVALENT_TONNES
2014,BOLIVIA,FRONTERA DESAGUADERO,AGROINDUSTRIA CAICO S A,AGROINDUSTRIA CAICO S A,NUTRICION GONZALES SAC,NUTRICION GONZALES SAC,CAMEROON,Soy bean equivalents,55100,118.32
2014,BOLIVIA,FRONTERA DESAGUADERO,AGROINDUSTRIA CAICO S A,AGROINDUSTRIA CAICO S A,RIOS SAC,RIOS SAC,CAMEROON,Soy bean equivalents,497977.5,1121.49
2014,BOLIVIA,FRONTERA DESAGUADERO,AGROINDUSTRIA CAICO S A,AGROINDUSTRIA CAICO S A,TRADING SEMILLA S A C,TRADING SEMILLA S A C,CAMEROON,Soy bean equivalents,167765,384.54
2013,BOLIVIA,FRONTERA DESAGUADERO,AGROIND VARGAS GOMEZ GARCIA SRL,AGROIND VARGAS GOMEZ GARCIA SRL,AGROPECUARIA E INDUSTRIAS FAFIO SA,AGROPECUARIA E INDUSTRIAS FAFIO SA,CAMEROON,Soy bean equivalents,248530,562.02
2014,BOLIVIA,FRONTERA DESAGUADERO,AGROIND VARGAS GOMEZ GARCIA SRL,AGROIND VARGAS GOMEZ GARCIA SRL,AGROPECUARIA E INDUSTRIAS FAFIO SA,AGROPECUARIA E INDUSTRIAS FAFIO SA,CAMEROON,Soy bean equivalents,58000,118.32
2014,BOLIVIA,FRONTERA DESAGUADERO,AGROIND VARGAS GOMEZ GARCIA SRL,AGROIND VARGAS GOMEZ GARCIA SRL,AGROPROCESADORA COMERCIALIZADORA,AGROPROCESADORA COMERCIALIZADORA,CAMEROON,Soy bean equivalents,43410,88.5564
2014,BOLIVIA,FRONTERA DESAGUADERO,AGROIND VARGAS GOMEZ GARCIA SRL,AGROIND VARGAS GOMEZ GARCIA SRL,ALIMENTOS Y SERVICIOS AGROPECUARIOS,ALIMENTOS Y SERVICIOS AGROPECUARIOS,CAMEROON,Soy bean equivalents,101210,207.06
2013,BOLIVIA,FRONTERA DESAGUADERO,AGROIND VARGAS GOMEZ GARCIA SRL,AGROIND VARGAS GOMEZ GARCIA SRL,AMANQUI CHALCO HERMELINDA BLANCA,AMANQUI CHALCO HERMELINDA BLANCA,CAMEROON,Soy bean equivalents,12180,29.58
2014,BOLIVIA,FRONTERA DESAGUADERO,AGROIND VARGAS GOMEZ GARCIA SRL,AGROIND VARGAS GOMEZ GARCIA SRL,AMANQUI CHALCO HERMELINDA BLANCA,AMANQUI CHALCO HERMELINDA BLANCA,CAMEROON,Soy bean equivalents,14500,29.58
2013,BOLIVIA,FRONTERA DESAGUADERO,AGROIND VARGAS GOMEZ GARCIA SRL,AGROIND VARGAS GOMEZ GARCIA SRL,AVGG PERU S A C,AVGG PERU S A C,CAMEROON,Soy bean equivalents,1382071,3046.23
2014,BOLIVIA,FRONTERA DESAGUADERO,AGROIND VARGAS GOMEZ GARCIA SRL,AGROIND VARGAS GOMEZ GARCIA SRL,AVGG PERU S A C,AVGG PERU S A C,CAMEROON,Soy bean equivalents,819587,1716.66
2013,BOLIVIA,FRONTERA DESAGUADERO,AGROIND VARGAS GOMEZ GARCIA SRL,AGROIND VARGAS GOMEZ GARCIA SRL,CORPORACION DE ALIMENTOS DEL PERU,CORPORACION DE ALIMENTOS DEL PERU,CAMEROON,Soy bean equivalents,194649,473.076
2014,BOLIVIA,FRONTERA DESAGUADERO,AGROIND VARGAS GOMEZ GARCIA SRL,AGROIND VARGAS GOMEZ GARCIA SRL,CORPORACION DE ALIMENTOS DEL PERU,CORPORACION DE ALIMENTOS DEL PERU,CAMEROON,Soy bean equivalents,264045,621.18
2014,BOLIVIA,FRONTERA DESAGUADERO,AGROIND VARGAS GOMEZ GARCIA SRL,AGROIND VARGAS GOMEZ GARCIA SRL,IMPORTACION Y EXPORTACION HUGUI?O,IMPORTACION Y EXPORTACION HUGUI?O,CAMEROON,Soy bean equivalents,15370,29.58
2013,BOLIVIA,FRONTERA DESAGUADERO,AGROIND VARGAS GOMEZ GARCIA SRL,AGROIND VARGAS GOMEZ GARCIA SRL,IMPORTADORA D Y H JOACHIN EIRL,IMPORTADORA D Y H JOACHIN EIRL,CAMEROON,Soy bean equivalents,14065,29.58
2014,BOLIVIA,FRONTERA DESAGUADERO,AGROIND VARGAS GOMEZ GARCIA SRL,AGROIND VARGAS GOMEZ GARCIA SRL,INVERSIONES AGROPECUARIAS MOLINERA,INVERSIONES AGROPECUARIAS MOLINERA,CAMEROON,Soy bean equivalents,14500,29.58
2013,BOLIVIA,FRONTERA DESAGUADERO,AGROIND VARGAS GOMEZ GARCIA SRL,AGROIND VARGAS GOMEZ GARCIA SRL,INVERSIONES HEREIN SAC,INVERSIONES HEREIN SAC,CAMEROON,Soy bean equivalents,52925,118.32
2014,BOLIVIA,FRONTERA DESAGUADERO,AGROIND VARGAS GOMEZ GARCIA SRL,AGROIND VARGAS GOMEZ GARCIA SRL,INVERSIONES HEREIN SAC,INVERSIONES HEREIN SAC,CAMEROON,Soy bean equivalents,94993,206.856
2014,BOLIVIA,FRONTERA DESAGUADERO,AGROIND VARGAS GOMEZ GARCIA SRL,AGROIND VARGAS GOMEZ GARCIA SRL,INVERSIONES YAZMIL S R L,INVERSIONES YAZMIL S R L,CAMEROON,Soy bean equivalents,23220,55.08
2013,BOLIVIA,FRONTERA DESAGUADERO,AGROIND VARGAS GOMEZ GARCIA SRL,AGROIND VARGAS GOMEZ GARCIA SRL,MOLINORTE SAC,MOLINORTE SAC,CAMEROON,Soy bean equivalents,65797.5,144.33
2014,BOLIVIA,FRONTERA DESAGUADERO,AGROIND VARGAS GOMEZ GARCIA SRL,AGROIND VARGAS GOMEZ GARCIA SRL,TINTAYA LARICO BERNARDO,TINTAYA LARICO BERNARDO,CAMEROON,Soy bean equivalents,12470,29.58
2014,BOLIVIA,FRONTERA DESAGUADERO,CAICO,CAICO,AG COM PERUANA COMAGRO E I R L,AG COM PERUANA COMAGRO E I R L,CAMEROON,Soy bean equivalents,58310,121.38
2014,BOLIVIA,FRONTERA DESAGUADERO,CAICO,CAICO,ALIMENTOS Y SERVICIOS AGROPECUARIOS,ALIMENTOS Y SERVICIOS AGROPECUARIOS,CAMEROON,Soy bean equivalents,198940,414.12
2014,BOLIVIA,FRONTERA DESAGUADERO,CAICO,CAICO,MOLINORTE SAC,MOLINORTE SAC,CAMEROON,Soy bean equivalents,71785,149.43
2014,BOLIVIA,FRONTERA DESAGUADERO,CAICO,CAICO,NOR ALIMENTOS SRL,NOR ALIMENTOS SRL,CAMEROON,Soy bean equivalents,56260,118.32
2013,BOLIVIA,FRONTERA DESAGUADERO,CARGILL BOLIVIA S A,CARGILL,CARGILL AMERICAS PERU SRL,CARGILL,CAMEROON,Soy bean equivalents,584738.26,1220.94
2014,BOLIVIA,FRONTERA DESAGUADERO,CARGILL BOLIVIA S A,CARGILL,CARGILL AMERICAS PERU SRL,CARGILL,CAMEROON,Soy bean equivalents,257546.34,558.2256
2013,BOLIVIA,FRONTERA DESAGUADERO,CARGILL BOLIVIA S A,CARGILL,CARGILL INC,CARGILL,UNKNOWN COUNTRY,Soy bean equivalents,21365202.45,35462.3196
2014,BOLIVIA,FRONTERA DESAGUADERO,CARGILL BOLIVIA S A,CARGILL,CARGILL INC,CARGILL,UNKNOWN COUNTRY,Soy bean equivalents,9869833.44,15707.337
2014,BOLIVIA,FRONTERA DESAGUADERO,CARGILL BOLIVIA S A,CARGILL,GRANELES DEL PERU S A C,GRANELES DEL PERU S A C,CAMEROON,Soy bean equivalents,3203264.99,6630
2014,BOLIVIA,FRONTERA DESAGUADERO,CARGILL BOLIVIA S A,CARGILL,MOREIRA CORDOVA ROBERTO LUCIO,MOREIRA CORDOVA ROBERTO LUCIO,CAMEROON,Soy bean equivalents,3383.66,8.0784
2014,BOLIVIA,FRONTERA DESAGUADERO,CARGILL BOLIVIA S A,CARGILL,MOREIRA CORDOVA ROBERTO LUCIO,MOREIRA CORDOVA ROBERTO LUCIO,UNKNOWN COUNTRY,Soy bean equivalents,3072170.44,7773.0324
2014,BOLIVIA,FRONTERA DESAGUADERO,CARGILL BOLIVIA S A,CARGILL,PROVENCESA S A,PROVENCESA S A,CUBA,Soy bean equivalents,1709999.96,4080
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,ADM ANDINA PERU SRL,ADM ANDINA PERU SRL,CAMEROON,Soy bean equivalents,1333287,2783.58
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,AG COM PERUANA COMAGRO E I R L,AG COM PERUANA COMAGRO E I R L,CAMEROON,Soy bean equivalents,1344898.5,2995.74
2014,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,AG COM PERUANA COMAGRO E I R L,AG COM PERUANA COMAGRO E I R L,CAMEROON,Soy bean equivalents,412720,852.72
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,AGROPECUARIA E INDUSTRIAS FAFIO SA,AGROPECUARIA E INDUSTRIAS FAFIO SA,CAMEROON,Soy bean equivalents,254770,562.02
2014,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,AGROPECUARIA E INDUSTRIAS FAFIO SA,AGROPECUARIA E INDUSTRIAS FAFIO SA,CAMEROON,Soy bean equivalents,59740,118.32
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,AGROPROCESADORA COMAGRO E I R L,AGROPROCESADORA COMAGRO E I R L,CAMEROON,Soy bean equivalents,64350,145.86
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,AGRO REPRE Y DISTR DIEGO Y GABRIELA,AGRO REPRE Y DISTR DIEGO Y GABRIELA,CAMEROON,Soy bean equivalents,39150,88.74
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,ALIMENTOS Y SERVICIOS AGROPECUARIOS,ALIMENTOS Y SERVICIOS AGROPECUARIOS,CAMEROON,Soy bean equivalents,1922395,4291.14
2014,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,ALIMENTOS Y SERVICIOS AGROPECUARIOS,ALIMENTOS Y SERVICIOS AGROPECUARIOS,CAMEROON,Soy bean equivalents,980862.5,2010.93
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,CARGILL AMERICAS PERU SRL,CARGILL,CAMEROON,Soy bean equivalents,214636,442.68
2014,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,CARGILL AMERICAS PERU SRL,CARGILL,CAMEROON,Soy bean equivalents,65778,116.28
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,CARGILL GRAIN AND OILSEEDS SUPPLY CHAIN,CARGILL,CAMEROON,Soy bean equivalents,51528,116.28
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,CEREALES INTEGRALES S A C,CEREALES INTEGRALES S A C,CAMEROON,Soy bean equivalents,487070,1075.59
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,COMERCIAL CLEME GOMEZ E I R L,COMERCIAL CLEME GOMEZ E I R L,CAMEROON,Soy bean equivalents,25960,59.16
2014,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,COMERCIAL CLEME GOMEZ E I R L,COMERCIAL CLEME GOMEZ E I R L,CAMEROON,Soy bean equivalents,30020,59.16
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,CORPORACION DE NEGOCIOS C Y M S A C,CORPORACION DE NEGOCIOS C Y M S A C,CAMEROON,Soy bean equivalents,12656,28.56
2013,BOLIVIA,FRONTERA DESAGUADERO,COOP AGROPECUARIA INTEGRAL COLONIA,COOP AGROPECUARIA INTEGRAL COLONIA,GLOBAL TRADE Y LOGISTIC SAC,GLOBAL TRADE Y LOGISTIC SAC,CAMEROON,Soy bean equivalents,526291.5,1073.55
