YEAR,COUNTRY OF PRODUCTION,DEPARTMENT,MUNICIPALITY OF EXPORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,COFFEE_EQUIVALENT_TONNES,COFFEE_BEAN,TRASE_GEOCODE
2013,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,ARMENIA COFFEE CORP,ARMENIA COFFEE CORP,UNITED STATES,UNITED STATES,Coffee equivalents,71463.43,19.295,Green,CO-05
2014,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,CAFE LUZ LTD,CAFE LUZ LTD,CHILE,CHILE,Coffee equivalents,35957.02,7.005,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,CAFE LUZ LTD,CAFE LUZ LTD,CHILE,CHILE,Coffee equivalents,17533.94,5.077,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,CAFFEBENE CO LTD,CAFFEBENE CO LTD,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,378985.68,96.498,Green,CO-05
2013,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,COEX COFFEE INTERNATIONAL INC,COEX COFFEE INTERNATIONAL INC,CANADA,CANADA,Coffee equivalents,68714.74,19.24,Green,CO-05
2013,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,COEX COFFEE INTERNATIONAL INC,COEX COFFEE INTERNATIONAL INC,UNITED STATES,UNITED STATES,Coffee equivalents,311690.76,96.392,Green,CO-05
2014,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,COEX COFFEE INTERNATIONAL INC,COEX COFFEE INTERNATIONAL INC,UNITED STATES,UNITED STATES,Coffee equivalents,101797.9,38.56,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,CPO INC,CPO INC,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,105513.04,19.284,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,GANGNAM GANMAM DAERO,GANGNAM GANMAM DAERO,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,101234.95,19.264,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,GEBR WESTHOFF GMBH AND CO,GEBR WESTHOFF GMBH AND CO,GERMANY,EUROPEAN UNION,Coffee equivalents,177000.41,63.218,Green,CO-05
2013,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,HERMANOS PUNJABI S A,HERMANOS PUNJABI S A,CANADA,CANADA,Coffee equivalents,71731.84,19.31,Green,CO-05
2013,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,HERMANOS PUNJABI S A,HERMANOS PUNJABI S A,UNITED STATES,UNITED STATES,Coffee equivalents,207947.14,57.898,Green,CO-05
2014,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,OLAM,OLAM,UNITED STATES,UNITED STATES,Coffee equivalents,26032.91,6.298,Green,CO-05
2014,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,ROTHFOS CORP,ROTHFOS CORP,CANADA,CANADA,Coffee equivalents,1667752.94,366.054,Green,CO-05
2014,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,ROTHFOS CORP,ROTHFOS CORP,UNITED STATES,UNITED STATES,Coffee equivalents,946235.99,269.596,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,ROTHFOS CORP,ROTHFOS CORP,UNITED STATES,UNITED STATES,Coffee equivalents,1043946.24,366.531,Green,CO-05
2014,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,SOC DE INVS E INMOBILIARIA PAREDES Y GALLARDO LTDA,SOC DE INVS E INMOBILIARIA PAREDES Y GALLARDO LTDA,CHILE,CHILE,Coffee equivalents,35470.92,7.694,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,SOC DE INVS E INMOBILIARIA PAREDES Y GALLARDO LTDA,SOC DE INVS E INMOBILIARIA PAREDES Y GALLARDO LTDA,CHILE,CHILE,Coffee equivalents,70679.48,17.074,Green,CO-05
2013,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,STARBUCKS COFFEE TRADING CO,STARBUCKS COFFEE TRADING CO,UNITED STATES,UNITED STATES,Coffee equivalents,1802222.64,501.273,Green,CO-05
2014,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,STARBUCKS COFFEE TRADING CO,STARBUCKS COFFEE TRADING CO,UNITED STATES,UNITED STATES,Coffee equivalents,924543.01,231.136,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,STARBUCKS COFFEE TRADING CO,STARBUCKS COFFEE TRADING CO,UNITED STATES,UNITED STATES,Coffee equivalents,312067.47,96.38,Green,CO-05
2013,COLOMBIA,ANTIOQUIA,BUENAVENTURA,AGROP FARALLONES S A,AGROP FARALLONES S A,STC NJ,STC NJ,UNITED STATES,UNITED STATES,Coffee equivalents,113006.76,38.541,Green,CO-05
2013,COLOMBIA,ANTIOQUIA,BUENAVENTURA,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,DESCAFEINADORES MEXICANOS S A DE CV,DESCAFEINADORES MEXICANOS S A DE CV,MEXICO,MEXICO,Coffee equivalents,123067.77,35.109,Green,CO-05
2014,COLOMBIA,ANTIOQUIA,BUENAVENTURA,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,DESCAFEINADORES MEXICANOS S A DE CV,DESCAFEINADORES MEXICANOS S A DE CV,MEXICO,MEXICO,Coffee equivalents,75197.58,17.492,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,DESCAFEINADORES MEXICANOS S A DE CV,DESCAFEINADORES MEXICANOS S A DE CV,MEXICO,MEXICO,Coffee equivalents,132207.35,35.053,Green,CO-05
2016,COLOMBIA,ANTIOQUIA,BUENAVENTURA,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,DESCAFEINADORES MEXICANOS S A DE CV,DESCAFEINADORES MEXICANOS S A DE CV,MEXICO,MEXICO,Coffee equivalents,52577.42,17.536,Green,CO-05
2016,COLOMBIA,ANTIOQUIA,BUENAVENTURA,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,ECOM AGROINDL ASIA PTE LTD,ECOM AGROINDL ASIA PTE LTD,JAPAN,JAPAN,Coffee equivalents,50801.04,8.428,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,FALCON COFFEES,FALCON COFFEES,UNITED STATES,UNITED STATES,Coffee equivalents,107161.4,15.696,Green,CO-05
2012,COLOMBIA,ANTIOQUIA,BUENAVENTURA,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,HARU INTL CORP,HARU INTL CORP,TAIWAN,TAIWAN,Coffee equivalents,2218.24335052582,0.46000702889173,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,MERCANTA LTD,MERCANTA LTD,SINGAPORE,SINGAPORE,Coffee equivalents,65582.32,11.533,Green,CO-05
2016,COLOMBIA,ANTIOQUIA,BUENAVENTURA,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,MERCANTA LTD,MERCANTA LTD,SINGAPORE,SINGAPORE,Coffee equivalents,192438.65,35.422,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,M I COFFEE CORP,M I COFFEE CORP,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,467425.93,92.193,Green,CO-05
2016,COLOMBIA,ANTIOQUIA,BUENAVENTURA,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,M I COFFEE CORP,M I COFFEE CORP,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,1120425.87,227.135,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,M I COFFEE CORP,M I COFFEE CORP,UNITED STATES,UNITED STATES,Coffee equivalents,2850.99,0.424,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,OHL INTL,OHL INTL,UNITED STATES,UNITED STATES,Coffee equivalents,131319.43,19.307,Green,CO-05
2012,COLOMBIA,ANTIOQUIA,BUENAVENTURA,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,PARAGON COFFEE TRADING,PARAGON COFFEE TRADING,UNITED STATES,UNITED STATES,Coffee equivalents,76224.5708343287,14.8069464399434,Green,CO-05
2013,COLOMBIA,ANTIOQUIA,BUENAVENTURA,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,PARAGON COFFEE TRADING,PARAGON COFFEE TRADING,UNITED STATES,UNITED STATES,Coffee equivalents,588346.65,161.127,Green,CO-05
2014,COLOMBIA,ANTIOQUIA,BUENAVENTURA,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,PARAGON COFFEE TRADING,PARAGON COFFEE TRADING,UNITED STATES,UNITED STATES,Coffee equivalents,158450.18,30.9,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,PARAGON COFFEE TRADING,PARAGON COFFEE TRADING,UNITED STATES,UNITED STATES,Coffee equivalents,348297.22,57.065,Green,CO-05
2016,COLOMBIA,ANTIOQUIA,BUENAVENTURA,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,PARAGON COFFEE TRADING,PARAGON COFFEE TRADING,UNITED STATES,UNITED STATES,Coffee equivalents,316178.34,57.226,Green,CO-05
2012,COLOMBIA,ANTIOQUIA,BUENAVENTURA,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,ROYAL COFFEE NEW YORK,ROYAL COFFEE NEW YORK,UNITED STATES,UNITED STATES,Coffee equivalents,250576.656516126,54.1889100742806,Green,CO-05
2013,COLOMBIA,ANTIOQUIA,BUENAVENTURA,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,ROYAL COFFEE NEW YORK,ROYAL COFFEE NEW YORK,UNITED STATES,UNITED STATES,Coffee equivalents,719396.42,217.44,Green,CO-05
2014,COLOMBIA,ANTIOQUIA,BUENAVENTURA,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,ROYAL COFFEE NEW YORK,ROYAL COFFEE NEW YORK,UNITED STATES,UNITED STATES,Coffee equivalents,1193167.79,300.942,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,ROYAL COFFEE NEW YORK,ROYAL COFFEE NEW YORK,UNITED STATES,UNITED STATES,Coffee equivalents,1640831.86,429.259,Green,CO-05
2016,COLOMBIA,ANTIOQUIA,BUENAVENTURA,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,ROYAL COFFEE NEW YORK,ROYAL COFFEE NEW YORK,UNITED STATES,UNITED STATES,Coffee equivalents,1385240.87,358.143,Green / Processed,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,C I CAFE DE SANTA BARBARA S A S,C I CAFE DE SANTA BARBARA S A S,SHANGHAI TIGER BRIDGE IMP AND EXP CO LTD,SHANGHAI TIGER BRIDGE IMP AND EXP CO LTD,NORTH KOREA,NORTH KOREA,Coffee equivalents,45308.72,7.708,Green,CO-05
2016,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,ALLY COFFEE TRADING SA,ALLY COFFEE TRADING SA,UNITED STATES,UNITED STATES,Coffee equivalents,167594.82,55.415,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,BERNHARD ROTHFOS CORP,BERNHARD ROTHFOS CORP,GERMANY,EUROPEAN UNION,Coffee equivalents,434381.44,104.888,Green,CO-05
2014,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,BILLIE INDL CORP,BILLIE INDL CORP,TAIWAN,TAIWAN,Coffee equivalents,84151.54,16.463,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,BILLIE INDL CORP,BILLIE INDL CORP,TAIWAN,TAIWAN,Coffee equivalents,82197.74,17.213,Green,CO-05
2016,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,BILLIE INDL CORP,BILLIE INDL CORP,TAIWAN,TAIWAN,Coffee equivalents,63123.43,14.035,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,CAFEIER CO LTD,CAFEIER CO LTD,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,69300,19.282,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,DAVIDSON AND SONS CUSTOMS BROKER LTD,DAVIDSON AND SONS CUSTOMS BROKER LTD,CANADA,CANADA,Coffee equivalents,163891.16,38.528,Green,CO-05
2013,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,DONG SUH FOODS CORP,DONG SUH FOODS CORP,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,238623.02,67.229,Green,CO-05
2014,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,DONG SUH FOODS CORP,DONG SUH FOODS CORP,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,8288454.48,1798.406,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,DONG SUH FOODS CORP,DONG SUH FOODS CORP,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,1524752.74,452.749,Green,CO-05
2016,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,ESPRESSO KOREA CO LTD,ESPRESSO KOREA CO LTD,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,55000.89,17.483,Green,CO-05
2016,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,FALCON COFFEES,FALCON COFFEES,UNITED STATES,UNITED STATES,Coffee equivalents,79445.64,19.204,Green,CO-05
2016,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,FCSTONE MERCHANTS SERVS LLC,FCSTONE MERCHANTS SERVS LLC,BELGIUM,EUROPEAN UNION,Coffee equivalents,60180.8,18.97,Green,CO-05
2016,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,FCSTONE MERCHANTS SERVS LLC,FCSTONE MERCHANTS SERVS LLC,GERMANY,EUROPEAN UNION,Coffee equivalents,56479.84,19.133,Green,CO-05
2016,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,FCSTONE MERCHANTS SERVS LLC,FCSTONE MERCHANTS SERVS LLC,UNITED STATES,UNITED STATES,Coffee equivalents,913781.43,288.139,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,FIDELI CO LTD,FIDELI CO LTD,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,110417.35,28.018,Green,CO-05
2013,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,FINOTEX USA CORP,FINOTEX USA CORP,JAPAN,JAPAN,Coffee equivalents,60979.09,19.284,Green,CO-05
2014,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,FINOTEX USA CORP,FINOTEX USA CORP,JAPAN,JAPAN,Coffee equivalents,172713.43,38.482,Green,CO-05
2013,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,FOLGER COFFEE CO,FOLGER COFFEE CO,UNITED STATES,UNITED STATES,Coffee equivalents,280430.03,105.039,Green,CO-05
2016,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,FOLGER COFFEE CO,FOLGER COFFEE CO,UNITED STATES,UNITED STATES,Coffee equivalents,63809.53,19.219,Green,CO-05
2016,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,GANGNAM GANMAM DAERO,GANGNAM GANMAM DAERO,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,66013.85,19.277,Green,CO-05
2013,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,HERMANOS PUNJABI S A,HERMANOS PUNJABI S A,JAPAN,JAPAN,Coffee equivalents,194588.88,52.445,Green,CO-05
2013,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,HERMANOS PUNJABI S A,HERMANOS PUNJABI S A,MACAO,MACAO,Coffee equivalents,70254.7,19.261,Green,CO-05
2013,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,HERMANOS PUNJABI S A,HERMANOS PUNJABI S A,UNITED STATES,UNITED STATES,Coffee equivalents,1204864.4,288.663,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,HOLLYS FYB CO LTD,HOLLYS FYB CO LTD,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,136694.56,38.554,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,IN EARTH COFFEE,IN EARTH COFFEE,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,101132.89,16.3,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,KOOKMIN BANK GAEPONAM BRANCH,KOOKMIN BANK GAEPONAM BRANCH,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,101061.1,19.286,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,LE BEAN KOREA INC,LE BEAN KOREA INC,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,143290.04,38.447,Green,CO-05
2016,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,LE BEAN KOREA INC,LE BEAN KOREA INC,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,196231.7,57.046,Green,CO-05
2016,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,LEVEL GROUND TRADING,LEVEL GROUND TRADING,CANADA,CANADA,Coffee equivalents,174931.7,37.785,Green,CO-05
2014,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,LOTTE FOOD CO LTD,LOTTE FOOD CO LTD,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,311512.22,69.951,Green,CO-05
2013,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,MARUBENI,MARUBENI,JAPAN,JAPAN,Coffee equivalents,134132.05,37.79,Green,CO-05
2014,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,MARUBENI,MARUBENI,JAPAN,JAPAN,Coffee equivalents,427804.44,100.701,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,MARUBENI,MARUBENI,JAPAN,JAPAN,Coffee equivalents,5557569.42,1728.112,Green,CO-05
2016,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,MARUBENI,MARUBENI,JAPAN,JAPAN,Coffee equivalents,1496769.22,494.421,Green,CO-05
2014,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,MCC LOGISTICS LTD,MCC LOGISTICS LTD,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,340327.09,112.043,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,MCC LOGISTICS LTD,MCC LOGISTICS LTD,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,991613.51,288.743,Green,CO-05
2016,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,MCC LOGISTICS LTD,MCC LOGISTICS LTD,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,178447.83,57.637,Green,CO-05
2014,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,MERCANTA LTD,MERCANTA LTD,UNITED STATES,UNITED STATES,Coffee equivalents,25067.51,4.527,Green,CO-05
2013,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,MERCON COFFEE CORP,MERCON COFFEE CORP,UNITED STATES,UNITED STATES,Coffee equivalents,125797.68,38.516,Green,CO-05
2016,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,MERCON COFFEE CORP,MERCON COFFEE CORP,UNITED STATES,UNITED STATES,Coffee equivalents,498490.09,134.392,Green,CO-05
2014,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,MITSUBISHI CORPORATION DO BRASIL,MITSUBISHI CORPORATION DO BRASIL,JAPAN,JAPAN,Coffee equivalents,1019721.68,210.2,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,MITSUBISHI CORPORATION DO BRASIL,MITSUBISHI CORPORATION DO BRASIL,JAPAN,JAPAN,Coffee equivalents,4561881.29,1181.459,Green,CO-05
2016,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,MITSUBISHI CORPORATION DO BRASIL,MITSUBISHI CORPORATION DO BRASIL,JAPAN,JAPAN,Coffee equivalents,1009329.03,335.605,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,MITSUBISHI CORP TOKIO,MITSUBISHI CORP TOKIO,JAPAN,JAPAN,Coffee equivalents,158586.31,49.073,Green,CO-05
2016,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,MITSUBISHI CORP TOKIO,MITSUBISHI CORP TOKIO,JAPAN,JAPAN,Coffee equivalents,246669,84,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,MITSUBISHI CORP TOK LHG IWANAGA,MITSUBISHI CORP TOK LHG IWANAGA,JAPAN,JAPAN,Coffee equivalents,314715.29,94.542,Green,CO-05
2013,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,MITSUI AND CO LTD,MITSUI AND CO LTD,JAPAN,JAPAN,Coffee equivalents,2046172.73,689.27,Green,CO-05
2014,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,MITSUI AND CO LTD,MITSUI AND CO LTD,JAPAN,JAPAN,Coffee equivalents,1847275.2,505.359,Green,CO-05
2015,COLOMBIA,ANTIOQUIA,BUENAVENTURA,COOP DE CAFICULTORES DE ANDES LTD,COOP DE CAFICULTORES DE ANDES LTD,MITSUI AND CO LTD,MITSUI AND CO LTD,JAPAN,JAPAN,Coffee equivalents,2784096.68,839.73,Green,CO-05
