YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,CORN_EQUIVALENT_TONNES
2018,PARAGUAY,CAMPESTRE S.A.,INDUSTRIA PARAGUAYA DE ALCOHOLES SA,INDUSTRIA PARAGUAYA DE ALCOHOLES SA,BRAZIL,BRAZIL,Corn equivalents,886460,6919.53488418
2014,PARAGUAY,CAMPESTRE S.A.,INVERSIONES AGRICOLAS,INVERSIONES AGRICOLAS,BRAZIL,BRAZIL,Corn equivalents,1712910,13200
2015,PARAGUAY,CAMPESTRE S.A.,INVERSIONES AGRICOLAS,INVERSIONES AGRICOLAS,BRAZIL,BRAZIL,Corn equivalents,214000,2000
2016,PARAGUAY,CAMPESTRE S.A.,INVERSIONES AGRICOLAS,INVERSIONES AGRICOLAS,BRAZIL,BRAZIL,Corn equivalents,1091000,7500
2017,PARAGUAY,CAMPESTRE S.A.,INVERSIONES AGRICOLAS,INVERSIONES AGRICOLAS,BRAZIL,BRAZIL,Corn equivalents,1962550,16000
2018,PARAGUAY,CAMPESTRE S.A.,INVERSIONES AGRICOLAS,INVERSIONES AGRICOLAS,BRAZIL,BRAZIL,Corn equivalents,2924600,21200
2017,PARAGUAY,CAMPESTRE S.A.,KIMEX,KIMEX,BRAZIL,BRAZIL,Corn equivalents,380000,3000
2016,PARAGUAY,CAMPESTRE S.A.,MERCANTIL COMERCIAL (MERCO),LOUIS DREYFUS,BRAZIL,BRAZIL,Corn equivalents,1345000,8000
2016,PARAGUAY,CAMPESTRE S.A.,MOLINOS HARINEROS D' ITALIA,MOLINOS HARINEROS D' ITALIA,BRAZIL,BRAZIL,Corn equivalents,182000,1000
2013,PARAGUAY,CAMPESTRE S.A.,MSU AGROPY,MSU AGROPY,BRAZIL,BRAZIL,Corn equivalents,79960,832.915
2014,PARAGUAY,CAMPESTRE S.A.,NATIVA AGRICOLA S.A.,NATIVA AGRICOLA S.A.,BRAZIL,BRAZIL,Corn equivalents,1381900,8100
2016,PARAGUAY,CAMPESTRE S.A.,NATIVA AGRICOLA S.A.,NATIVA AGRICOLA S.A.,BRAZIL,BRAZIL,Corn equivalents,287000,2000
2017,PARAGUAY,CAMPESTRE S.A.,NATIVA AGRICOLA S.A.,NATIVA AGRICOLA S.A.,BRAZIL,BRAZIL,Corn equivalents,1405200,12400
2018,PARAGUAY,CAMPESTRE S.A.,NATIVA AGRICOLA S.A.,NATIVA AGRICOLA S.A.,BRAZIL,BRAZIL,Corn equivalents,1444000,12000
2016,PARAGUAY,CAMPESTRE S.A.,NIDERA PARAGUAY GRANOS Y OLEAGINOSAS S.A.,COFCO,BRAZIL,BRAZIL,Corn equivalents,530686,4000
2014,PARAGUAY,CAMPESTRE S.A.,PRODU AGRO,PRODU AGRO,BRAZIL,BRAZIL,Corn equivalents,1334120,10600
2016,PARAGUAY,CAMPESTRE S.A.,PRODU AGRO,PRODU AGRO,BRAZIL,BRAZIL,Corn equivalents,885500,5500
2018,PARAGUAY,CAMPESTRE S.A.,VILLA CAMPO SOCIEDAD ANONIMA,VILLA CAMPO,BRAZIL,BRAZIL,Corn equivalents,68000,500
2018,PARAGUAY,CAPITAN MEZA,SERVIAN CAMPOS DANTE OMAR ANTONIO,SERVIAN CAMPOS DANTE OMAR ANTONIO,URUGUAY,URUGUAY,Corn equivalents,18480,112
2015,PARAGUAY,CAPITAN MEZA,VICENTIN,VICENTIN,MALAYSIA,MALAYSIA,Corn equivalents,1046505,8299.246
2014,PARAGUAY,CARMEN DEL PARANA,ADM PARAGUAY,ADM,NIGERIA,NIGERIA,Corn equivalents,3773196,19600
2013,PARAGUAY,CARMEN DEL PARANA,BIO CAMPO SOCIEDAD ANONIMA,BIO CAMPO SOCIEDAD ANONIMA,URUGUAY,URUGUAY,Corn equivalents,75600,560
2014,PARAGUAY,CARMEN DEL PARANA,BIO CAMPO SOCIEDAD ANONIMA,BIO CAMPO SOCIEDAD ANONIMA,URUGUAY,URUGUAY,Corn equivalents,69020,476
2014,PARAGUAY,CHACOI,AGROFERTIL,AGROFERTIL,URUGUAY,URUGUAY,Corn equivalents,68500,500
2014,PARAGUAY,CHACOI,ALMISUR SOCIEDAD ANONIMA,ALMISUR SOCIEDAD ANONIMA,BOLIVIA,BOLIVIA,Corn equivalents,5320,14
2013,PARAGUAY,CHACOI,ALMISUR SOCIEDAD ANONIMA,ALMISUR SOCIEDAD ANONIMA,CHILE,CHILE,Corn equivalents,454623,1016.6
2014,PARAGUAY,CHACOI,ALMISUR SOCIEDAD ANONIMA,ALMISUR SOCIEDAD ANONIMA,CHILE,CHILE,Corn equivalents,611152.02,1526.875
2015,PARAGUAY,CHACOI,ALMISUR SOCIEDAD ANONIMA,ALMISUR SOCIEDAD ANONIMA,CHILE,CHILE,Corn equivalents,314016,791
2016,PARAGUAY,CHACOI,ALMISUR SOCIEDAD ANONIMA,ALMISUR SOCIEDAD ANONIMA,CHILE,CHILE,Corn equivalents,248292,628.25
2017,PARAGUAY,CHACOI,ALMISUR SOCIEDAD ANONIMA,ALMISUR SOCIEDAD ANONIMA,CHILE,CHILE,Corn equivalents,22847,50
2018,PARAGUAY,CHACOI,ALMISUR SOCIEDAD ANONIMA,ALMISUR SOCIEDAD ANONIMA,CHILE,CHILE,Corn equivalents,8938,27.5
2013,PARAGUAY,CHACOI,ALMISUR SOCIEDAD ANONIMA,ALMISUR SOCIEDAD ANONIMA,URUGUAY,URUGUAY,Corn equivalents,42402,99.5
2014,PARAGUAY,CHACOI,ALMISUR SOCIEDAD ANONIMA,ALMISUR SOCIEDAD ANONIMA,URUGUAY,URUGUAY,Corn equivalents,145515.87,345.1
2015,PARAGUAY,CHACOI,ALMISUR SOCIEDAD ANONIMA,ALMISUR SOCIEDAD ANONIMA,URUGUAY,URUGUAY,Corn equivalents,220265,522.5
2016,PARAGUAY,CHACOI,ALMISUR SOCIEDAD ANONIMA,ALMISUR SOCIEDAD ANONIMA,URUGUAY,URUGUAY,Corn equivalents,45616,110
2018,PARAGUAY,CHACOI,ALMISUR SOCIEDAD ANONIMA,ALMISUR SOCIEDAD ANONIMA,URUGUAY,URUGUAY,Corn equivalents,19731,55
2014,PARAGUAY,CHACOI,C.G. DE CESAR WILFRIDO GIMENEZ GONZALEZ,C.G. DE CESAR WILFRIDO GIMENEZ GONZALEZ,URUGUAY,URUGUAY,Corn equivalents,37500,300
2013,PARAGUAY,CHACOI,COOP.MULT.PROD.CONS.SERV.COOPERALBA LTDA.,COOP.MULT.PROD.CONS.SERV.COOPERALBA LTDA.,CHILE,CHILE,Corn equivalents,67643,191.3
2014,PARAGUAY,CHACOI,COOP.MULT.PROD.CONS.SERV.COOPERALBA LTDA.,COOP.MULT.PROD.CONS.SERV.COOPERALBA LTDA.,CHILE,CHILE,Corn equivalents,78475.91,245.9
2013,PARAGUAY,CHACOI,ENO BRONSTRUP S.A. (E.B.S.A.),ENO BRONSTRUP S.A. (E.B.S.A.),URUGUAY,URUGUAY,Corn equivalents,266,0.16372093024
2014,PARAGUAY,CHACOI,ENO BRONSTRUP S.A. (E.B.S.A.),ENO BRONSTRUP S.A. (E.B.S.A.),URUGUAY,URUGUAY,Corn equivalents,265.6,0.16372093024
2015,PARAGUAY,CHACOI,ENO BRONSTRUP S.A. (E.B.S.A.),ENO BRONSTRUP S.A. (E.B.S.A.),URUGUAY,URUGUAY,Corn equivalents,531,0.32744186048
2013,PARAGUAY,CHACOI,FARGO EXPORT,FARGO EXPORT,CHILE,CHILE,Corn equivalents,363096,1944
2014,PARAGUAY,CHACOI,FARGO EXPORT,FARGO EXPORT,CHILE,CHILE,Corn equivalents,408744,2016
2016,PARAGUAY,CHACOI,FECULARIA SALTO PILAO SA,FECULARIA SALTO PILAO SA,CHILE,CHILE,Corn equivalents,32080,110
2017,PARAGUAY,CHACOI,LOUIS DREYFUS PARAGUAY,LOUIS DREYFUS,URUGUAY,URUGUAY,Corn equivalents,71500,650
2016,PARAGUAY,CHACOI,MERCANTIL COMERCIAL (MERCO),LOUIS DREYFUS,URUGUAY,URUGUAY,Corn equivalents,245602,1780
2014,PARAGUAY,CHACOI,METAL ITAPUA S.A.,METAL ITAPUA S.A.,URUGUAY,URUGUAY,Corn equivalents,5880,56
2013,PARAGUAY,CHACOI,NIDERA PARAGUAY GRANOS Y OLEAGINOSAS S.A.,NIDERA,CHILE,CHILE,Corn equivalents,1599,28
2014,PARAGUAY,CHACOI,SESSA MARQUES FEDERICO MIGUEL,SESSA MARQUES FEDERICO MIGUEL,URUGUAY,URUGUAY,Corn equivalents,3375,27
2013,PARAGUAY,CHACOI,THE GRAIN LEADER,THE GRAIN LEADER,URUGUAY,URUGUAY,Corn equivalents,172805,1080
2016,PARAGUAY,CHACOI,VARIETY TRADING SOCIEDAD DE RESPONSABILIDAD LIMITADA,VARIETY TRADING SOCIEDAD DE RESPONSABILIDAD LIMITADA,CHILE,CHILE,Corn equivalents,19900,55
2017,PARAGUAY,CHACOI,VARIETY TRADING SOCIEDAD DE RESPONSABILIDAD LIMITADA,VARIETY TRADING SOCIEDAD DE RESPONSABILIDAD LIMITADA,CHILE,CHILE,Corn equivalents,75235,206.25
2018,PARAGUAY,CHACOI,VARIETY TRADING SOCIEDAD DE RESPONSABILIDAD LIMITADA,VARIETY TRADING SOCIEDAD DE RESPONSABILIDAD LIMITADA,CHILE,CHILE,Corn equivalents,9275,27.5
2017,PARAGUAY,CHACOI,VARIETY TRADING SOCIEDAD DE RESPONSABILIDAD LIMITADA,VARIETY TRADING SOCIEDAD DE RESPONSABILIDAD LIMITADA,URUGUAY,URUGUAY,Corn equivalents,11263,27.5
2018,PARAGUAY,CHACOI,VILLA CAMPO SOCIEDAD ANONIMA,VILLA CAMPO,CHILE,CHILE,Corn equivalents,3532,25.23
2013,PARAGUAY,CIUDAD DEL ESTE,ADM PARAGUAY,ADM,BRAZIL,BRAZIL,Corn equivalents,124200,1000
2016,PARAGUAY,CIUDAD DEL ESTE,ADM PARAGUAY,ADM,BRAZIL,BRAZIL,Corn equivalents,2301020,14000
2017,PARAGUAY,CIUDAD DEL ESTE,ADM PARAGUAY,ADM,BRAZIL,BRAZIL,Corn equivalents,601460,5000
2018,PARAGUAY,CIUDAD DEL ESTE,ADM PARAGUAY,ADM,BRAZIL,BRAZIL,Corn equivalents,2136582,16500
2013,PARAGUAY,CIUDAD DEL ESTE,AGROFERTIL,AGROFERTIL,BRAZIL,BRAZIL,Corn equivalents,3129000,22500
2014,PARAGUAY,CIUDAD DEL ESTE,AGROFERTIL,AGROFERTIL,BRAZIL,BRAZIL,Corn equivalents,9478500,69000
2015,PARAGUAY,CIUDAD DEL ESTE,AGROFERTIL,AGROFERTIL,BRAZIL,BRAZIL,Corn equivalents,2033000,19000
2016,PARAGUAY,CIUDAD DEL ESTE,AGROFERTIL,AGROFERTIL,BRAZIL,BRAZIL,Corn equivalents,21675950,139200
2017,PARAGUAY,CIUDAD DEL ESTE,AGROFERTIL,AGROFERTIL,BRAZIL,BRAZIL,Corn equivalents,4186881,35787.39
2018,PARAGUAY,CIUDAD DEL ESTE,AGROFERTIL,AGROFERTIL,BRAZIL,BRAZIL,Corn equivalents,15068500,93500
2018,PARAGUAY,CIUDAD DEL ESTE,AGRO MERCANTIL LAZZAROTTO,AGRO MERCANTIL LAZZAROTTO,BRAZIL,BRAZIL,Corn equivalents,594000,4000
2018,PARAGUAY,CIUDAD DEL ESTE,AGROPECUARIA CAMPOS NUEVOS,AGROPECUARIA CAMPOS NUEVOS,BRAZIL,BRAZIL,Corn equivalents,763500,4500
2013,PARAGUAY,CIUDAD DEL ESTE,AGRO SILO SANTA CATALINA,AGRO SILO SANTA CATALINA,BRAZIL,BRAZIL,Corn equivalents,3643500,35000
2014,PARAGUAY,CIUDAD DEL ESTE,AGRO SILO SANTA CATALINA,AGRO SILO SANTA CATALINA,BRAZIL,BRAZIL,Corn equivalents,3598900,29100
2016,PARAGUAY,CIUDAD DEL ESTE,AGRO SILO SANTA CATALINA,AGRO SILO SANTA CATALINA,BRAZIL,BRAZIL,Corn equivalents,6558000,39500
2017,PARAGUAY,CIUDAD DEL ESTE,AGRO SILO SANTA CATALINA,AGRO SILO SANTA CATALINA,BRAZIL,BRAZIL,Corn equivalents,475000,4500
2018,PARAGUAY,CIUDAD DEL ESTE,AGRO SILO SANTA CATALINA,AGRO SILO SANTA CATALINA,BRAZIL,BRAZIL,Corn equivalents,246000,2000
2013,PARAGUAY,CIUDAD DEL ESTE,AGROTEC,AGROTEC,BRAZIL,BRAZIL,Corn equivalents,726750,4400
2016,PARAGUAY,CIUDAD DEL ESTE,AGROTEC,AGROTEC,BRAZIL,BRAZIL,Corn equivalents,1605550,10000
2017,PARAGUAY,CIUDAD DEL ESTE,AGROTEC,AGROTEC,BRAZIL,BRAZIL,Corn equivalents,743500,7000
2013,PARAGUAY,CIUDAD DEL ESTE,CARGILL AGROPECUARIA SACI,CARGILL,COLOMBIA,COLOMBIA,Corn equivalents,950782,3296.29
2013,PARAGUAY,CIUDAD DEL ESTE,"COOPERATIVA DE PRODUCCION AGROINDUSTRIAL, CONSUMO Y SERVICIOS   SANTA FE LTDA","COOPERATIVA DE PRODUCCION AGROINDUSTRIAL, CONSUMO Y SERVICIOS   SANTA FE LTDA",BRAZIL,BRAZIL,Corn equivalents,189000,1500
2013,PARAGUAY,CIUDAD DEL ESTE,COOPERATIVA NARANJAL (COPRONAR),COOPERATIVA NARANJAL (COPRONAR),BRAZIL,BRAZIL,Corn equivalents,285500,1500
2013,PARAGUAY,CIUDAD DEL ESTE,COOPERATIVA SANTA MARIA (COOPASAM),COOPERATIVA SANTA MARIA (COOPASAM),BRAZIL,BRAZIL,Corn equivalents,240000,2000
2013,PARAGUAY,CIUDAD DEL ESTE,CRAP,CRAP,BRAZIL,BRAZIL,Corn equivalents,400548,2850.372
2016,PARAGUAY,CIUDAD DEL ESTE,CRAP,CRAP,BRAZIL,BRAZIL,Corn equivalents,141000,1000
2013,PARAGUAY,CIUDAD DEL ESTE,C. VALE SA,C. VALE,BRAZIL,BRAZIL,Corn equivalents,110000,1000
2014,PARAGUAY,CIUDAD DEL ESTE,C. VALE SA,C. VALE,BRAZIL,BRAZIL,Corn equivalents,252000,2000
2013,PARAGUAY,CIUDAD DEL ESTE,DEKALPAR,DEKALPAR,BRAZIL,BRAZIL,Corn equivalents,1163200,8500
2014,PARAGUAY,CIUDAD DEL ESTE,DEKALPAR,DEKALPAR,BRAZIL,BRAZIL,Corn equivalents,795000,6250
2016,PARAGUAY,CIUDAD DEL ESTE,DEKALPAR,DEKALPAR,BRAZIL,BRAZIL,Corn equivalents,118000,1000
2013,PARAGUAY,CIUDAD DEL ESTE,DIAGRO SA,DIAGRO,BRAZIL,BRAZIL,Corn equivalents,909000,7700
2014,PARAGUAY,CIUDAD DEL ESTE,DIAGRO SA,DIAGRO,BRAZIL,BRAZIL,Corn equivalents,369000,3000
2016,PARAGUAY,CIUDAD DEL ESTE,DKP TRADING,DKP TRADING,BRAZIL,BRAZIL,Corn equivalents,5174188,37334.14
2016,PARAGUAY,CIUDAD DEL ESTE,FECULARIA SALTO PILAO SA,FECULARIA SALTO PILAO SA,BRAZIL,BRAZIL,Corn equivalents,2700,7.5
2016,PARAGUAY,CIUDAD DEL ESTE,"""""""G5""""  SOCIEDAD ANONIMA""","""""""G5""""  SOCIEDAD ANONIMA""",BRAZIL,BRAZIL,Corn equivalents,273000,2000
2017,PARAGUAY,CIUDAD DEL ESTE,"""""""G5""""  SOCIEDAD ANONIMA""","""""""G5""""  SOCIEDAD ANONIMA""",BRAZIL,BRAZIL,Corn equivalents,212000,2000
2013,PARAGUAY,CIUDAD DEL ESTE,GENIAL MEJORAMIENTO GENETICO SOCIEDAD  ANONIMA,GENIAL MEJORAMIENTO GENETICO SOCIEDAD  ANONIMA,BRAZIL,BRAZIL,Corn equivalents,20,0.032
2013,PARAGUAY,CIUDAD DEL ESTE,INVERSIONES AGRICOLAS,INVERSIONES AGRICOLAS,BRAZIL,BRAZIL,Corn equivalents,1881446,15300
2014,PARAGUAY,CIUDAD DEL ESTE,INVERSIONES AGRICOLAS,INVERSIONES AGRICOLAS,BRAZIL,BRAZIL,Corn equivalents,654200,4200
2013,PARAGUAY,CIUDAD DEL ESTE,LAR SRL,LAR,BRAZIL,BRAZIL,Corn equivalents,1354000,11500
2014,PARAGUAY,CIUDAD DEL ESTE,LAR SRL,LAR,BRAZIL,BRAZIL,Corn equivalents,2476000,18000
2015,PARAGUAY,CIUDAD DEL ESTE,LAR SRL,LAR,BRAZIL,BRAZIL,Corn equivalents,430000,4000
2016,PARAGUAY,CIUDAD DEL ESTE,LAR SRL,LAR,BRAZIL,BRAZIL,Corn equivalents,11222000,76500
2017,PARAGUAY,CIUDAD DEL ESTE,LAR SRL,LAR,BRAZIL,BRAZIL,Corn equivalents,521000,5000
2018,PARAGUAY,CIUDAD DEL ESTE,LAR SRL,LAR,BRAZIL,BRAZIL,Corn equivalents,3565250,24200
2016,PARAGUAY,CIUDAD DEL ESTE,MOLINOS HARINEROS D' ITALIA,MOLINOS HARINEROS D' ITALIA,BRAZIL,BRAZIL,Corn equivalents,338000,2000
2018,PARAGUAY,CIUDAD DEL ESTE,MOLINOS HARINEROS D' ITALIA,MOLINOS HARINEROS D' ITALIA,BRAZIL,BRAZIL,Corn equivalents,334000,2000
2013,PARAGUAY,CIUDAD DEL ESTE,NATIVA AGRICOLA S.A.,NATIVA AGRICOLA S.A.,BRAZIL,BRAZIL,Corn equivalents,270000,2000
2014,PARAGUAY,CIUDAD DEL ESTE,NATIVA AGRICOLA S.A.,NATIVA AGRICOLA S.A.,BRAZIL,BRAZIL,Corn equivalents,151000,1000
2016,PARAGUAY,CIUDAD DEL ESTE,NIDERA PARAGUAY GRANOS Y OLEAGINOSAS S.A.,COFCO,BRAZIL,BRAZIL,Corn equivalents,268310,2000
2013,PARAGUAY,CIUDAD DEL ESTE,NIDERA PARAGUAY GRANOS Y OLEAGINOSAS S.A.,NIDERA,BRAZIL,BRAZIL,Corn equivalents,234000,2000
2014,PARAGUAY,CIUDAD DEL ESTE,NOBLE PARAGUAY S.A.,COFCO,BRAZIL,BRAZIL,Corn equivalents,1438000,11000
2016,PARAGUAY,CIUDAD DEL ESTE,NOVARA SA,NOVARA SA,BRAZIL,BRAZIL,Corn equivalents,376500,2500
2013,PARAGUAY,CIUDAD DEL ESTE,OLIGRANOS SRL,OLIGRANOS SRL,BRAZIL,BRAZIL,Corn equivalents,1620500,10500
2013,PARAGUAY,CIUDAD DEL ESTE,OVETRIL SA,OVETRIL,BRAZIL,BRAZIL,Corn equivalents,2522000,21800
2014,PARAGUAY,CIUDAD DEL ESTE,OVETRIL SA,OVETRIL,BRAZIL,BRAZIL,Corn equivalents,3609000,29500
2015,PARAGUAY,CIUDAD DEL ESTE,OVETRIL SA,OVETRIL,BRAZIL,BRAZIL,Corn equivalents,3330000,34500
2016,PARAGUAY,CIUDAD DEL ESTE,OVETRIL SA,OVETRIL,BRAZIL,BRAZIL,Corn equivalents,3792000,25000
2017,PARAGUAY,CIUDAD DEL ESTE,OVETRIL SA,OVETRIL,BRAZIL,BRAZIL,Corn equivalents,620000,5000
2018,PARAGUAY,CIUDAD DEL ESTE,OVETRIL SA,OVETRIL,BRAZIL,BRAZIL,Corn equivalents,2563000,19000
2018,PARAGUAY,CIUDAD DEL ESTE,PRODU AGRO,PRODU AGRO,BRAZIL,BRAZIL,Corn equivalents,149000,1000
2017,PARAGUAY,CIUDAD DEL ESTE,SOCIEDAD DE EMPRESARIOS AGRICULTORES 14 MIL SOCIEDAD ANONIMA (SEAGRI 14 MIL S.A.),SOCIEDAD DE EMPRESARIOS AGRICULTORES 14 MIL SOCIEDAD ANONIMA (SEAGRI 14 MIL S.A.),BRAZIL,BRAZIL,Corn equivalents,218000,2000
2017,PARAGUAY,CIUDAD DEL ESTE,SOCIEDAD DE EMPRESARIOS AGRICULTORES MBARACAYU S.A. (SEAGRI MBARACAYU S.A.),SOCIEDAD DE EMPRESARIOS AGRICULTORES MBARACAYU S.A. (SEAGRI MBARACAYU S.A.),BRAZIL,BRAZIL,Corn equivalents,108000,1000
2017,PARAGUAY,CIUDAD DEL ESTE,SYNGENTA PARAGUAY S.A.,SYNGENTA,BOLIVIA,BOLIVIA,Corn equivalents,32347,9.305
2018,PARAGUAY,CIUDAD DEL ESTE,TRANS AGRO SA,TRANSAGRO,BRAZIL,BRAZIL,Corn equivalents,217500,1500
2013,PARAGUAY,CIUDAD DEL ESTE,TRANSPORTADORA INTERNAC. DE CARGAS SAN MIGUEL ARCANGEL SRL,TRANSPORTADORA INTERNAC. DE CARGAS SAN MIGUEL ARCANGEL SRL,BRAZIL,BRAZIL,Corn equivalents,725500,8750
2014,PARAGUAY,CIUDAD DEL ESTE,TRANSPORTADORA INTERNAC. DE CARGAS SAN MIGUEL ARCANGEL SRL,TRANSPORTADORA INTERNAC. DE CARGAS SAN MIGUEL ARCANGEL SRL,BRAZIL,BRAZIL,Corn equivalents,1000000,11500
2015,PARAGUAY,CIUDAD DEL ESTE,TRANSPORTADORA INTERNAC. DE CARGAS SAN MIGUEL ARCANGEL SRL,TRANSPORTADORA INTERNAC. DE CARGAS SAN MIGUEL ARCANGEL SRL,BRAZIL,BRAZIL,Corn equivalents,22400,320
2016,PARAGUAY,CIUDAD DEL ESTE,TRANSPORTADORA INTERNAC. DE CARGAS SAN MIGUEL ARCANGEL SRL,TRANSPORTADORA INTERNAC. DE CARGAS SAN MIGUEL ARCANGEL SRL,BRAZIL,BRAZIL,Corn equivalents,1625000,12500
2017,PARAGUAY,CIUDAD DEL ESTE,TRANSPORTADORA INTERNAC. DE CARGAS SAN MIGUEL ARCANGEL SRL,TRANSPORTADORA INTERNAC. DE CARGAS SAN MIGUEL ARCANGEL SRL,BRAZIL,BRAZIL,Corn equivalents,45000,500
2016,PARAGUAY,CIUDAD DEL ESTE,UNEXPA S.A.,UNEXPA,BRAZIL,BRAZIL,Corn equivalents,240000,2000
2018,PARAGUAY,CIUDAD DEL ESTE,VILLA CAMPO SOCIEDAD ANONIMA,VILLA CAMPO,BRAZIL,BRAZIL,Corn equivalents,66500,500
2015,PARAGUAY,COLONIA NARANJITO,COOPERATIVA NARANJITO,COOPERATIVA NARANJITO,URUGUAY,URUGUAY,Corn equivalents,400000,4000
2018,PARAGUAY,COLONIA NARANJITO,COOPERATIVA NARANJITO,COOPERATIVA NARANJITO,URUGUAY,URUGUAY,Corn equivalents,299000,1300
2015,PARAGUAY,CONCEPCION,AMAGGI SOCIEDAD DE RESPONSABILIDAD LIMITADA,AMAGGI,PHILIPPINES,PHILIPPINES,Corn equivalents,6598267,32999.59
2017,PARAGUAY,CONCEPCION,COFCO AGRI PARAGUAY S.A.,COFCO,ALGERIA,ALGERIA,Corn equivalents,3063500,25700
2014,PARAGUAY,CONCEPCION,FRANCISCO VIERCI Y CIA,FRANCISCO VIERCI Y CIA,VENEZUELA,VENEZUELA,Corn equivalents,4934755.96,15970.084
2014,PARAGUAY,CONCEPCION,LOUIS DREYFUS PARAGUAY,LOUIS DREYFUS,CHILE,CHILE,Corn equivalents,3614338.1,19830
2018,PARAGUAY,CORONEL BOGADO,INDUSTRIA PARAGUAYA DE ALCOHOLES SA,INDUSTRIA PARAGUAYA DE ALCOHOLES SA,VIETNAM,VIETNAM,Corn equivalents,63605,516.5395349072
2016,PARAGUAY,CORPUS CHRISTI,AGRIDESA S.A,AGRIDESA S.A,BRAZIL,BRAZIL,Corn equivalents,139000,1000
2016,PARAGUAY,CORPUS CHRISTI,COFCO AGRI PARAGUAY S.A.,COFCO,BRAZIL,BRAZIL,Corn equivalents,153000,1000
2015,PARAGUAY,CRUCE GUARANI,C. VALE SA,C. VALE,BRAZIL,BRAZIL,Corn equivalents,280000,2000
2014,PARAGUAY,CRUCE GUARANI,UNIGRANOS,UNIGRANOS,BRAZIL,BRAZIL,Corn equivalents,161000,1000
2016,PARAGUAY,CRUCE GUARANI,UNIGRANOS,UNIGRANOS,BRAZIL,BRAZIL,Corn equivalents,4871000,30000
2017,PARAGUAY,CRUCE GUARANI,UNIGRANOS,UNIGRANOS,BRAZIL,BRAZIL,Corn equivalents,1080500,9500
2018,PARAGUAY,CRUCE GUARANI,UNIGRANOS,UNIGRANOS,BRAZIL,BRAZIL,Corn equivalents,356000,3000
2015,PARAGUAY,CURUGUATY,AGROINDUSTRIAL WENDLING SOCIEDAD ANONIMA,AGROINDUSTRIAL WENDLING SOCIEDAD ANONIMA,BOLIVIA,BOLIVIA,Corn equivalents,140970,491
2016,PARAGUAY,CURUGUATY,AGROINDUSTRIAL WENDLING SOCIEDAD ANONIMA,AGROINDUSTRIAL WENDLING SOCIEDAD ANONIMA,BOLIVIA,BOLIVIA,Corn equivalents,71120,252
2016,PARAGUAY,CURUGUATY,AGROINDUSTRIAL WENDLING SOCIEDAD ANONIMA,AGROINDUSTRIAL WENDLING SOCIEDAD ANONIMA,CHILE,CHILE,Corn equivalents,80472,280
2015,PARAGUAY,CURUGUATY,AGROINDUSTRIAL WENDLING SOCIEDAD ANONIMA,AGROINDUSTRIAL WENDLING SOCIEDAD ANONIMA,URUGUAY,URUGUAY,Corn equivalents,31635,105.5
2017,PARAGUAY,CURUGUATY,FECULARIA SALTO PILAO SA,FECULARIA SALTO PILAO SA,ARGENTINA,ARGENTINA,Corn equivalents,314,1
2018,PARAGUAY,CURUGUATY,FECULARIA SALTO PILAO SA,FECULARIA SALTO PILAO SA,ARGENTINA,ARGENTINA,Corn equivalents,21647,68.75
2016,PARAGUAY,CURUGUATY,FECULARIA SALTO PILAO SA,FECULARIA SALTO PILAO SA,BOLIVIA,BOLIVIA,Corn equivalents,85389,247.5
2017,PARAGUAY,CURUGUATY,FECULARIA SALTO PILAO SA,FECULARIA SALTO PILAO SA,BOLIVIA,BOLIVIA,Corn equivalents,87826,284.5
2018,PARAGUAY,CURUGUATY,FECULARIA SALTO PILAO SA,FECULARIA SALTO PILAO SA,BOLIVIA,BOLIVIA,Corn equivalents,8580,26
2014,PARAGUAY,CURUGUATY,FECULARIA SALTO PILAO SA,FECULARIA SALTO PILAO SA,CHILE,CHILE,Corn equivalents,183851.8,467.5
2015,PARAGUAY,CURUGUATY,FECULARIA SALTO PILAO SA,FECULARIA SALTO PILAO SA,CHILE,CHILE,Corn equivalents,480463,1402.5
2016,PARAGUAY,CURUGUATY,FECULARIA SALTO PILAO SA,FECULARIA SALTO PILAO SA,CHILE,CHILE,Corn equivalents,15640,55
2015,PARAGUAY,CURUGUATY,FECULARIA SALTO PILAO SA,FECULARIA SALTO PILAO SA,SOUTH KOREA,SOUTH KOREA,Corn equivalents,4707,16
2016,PARAGUAY,CURUGUATY,MERCANTIL COMERCIAL (MERCO),LOUIS DREYFUS,URUGUAY,URUGUAY,Corn equivalents,79000,500
2017,PARAGUAY,CURUGUATY,MERCANTIL COMERCIAL (MERCO),LOUIS DREYFUS,URUGUAY,URUGUAY,Corn equivalents,48240,360
2017,PARAGUAY,CURUGUATY,VARIETY TRADING SOCIEDAD DE RESPONSABILIDAD LIMITADA,VARIETY TRADING SOCIEDAD DE RESPONSABILIDAD LIMITADA,ARGENTINA,ARGENTINA,Corn equivalents,37,0.1
2017,PARAGUAY,CURUGUATY,VARIETY TRADING SOCIEDAD DE RESPONSABILIDAD LIMITADA,VARIETY TRADING SOCIEDAD DE RESPONSABILIDAD LIMITADA,BOLIVIA,BOLIVIA,Corn equivalents,9855,27
2013,PARAGUAY,CUSTODIA,ADM PARAGUAY,ADM,NIGERIA,NIGERIA,Corn equivalents,6136967,27283.7
