YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,COFFEE_EQUIVALENT_TONNES
2014,PERU,DESAGUADERO,LASINO S A,LASINO S A,BOLIVIA,BOLIVIA,Coffee equivalents,33008.3,2.8775
2015,PERU,DESAGUADERO,LASINO S A,LASINO S A,BOLIVIA,BOLIVIA,Coffee equivalents,30184.2,2.404675
2015,PERU,DESAGUADERO,NESTLE BRASIL LTDA,NESTLE BRASIL LTDA,BOLIVIA,BOLIVIA,Coffee equivalents,21287.6,4.0608
2016,PERU,DESAGUADERO,ORGANO GOLD ENTERPRISES PERU S A C OGE,ORGANO GOLD ENTERPRISES PERU S A C OGE,BOLIVIA,BOLIVIA,Coffee equivalents,66877.4,6.166125
2017,PERU,DESAGUADERO,ORGANO GOLD ENTERPRISES PERU S A C OGE,ORGANO GOLD ENTERPRISES PERU S A C OGE,BOLIVIA,BOLIVIA,Coffee equivalents,59341.03,5.3167125
2015,PERU,DESAGUADERO,TEOMA LABS S A C,TEOMA LABS S A C,BOLIVIA,BOLIVIA,Coffee equivalents,39676.25,4.244525
2015,PERU,DESAGUADERO,TIANSHI PERU S.A.C.,TIANSHI PERU S.A.C.,BOLIVIA,BOLIVIA,Coffee equivalents,5347.38,0.482375
2016,PERU,DESAGUADERO,TIANSHI PERU S.A.C.,TIANSHI PERU S.A.C.,BOLIVIA,BOLIVIA,Coffee equivalents,18949.32,1.7890625
2018,PERU,LA TINA,REPRESENTACIONES MEGO S R L,REPRESENTACIONES MEGO S R L,ECUADOR,ECUADOR,Coffee equivalents,7222,4.6
2014,PERU,PAITA,AGROEXPORTADORA TASTA S A C,AGROEXPORTADORA TASTA S A C,UNITED STATES,UNITED STATES,Coffee equivalents,17992.63,2.208
2015,PERU,PAITA,AGROEXPORTADORA TASTA S A C,AGROEXPORTADORA TASTA S A C,UNITED STATES,UNITED STATES,Coffee equivalents,43293.45,5.658
2018,PERU,PAITA,AGRO EXPORT COFFEE S A C,AGRO EXPORT COFFEE S A C,ITALY,EUROPEAN UNION,Coffee equivalents,43804.7,18.975
2018,PERU,PAITA,AGRO NEGOCIOS MUNDO VERDE E I R L,AGRO NEGOCIOS MUNDO VERDE E I R L,SPAIN,EUROPEAN UNION,Coffee equivalents,104639.1,38.975
2018,PERU,PAITA,AGRO NEGOCIOS MUNDO VERDE E I R L,AGRO NEGOCIOS MUNDO VERDE E I R L,SWEDEN,EUROPEAN UNION,Coffee equivalents,379506.1,168
2013,PERU,PAITA,ARMAJARO PERU S A C,ARMAJARO PERU S A C,BELGIUM,EUROPEAN UNION,Coffee equivalents,172244.42,56.925
2013,PERU,PAITA,ARMAJARO PERU S A C,ARMAJARO PERU S A C,JAPAN,JAPAN,Coffee equivalents,626096.18,232.875
2013,PERU,PAITA,ARMAJARO PERU S A C,ARMAJARO PERU S A C,PORTUGAL,EUROPEAN UNION,Coffee equivalents,54172.81,18.975
2013,PERU,PAITA,ARMAJARO PERU S A C,ARMAJARO PERU S A C,UNITED STATES,UNITED STATES,Coffee equivalents,365509.57,132.825
2013,PERU,PAITA,ASOC. DE PROD.AGRO. DEL VALLE ALTO MAYO,ASOC. DE PROD.AGRO. DEL VALLE ALTO MAYO,MEXICO,MEXICO,Coffee equivalents,144510,34.5
2013,PERU,PAITA,ASOC. DE PROD.AGRO. DEL VALLE ALTO MAYO,ASOC. DE PROD.AGRO. DEL VALLE ALTO MAYO,UNITED STATES,UNITED STATES,Coffee equivalents,477005.4,109.71
2016,PERU,PAITA,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,BELGIUM,EUROPEAN UNION,Coffee equivalents,82372.6,19.665
2016,PERU,PAITA,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,CANADA,CANADA,Coffee equivalents,79482.7,18.975
2014,PERU,PAITA,ASOCIACI?N DE PRODUCTORES CACAOTEROS Y C,ASOCIACI?N DE PRODUCTORES CACAOTEROS Y C,SWEDEN,EUROPEAN UNION,Coffee equivalents,96194.83,18.9751
2016,PERU,PAITA,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,158965.4,37.95
2014,PERU,PAITA,ASOCIACI?N DE PRODUCTORES CACAOTEROS Y C,ASOCIACI?N DE PRODUCTORES CACAOTEROS Y C,UNITED STATES,UNITED STATES,Coffee equivalents,296432.82,56.925
2015,PERU,PAITA,ASOCIACI?N DE PRODUCTORES CACAOTEROS Y C,ASOCIACI?N DE PRODUCTORES CACAOTEROS Y C,UNITED STATES,UNITED STATES,Coffee equivalents,149050.88,37.95
2016,PERU,PAITA,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,UNITED STATES,UNITED STATES,Coffee equivalents,74211.74,18.975
2018,PERU,PAITA,ASOCIACION AGROEXPORTADORA DE LA REGION,ASOCIACION AGROEXPORTADORA DE LA REGION,AUSTRALIA,AUSTRALIA,Coffee equivalents,52709.2,18.975
2018,PERU,PAITA,ASOCIACION AGROEXPORTADORA DE LA REGION,ASOCIACION AGROEXPORTADORA DE LA REGION,BELGIUM,EUROPEAN UNION,Coffee equivalents,189388.2,62.01
2018,PERU,PAITA,ASOCIACION AGROEXPORTADORA DE LA REGION,ASOCIACION AGROEXPORTADORA DE LA REGION,GERMANY,EUROPEAN UNION,Coffee equivalents,117131.6,37.95
2018,PERU,PAITA,ASOCIACION AGROEXPORTADORA DE LA REGION,ASOCIACION AGROEXPORTADORA DE LA REGION,SWEDEN,EUROPEAN UNION,Coffee equivalents,230078.5,82.59
2018,PERU,PAITA,ASOCIACION AGROEXPORTADORA DE LA REGION,ASOCIACION AGROEXPORTADORA DE LA REGION,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,586228.8,189.7502
2018,PERU,PAITA,ASOCIACION AGROPECUARIA DE PRODUCTORES,ASOCIACION AGROPECUARIA DE PRODUCTORES,UNITED STATES,UNITED STATES,Coffee equivalents,308243.4,113.85
2016,PERU,PAITA,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,BELGIUM,EUROPEAN UNION,Coffee equivalents,66932.25,18.975
2014,PERU,PAITA,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,CANADA,CANADA,Coffee equivalents,274015.88,57.27
2015,PERU,PAITA,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,CANADA,CANADA,Coffee equivalents,79450.5,18.975
2016,PERU,PAITA,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,FRANCE,EUROPEAN UNION,Coffee equivalents,66932.25,18.975
2015,PERU,PAITA,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,SWEDEN,EUROPEAN UNION,Coffee equivalents,400045.94,110.26
2013,PERU,PAITA,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,UNITED STATES,UNITED STATES,Coffee equivalents,245767.2,57.96
2014,PERU,PAITA,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,ASOCIACION CENTRAL AGROPECUARIA PERLA DE,UNITED STATES,UNITED STATES,Coffee equivalents,97515.6,19.32
2013,PERU,PAITA,ASOCIACION CENTRAL CAFETALERA AGROPECUAR,ASOCIACION CENTRAL CAFETALERA AGROPECUAR,GERMANY,EUROPEAN UNION,Coffee equivalents,86706.34,20.7
2013,PERU,PAITA,ASOCIACION CENTRAL CAFETALERA AGROPECUAR,ASOCIACION CENTRAL CAFETALERA AGROPECUAR,SWEDEN,EUROPEAN UNION,Coffee equivalents,966486.73,230.736
2013,PERU,PAITA,ASOCIACION CENTRAL CAFETALERA AGROPECUAR,ASOCIACION CENTRAL CAFETALERA AGROPECUAR,UNITED STATES,UNITED STATES,Coffee equivalents,433531.74,103.5
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,ASOCIACION CENTRAL PIURANA DE CAFETALERO,BELGIUM,EUROPEAN UNION,Coffee equivalents,243461.1,57.615
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,ASOCIACION CENTRAL PIURANA DE CAFETALERO,CANADA,CANADA,Coffee equivalents,289020,69
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,ASOCIACION CENTRAL PIURANA DE CAFETALERO,GERMANY,EUROPEAN UNION,Coffee equivalents,646880.65,152.835
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,ASOCIACION CENTRAL PIURANA DE CAFETALERO,IRELAND,EUROPEAN UNION,Coffee equivalents,66932.25,18.975
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,ASOCIACION CENTRAL PIURANA DE CAFETALERO,ITALY,EUROPEAN UNION,Coffee equivalents,72408,19.32
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,ASOCIACION CENTRAL PIURANA DE CAFETALERO,MEXICO,MEXICO,Coffee equivalents,140707.5,34.5
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,ASOCIACION CENTRAL PIURANA DE CAFETALERO,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,73465.09,19.475
2013,PERU,PAITA,ASOCIACION CENTRAL PIURANA DE CAFETALERO,ASOCIACION CENTRAL PIURANA DE CAFETALERO,UNITED STATES,UNITED STATES,Coffee equivalents,424024.5,105.225
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,AUSTRALIA,AUSTRALIA,Coffee equivalents,52500.75,14.7
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,AUSTRALIA,AUSTRALIA,Coffee equivalents,585048.15,147.245
2013,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,BELGIUM,EUROPEAN UNION,Coffee equivalents,79480.81,18.975
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,BELGIUM,EUROPEAN UNION,Coffee equivalents,357748.42,77.28
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,BELGIUM,EUROPEAN UNION,Coffee equivalents,572542.71,133.515
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,BELGIUM,EUROPEAN UNION,Coffee equivalents,491457.15,115.23
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,BELGIUM,EUROPEAN UNION,Coffee equivalents,666893.17,215.625
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,BELGIUM,EUROPEAN UNION,Coffee equivalents,504632.8,151.8
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,CANADA,CANADA,Coffee equivalents,66931.67,18.975
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,CANADA,CANADA,Coffee equivalents,401593.06,113.85
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,CANADA,CANADA,Coffee equivalents,679767.8,209.415
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,COLOMBIA,COLOMBIA,Coffee equivalents,71638.9,18.975
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,FRANCE,EUROPEAN UNION,Coffee equivalents,82074.4,18.975
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,FRANCE,EUROPEAN UNION,Coffee equivalents,79480.82,18.975
2013,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,GERMANY,EUROPEAN UNION,Coffee equivalents,433549.06,103.42
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,GERMANY,EUROPEAN UNION,Coffee equivalents,208246.67,39.745
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,GERMANY,EUROPEAN UNION,Coffee equivalents,1042986.66,251.86
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,GERMANY,EUROPEAN UNION,Coffee equivalents,232335.69,61.87
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,GERMANY,EUROPEAN UNION,Coffee equivalents,285266.01,83.421
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,GERMANY,EUROPEAN UNION,Coffee equivalents,425143.98,121.371
2013,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,MEXICO,MEXICO,Coffee equivalents,72255.29,17.25
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,MEXICO,MEXICO,Coffee equivalents,72372.3,18.975
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,MEXICO,MEXICO,Coffee equivalents,184987.7,50.715
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,NETHERLANDS,EUROPEAN UNION,Coffee equivalents,192436.86,37.95
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,NETHERLANDS,EUROPEAN UNION,Coffee equivalents,66931.67,18.975
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,NETHERLANDS,EUROPEAN UNION,Coffee equivalents,133863.33,37.95
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,NETHERLANDS,EUROPEAN UNION,Coffee equivalents,117130.41,37.95
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,NETHERLANDS,EUROPEAN UNION,Coffee equivalents,175695.6,56.925
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,NEW ZEALAND,NEW ZEALAND,Coffee equivalents,71116.9,18.975
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,NORWAY,NORWAY,Coffee equivalents,89369.88,17.25
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,NORWAY,NORWAY,Coffee equivalents,172616.36,45.195
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,NORWAY,NORWAY,Coffee equivalents,101311.3,22.77
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,SINGAPORE,SINGAPORE,Coffee equivalents,88538.93,18.975
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,SOUTH KOREA,SOUTH KOREA,Coffee equivalents,76211.9,15.18
2013,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,SWEDEN,EUROPEAN UNION,Coffee equivalents,351357.56,83.882
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,SWEDEN,EUROPEAN UNION,Coffee equivalents,524862.43,104.88
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,SWEDEN,EUROPEAN UNION,Coffee equivalents,253594.65,62.721
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,SWEDEN,EUROPEAN UNION,Coffee equivalents,533314.8,124.037
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,SWEDEN,EUROPEAN UNION,Coffee equivalents,599506.03,187.211
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,SWEDEN,EUROPEAN UNION,Coffee equivalents,63889.9,20.7
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,86973.09,18.975
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,88560.45,18.975
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,262556.7,56.925
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,824494.99,225.975
2013,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,UNITED STATES,UNITED STATES,Coffee equivalents,129894.88,37.95
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,UNITED STATES,UNITED STATES,Coffee equivalents,541460.43,112.47
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,UNITED STATES,UNITED STATES,Coffee equivalents,632093.04,171.12
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,UNITED STATES,UNITED STATES,Coffee equivalents,1877249.15,513.35865
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,UNITED STATES,UNITED STATES,Coffee equivalents,2025896.66,569.9398
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES AGROPECUARIOS,ASOCIACION DE PRODUCTORES AGROPECUARIOS,UNITED STATES,UNITED STATES,Coffee equivalents,3888691.35,1121.3638
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS A,ASOCIACION DE PRODUCTORES CAFETALEROS A,BELGIUM,EUROPEAN UNION,Coffee equivalents,39398.8,12.765
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS A,ASOCIACION DE PRODUCTORES CAFETALEROS A,CANADA,CANADA,Coffee equivalents,117132.4,37.95
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS A,ASOCIACION DE PRODUCTORES CAFETALEROS A,CANADA,CANADA,Coffee equivalents,175698.6,56.925
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS A,ASOCIACION DE PRODUCTORES CAFETALEROS A,MEXICO,MEXICO,Coffee equivalents,58551.7,18.975
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS A,ASOCIACION DE PRODUCTORES CAFETALEROS A,UNITED STATES,UNITED STATES,Coffee equivalents,233055.4,75.9
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS AL,ASOCIACION DE PRODUCTORES CAFETALEROS AL,CANADA,CANADA,Coffee equivalents,117132,37.95
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS AL,ASOCIACION DE PRODUCTORES CAFETALEROS AL,UNITED STATES,UNITED STATES,Coffee equivalents,175698.2,56.925
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,AUSTRALIA,AUSTRALIA,Coffee equivalents,121313.66,37.95
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,BELGIUM,EUROPEAN UNION,Coffee equivalents,509244.33,96.65
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,BELGIUM,EUROPEAN UNION,Coffee equivalents,252898.63,60.375
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,BELGIUM,EUROPEAN UNION,Coffee equivalents,60239.52,18.975
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,BELGIUM,EUROPEAN UNION,Coffee equivalents,234259.2,75.8997
2013,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,CANADA,CANADA,Coffee equivalents,79482.7,18.975
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,CANADA,CANADA,Coffee equivalents,158965.41,37.95
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,CANADA,CANADA,Coffee equivalents,158966.13,37.95
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,CANADA,CANADA,Coffee equivalents,86175.98,18.975
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,CANADA,CANADA,Coffee equivalents,635815.94,200.1
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,CANADA,CANADA,Coffee equivalents,234263.1,75.9
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,DENMARK,EUROPEAN UNION,Coffee equivalents,99357.5,18.975
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,DENMARK,EUROPEAN UNION,Coffee equivalents,232605.34,56.925
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,DENMARK,EUROPEAN UNION,Coffee equivalents,153175,37.95
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,GERMANY,EUROPEAN UNION,Coffee equivalents,87847.8,18.975
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,GERMANY,EUROPEAN UNION,Coffee equivalents,513023.27,122.445
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,GERMANY,EUROPEAN UNION,Coffee equivalents,1161565.52,278.995
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,GERMANY,EUROPEAN UNION,Coffee equivalents,163646.1,56.925
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,GERMANY,EUROPEAN UNION,Coffee equivalents,51097.5,20.7
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,SWEDEN,EUROPEAN UNION,Coffee equivalents,260124.47,62.06
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,SWEDEN,EUROPEAN UNION,Coffee equivalents,836410.43,186.18
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,SWEDEN,EUROPEAN UNION,Coffee equivalents,245942.61,60.375
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,SWEDEN,EUROPEAN UNION,Coffee equivalents,192195,82.8
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,UNITED KINGDOM,EUROPEAN UNION,Coffee equivalents,66934.56,18.975
2014,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,UNITED STATES,UNITED STATES,Coffee equivalents,185704.22,36.225
2015,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,UNITED STATES,UNITED STATES,Coffee equivalents,108383.65,34.49982
2016,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,UNITED STATES,UNITED STATES,Coffee equivalents,420424.06,113.85
2017,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,UNITED STATES,UNITED STATES,Coffee equivalents,701428.1,215.625
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS DE,ASOCIACION DE PRODUCTORES CAFETALEROS DE,UNITED STATES,UNITED STATES,Coffee equivalents,1046105.85,352.0373
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS EL,ASOCIACION DE PRODUCTORES CAFETALEROS EL,CANADA,CANADA,Coffee equivalents,351393.2,113.85
2018,PERU,PAITA,ASOCIACION DE PRODUCTORES CAFETALEROS EL,ASOCIACION DE PRODUCTORES CAFETALEROS EL,GERMANY,EUROPEAN UNION,Coffee equivalents,356600.9,107.313
