YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,COFFEE_EQUIVALENT_TONNES
2013,PERU,PUERTO DEL CALLAO,MACHU PICCHU COFFEE TRADING S.A.C.,MACHU PICCHU COFFEE TRADING S.A.C.,COLOMBIA,COLOMBIA,Coffee equivalents,339695.65,167.4
2013,PERU,PUERTO DEL CALLAO,MACHU PICCHU COFFEE TRADING S.A.C.,MACHU PICCHU COFFEE TRADING S.A.C.,FINLAND,EUROPEAN UNION,Coffee equivalents,57075.03,19.32
2013,PERU,PUERTO DEL CALLAO,MACHU PICCHU COFFEE TRADING S.A.C.,MACHU PICCHU COFFEE TRADING S.A.C.,POLAND,EUROPEAN UNION,Coffee equivalents,59193.75,18.975
2013,PERU,PUERTO DEL CALLAO,MACHU PICCHU COFFEE TRADING S.A.C.,MACHU PICCHU COFFEE TRADING S.A.C.,SPAIN,EUROPEAN UNION,Coffee equivalents,259278.75,115.51
2014,PERU,PUERTO DEL CALLAO,MACHU PICCHU COFFEE TRADING S.A.C.,MACHU PICCHU COFFEE TRADING S.A.C.,SPAIN,EUROPEAN UNION,Coffee equivalents,81468.75,18.975
2013,PERU,PUERTO DEL CALLAO,MACHU PICCHU COFFEE TRADING S.A.C.,MACHU PICCHU COFFEE TRADING S.A.C.,UNITED STATES,UNITED STATES,Coffee equivalents,1424504.01,616.86
2014,PERU,PUERTO DEL CALLAO,MACHU PICCHU COFFEE TRADING S.A.C.,MACHU PICCHU COFFEE TRADING S.A.C.,UNITED STATES,UNITED STATES,Coffee equivalents,69750,51.75
2018,PERU,PUERTO DEL CALLAO,MANDINA HOLDINGS S A C,MANDINA HOLDINGS S A C,CANADA,CANADA,Coffee equivalents,731.43,0.166625
2013,PERU,PUERTO DEL CALLAO,MAPA LOGISTICA INTERNACIONAL,MAPA LOGISTICA INTERNACIONAL,ITALY,EUROPEAN UNION,Coffee equivalents,315.6,0.0714125
2017,PERU,PUERTO DEL CALLAO,MAREMI S A C,MAREMI S A C,ITALY,EUROPEAN UNION,Coffee equivalents,11.16,0.004375
