YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,BEEF_EQUIVALENT_TONNES
2013,COLOMBIA,ADUANAS DE CUCUTA,CORTES RUIZ MARCO FIDEL,CORTES RUIZ MARCO FIDEL,FRIGORIFICO EL GRAN MAUTE C A,FRIGORIFICO EL GRAN MAUTE C A,VENEZUELA,VENEZUELA,Beef equivalents,1839600,440.265
2013,COLOMBIA,ADUANAS DE CUCUTA,CORTES RUIZ MARCO FIDEL,CORTES RUIZ MARCO FIDEL,INVS FRIGOSUR DSR C A,INVS FRIGOSUR DSR C A,VENEZUELA,VENEZUELA,Beef equivalents,758400,179.7
2013,COLOMBIA,ADUANAS DE CUCUTA,DIAZ PUERTO JAIRO ENRIQUE Y O EXPS JAIRO ENRIQ DIAZ,DIAZ PUERTO JAIRO ENRIQUE Y O EXPS JAIRO ENRIQ DIAZ,AGROPECUARIA LA GONZALERA C A,AGROPECUARIA LA GONZALERA C A,VENEZUELA,VENEZUELA,Beef equivalents,1108049.81,245.583087889964
2013,COLOMBIA,ADUANAS DE CUCUTA,DIAZ ROZO FABIAN GUSTAVO EXPODIAZ,DIAZ ROZO FABIAN GUSTAVO EXPODIAZ,AGROPECUARIA LA GONZALERA C A,AGROPECUARIA LA GONZALERA C A,VENEZUELA,VENEZUELA,Beef equivalents,2530098.22,550.989293373473
2013,COLOMBIA,ADUANAS DE CUCUTA,DISTRIB JAGME S A S,DISTRIB JAGME S A S,CORP DE ABASTECIMIENTO Y SERVS AGRICOLAS S A,CORP DE ABASTECIMIENTO Y SERVS AGRICOLAS S A,VENEZUELA,VENEZUELA,Beef equivalents,2047382.4,487.472
2014,COLOMBIA,ADUANAS DE CUCUTA,DISTRIB JAGME S A S,DISTRIB JAGME S A S,SERVS MATO GROSSO C A,SERVS MATO GROSSO C A,VENEZUELA,VENEZUELA,Beef equivalents,2700000,503.16
2013,COLOMBIA,ADUANAS DE CUCUTA,DUARTE RUIZ EDGAR GERARDO,DUARTE RUIZ EDGAR GERARDO,LA VAQUERIA LACTEOS Y QUESOS ARTESANALES C A,LA VAQUERIA LACTEOS Y QUESOS ARTESANALES C A,VENEZUELA,VENEZUELA,Beef equivalents,2138777.66,436.237608007997
2013,COLOMBIA,ADUANAS DE CUCUTA,DUARTE SANCHEZ MILTON ALFONSO CIALZ DE GANADO,DUARTE SANCHEZ MILTON ALFONSO CIALZ DE GANADO,ASOC COOP PESQ MADRE JUANA,ASOC COOP PESQ MADRE JUANA,VENEZUELA,VENEZUELA,Beef equivalents,4464000,970.38
2013,COLOMBIA,ADUANAS DE CUCUTA,DUARTE SANCHEZ MILTON ALFONSO CIALZ DE GANADO,DUARTE SANCHEZ MILTON ALFONSO CIALZ DE GANADO,ASOC COOP PESQUERA MADRE JUANA 3168 R L,ASOC COOP PESQUERA MADRE JUANA 3168 R L,VENEZUELA,VENEZUELA,Beef equivalents,372000,80.865
2013,COLOMBIA,ADUANAS DE CUCUTA,DUARTE SANCHEZ MILTON ALFONSO CIALZ DE GANADO,DUARTE SANCHEZ MILTON ALFONSO CIALZ DE GANADO,FERREAGRO LAS TRES EEE C A,FERREAGRO LAS TRES EEE C A,VENEZUELA,VENEZUELA,Beef equivalents,742800,161.73
2013,COLOMBIA,ADUANAS DE CUCUTA,DUARTE SANCHEZ MILTON ALFONSO CIALZ DE GANADO,DUARTE SANCHEZ MILTON ALFONSO CIALZ DE GANADO,SOLCARIBE C A,SOLCARIBE C A,VENEZUELA,VENEZUELA,Beef equivalents,742800,167.121
2013,COLOMBIA,ADUANAS DE CUCUTA,EXPOAMERICANA DE INVS S A S,EXPOAMERICANA DE INVS S A S,DIST Y PROCESADORA DE CARNES DISPROCAR,DIST Y PROCESADORA DE CARNES DISPROCAR,VENEZUELA,VENEZUELA,Beef equivalents,365100,88.053
2013,COLOMBIA,ADUANAS DE CUCUTA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,AGROINVERSIONES DEL OCCIDENTE C.A,AGROINVERSIONES DEL OCCIDENTE C.A,VENEZUELA,VENEZUELA,Beef equivalents,738000,165.324
2013,COLOMBIA,ADUANAS DE CUCUTA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,AGROPECUARIA E INDS LAS DOS REINAS C A,AGROPECUARIA E INDS LAS DOS REINAS C A,VENEZUELA,VENEZUELA,Beef equivalents,738000,165.324
2013,COLOMBIA,ADUANAS DE CUCUTA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,CARNES EL PAZO C.A,CARNES EL PAZO C.A,VENEZUELA,VENEZUELA,Beef equivalents,1840740,413.31
2013,COLOMBIA,ADUANAS DE CUCUTA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,CIALZDORA EL MAUTE C A,CIALZDORA EL MAUTE C A,VENEZUELA,VENEZUELA,Beef equivalents,1103544,247.986
2013,COLOMBIA,ADUANAS DE CUCUTA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,CORP DE ABASTECIMIENTO Y SERVS AGRICOLAS S A,CORP DE ABASTECIMIENTO Y SERVS AGRICOLAS S A,VENEZUELA,VENEZUELA,Beef equivalents,7636206.81,1852.01782
2014,COLOMBIA,ADUANAS DE CUCUTA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,CORP DE ABASTECIMIENTO Y SERVS AGRICOLAS S A,CORP DE ABASTECIMIENTO Y SERVS AGRICOLAS S A,VENEZUELA,VENEZUELA,Beef equivalents,4042500,1013.31
2013,COLOMBIA,ADUANAS DE CUCUTA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,EL SURTIDOR,EL SURTIDOR,VENEZUELA,VENEZUELA,Beef equivalents,990400,220.432
2013,COLOMBIA,ADUANAS DE CUCUTA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,FRIGORIFICO INDL TURMERO C A,FRIGORIFICO INDL TURMERO C A,VENEZUELA,VENEZUELA,Beef equivalents,3636982,799.066
2013,COLOMBIA,ADUANAS DE CUCUTA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,IMPDORA FC40 C A,IMPDORA FC40 C A,VENEZUELA,VENEZUELA,Beef equivalents,2202300,495.972
2013,COLOMBIA,ADUANAS DE CUCUTA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,IMPS GANAPANAM C A,IMPS GANAPANAM C A,VENEZUELA,VENEZUELA,Beef equivalents,9268500,2066.55
2013,COLOMBIA,ADUANAS DE CUCUTA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,INVS 6308 C A,INVS 6308 C A,VENEZUELA,VENEZUELA,Beef equivalents,1561074,330.314893979982
2013,COLOMBIA,ADUANAS DE CUCUTA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,LA VAQUERIA LACTEOS Y QUESOS ARTESANALES C A,LA VAQUERIA LACTEOS Y QUESOS ARTESANALES C A,VENEZUELA,VENEZUELA,Beef equivalents,1857000,413.31
2013,COLOMBIA,ADUANAS DE CUCUTA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,MATADERO INDL CENTRO OCCIDENTAL C A,MATADERO INDL CENTRO OCCIDENTAL C A,VENEZUELA,VENEZUELA,Beef equivalents,366600,82.662
2013,COLOMBIA,ADUANAS DE CUCUTA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,PANAMERICANA DE IMPS C A,PANAMERICANA DE IMPS C A,VENEZUELA,VENEZUELA,Beef equivalents,2223000,495.972
2013,COLOMBIA,ADUANAS DE CUCUTA,EXPOGANADOS INTL S A S,EXPOGANADOS INTL S A S,PROCESADORA DE CARNES FITCA,PROCESADORA DE CARNES FITCA,VENEZUELA,VENEZUELA,Beef equivalents,2593782,578.634
2013,COLOMBIA,ADUANAS DE CUCUTA,FOOD TRADERS WORLDWIDE S A S,FOOD TRADERS WORLDWIDE S A S,AGROPECUARIA LA GONZALERA C A,AGROPECUARIA LA GONZALERA C A,VENEZUELA,VENEZUELA,Beef equivalents,8246148.57,1757.04242386012
2013,COLOMBIA,ADUANAS DE CUCUTA,GRANDEXPORT S A S,GRANDEXPORT S A S,AGROPECUARIA LA GONZALERA C A,AGROPECUARIA LA GONZALERA C A,VENEZUELA,VENEZUELA,Beef equivalents,2202015,492.340199975908
2013,COLOMBIA,ADUANAS DE CUCUTA,GRANDEXPORT S A S,GRANDEXPORT S A S,CONSORCIO COMEIMP C A,CONSORCIO COMEIMP C A,VENEZUELA,VENEZUELA,Beef equivalents,1519064,358.801
2013,COLOMBIA,ADUANAS DE CUCUTA,GRANDEXPORT S A S,GRANDEXPORT S A S,INVS 6308 C A,INVS 6308 C A,VENEZUELA,VENEZUELA,Beef equivalents,2670286,618.767
2014,COLOMBIA,ADUANAS DE CUCUTA,GRUPO EMPRESARIAL INEXCO S A S,GRUPO EMPRESARIAL INEXCO S A S,CORP DE ABASTECIMIENTO Y SERVS AGRICOLAS S A,CORP DE ABASTECIMIENTO Y SERVS AGRICOLAS S A,VENEZUELA,VENEZUELA,Beef equivalents,1738522.75,403.146950933719
2013,COLOMBIA,ADUANAS DE CUCUTA,GRUPO EMPRESARIAL INEXCO S A S,GRUPO EMPRESARIAL INEXCO S A S,INV MAR Y AIRE,INV MAR Y AIRE,VENEZUELA,VENEZUELA,Beef equivalents,1367639.06,274.054937719667
2013,COLOMBIA,ADUANAS DE CUCUTA,GRUPO EMPRESARIAL INEXCO S A S,GRUPO EMPRESARIAL INEXCO S A S,SUPLIDORES GRAN NAL C A,SUPLIDORES GRAN NAL C A,VENEZUELA,VENEZUELA,Beef equivalents,2450677.43,486.987935527887
2013,COLOMBIA,ADUANAS DE CUCUTA,GRUPO IMP Y EXP COLOMBIANO GIMEXCOL S A S,GRUPO IMP Y EXP COLOMBIANO GIMEXCOL S A S,EL SURTIDOR,EL SURTIDOR,VENEZUELA,VENEZUELA,Beef equivalents,912750,247.0875
2013,COLOMBIA,ADUANAS DE CUCUTA,IMPS Y EXPS BOGOTA,IMPS Y EXPS BOGOTA,SUMINISTROS AGRARES 8 Y 8 C A,SUMINISTROS AGRARES 8 Y 8 C A,VENEZUELA,VENEZUELA,Beef equivalents,1134000,242.595
2013,COLOMBIA,ADUANAS DE CUCUTA,INVS ARIZA QUINTERO S EN C,INVS ARIZA QUINTERO S EN C,AGROPECUARIA EL BUFALO 2000 C A,AGROPECUARIA EL BUFALO 2000 C A,VENEZUELA,VENEZUELA,Beef equivalents,22799655.28,4976.27817191593
2013,COLOMBIA,ADUANAS DE CUCUTA,INVS ARIZA QUINTERO S EN C,INVS ARIZA QUINTERO S EN C,AGROPECUARIA RISAMANTA C A,AGROPECUARIA RISAMANTA C A,VENEZUELA,VENEZUELA,Beef equivalents,2640505.62,523.3577460333
2013,COLOMBIA,ADUANAS DE CUCUTA,INVS EXPODIAZ S A S,INVS EXPODIAZ S A S,AGROPECUARIA LA GONZALERA C A,AGROPECUARIA LA GONZALERA C A,VENEZUELA,VENEZUELA,Beef equivalents,1141200,260.565
2013,COLOMBIA,ADUANAS DE CUCUTA,INVS HMCR S A S,INVS HMCR S A S,CONSORCIO COMEIMP C A,CONSORCIO COMEIMP C A,VENEZUELA,VENEZUELA,Beef equivalents,731850.57,164.673572399976
2013,COLOMBIA,ADUANAS DE CUCUTA,INVS HRS E HIJOS S A S,INVS HRS E HIJOS S A S,AGROPECUARIA LA GONZALERA C A,AGROPECUARIA LA GONZALERA C A,VENEZUELA,VENEZUELA,Beef equivalents,5270838.12,1057.04288132023
2013,COLOMBIA,ADUANAS DE CUCUTA,INVS HRS E HIJOS S A S,INVS HRS E HIJOS S A S,INVS 6308 C A,INVS 6308 C A,VENEZUELA,VENEZUELA,Beef equivalents,760800,179.7
2013,COLOMBIA,ADUANAS DE CUCUTA,INVS HRS E HIJOS S A S,INVS HRS E HIJOS S A S,LA MANSION DE LAS CARNES S A,LA MANSION DE LAS CARNES S A,VENEZUELA,VENEZUELA,Beef equivalents,1111262.94,230.454608495901
2014,COLOMBIA,ADUANAS DE CUCUTA,INVS HRS E HIJOS S A S,INVS HRS E HIJOS S A S,LA MANSION DE LAS CARNES S A,LA MANSION DE LAS CARNES S A,VENEZUELA,VENEZUELA,Beef equivalents,409129.84,92.2851697152358
2013,COLOMBIA,ADUANAS DE CUCUTA,INVS KUKENAN S A S,INVS KUKENAN S A S,INV MAR Y AIRE,INV MAR Y AIRE,VENEZUELA,VENEZUELA,Beef equivalents,5040685.38,1040.81266758226
2013,COLOMBIA,ADUANAS DE CUCUTA,INVS KUKENAN S A S,INVS KUKENAN S A S,SUPLIDORES GRAN NAL C A,SUPLIDORES GRAN NAL C A,VENEZUELA,VENEZUELA,Beef equivalents,3795032.19,771.827013953943
2013,COLOMBIA,ADUANAS DE CUCUTA,JAIME DARIO DUBEIBE BLANCO INVS DUBEIBE BLANCO,JAIME DARIO DUBEIBE BLANCO INVS DUBEIBE BLANCO,CIALZDORA DANFRE C A,CIALZDORA DANFRE C A,VENEZUELA,VENEZUELA,Beef equivalents,1882800,404.325
2013,COLOMBIA,ADUANAS DE CUCUTA,JERONIMO PIMENTEL GOMEZ,JERONIMO PIMENTEL GOMEZ,AGROPECUARIA RISAMANTA C A,AGROPECUARIA RISAMANTA C A,VENEZUELA,VENEZUELA,Beef equivalents,14000,0.9584
2013,COLOMBIA,ADUANAS DE CUCUTA,MARKETING DE COLOMBIA S A MARKETCOL S A,MARKETING DE COLOMBIA S A MARKETCOL S A,INV EL NOVILLO 2040 C A,INV EL NOVILLO 2040 C A,VENEZUELA,VENEZUELA,Beef equivalents,11205049.78,2217.68241744292
2014,COLOMBIA,ADUANAS DE CUCUTA,MARKETING DE COLOMBIA S A MARKETCOL S A,MARKETING DE COLOMBIA S A MARKETCOL S A,INV EL NOVILLO 2040 C A,INV EL NOVILLO 2040 C A,VENEZUELA,VENEZUELA,Beef equivalents,311479.25,68.6234294251967
2013,COLOMBIA,ADUANAS DE CUCUTA,MINERVA COLOMBIA S A S,MINERVA COLOMBIA S A S,FRIGORIFICO INDL LOS ANDES C A FILACA,FRIGORIFICO INDL LOS ANDES C A FILACA,VENEZUELA,VENEZUELA,Beef equivalents,1837500,404.325
2013,COLOMBIA,ADUANAS DE CUCUTA,OCA TRADING S A S,OCA TRADING S A S,INVS KAV C A,INVS KAV C A,VENEZUELA,VENEZUELA,Beef equivalents,7775305.37,1684.87768526109
2013,COLOMBIA,ADUANAS DE CUCUTA,O L CIALZDORA S A S,O L CIALZDORA S A S,AGROPECUARIA EL BUFALO 2000 C A,AGROPECUARIA EL BUFALO 2000 C A,VENEZUELA,VENEZUELA,Beef equivalents,1857000,418.701
2013,COLOMBIA,ADUANAS DE CUCUTA,OVALLES SOGAMOSO JOSE HELI Y O CIALZ OVALLES,OVALLES SOGAMOSO JOSE HELI Y O CIALZ OVALLES,CIALZDORA DANFRE C A,CIALZDORA DANFRE C A,VENEZUELA,VENEZUELA,Beef equivalents,1503900,323.46
2013,COLOMBIA,ADUANAS DE CUCUTA,OVALLES SOGAMOSO JOSE HELI Y O CIALZ OVALLES,OVALLES SOGAMOSO JOSE HELI Y O CIALZ OVALLES,CIALZDORA THE BENIDORM IMP C A,CIALZDORA THE BENIDORM IMP C A,VENEZUELA,VENEZUELA,Beef equivalents,757800,161.73
2013,COLOMBIA,ADUANAS DE CUCUTA,PORTO CERVO S A S,PORTO CERVO S A S,PANEXUS DE VENEZUELA,PANEXUS DE VENEZUELA,VENEZUELA,VENEZUELA,Beef equivalents,1405500,347.7195
2013,COLOMBIA,ADUANAS DE CUCUTA,REY CONTRERAS JAVIER DARIO,REY CONTRERAS JAVIER DARIO,LOTHER GROUP VENEZUELA C A,LOTHER GROUP VENEZUELA C A,VENEZUELA,VENEZUELA,Beef equivalents,760800,161.73
2013,COLOMBIA,ADUANAS DE CUCUTA,RH EXPS S A S,RH EXPS S A S,AGROPECUARIA LA GONZALERA C A,AGROPECUARIA LA GONZALERA C A,VENEZUELA,VENEZUELA,Beef equivalents,3455242.38,682.378059477957
2013,COLOMBIA,ADUANAS DE CUCUTA,RODRIGUEZ GOMEZ JEEFFERSON ATIR,RODRIGUEZ GOMEZ JEEFFERSON ATIR,AGROPECUARIA LA GONZALERA C A,AGROPECUARIA LA GONZALERA C A,VENEZUELA,VENEZUELA,Beef equivalents,5841356.61,1229.64456424098
2013,COLOMBIA,ADUANAS DE CUCUTA,RODRIGUEZ GOMEZ JEEFFERSON ATIR,RODRIGUEZ GOMEZ JEEFFERSON ATIR,FERREAGRO LAS TRES EEE C A,FERREAGRO LAS TRES EEE C A,VENEZUELA,VENEZUELA,Beef equivalents,689937.9,137.243647059991
2013,COLOMBIA,ADUANAS DE CUCUTA,RODRIGUEZ MONSALVE MANUEL ELEAZAR,RODRIGUEZ MONSALVE MANUEL ELEAZAR,AGROPECUARIA LA GONZALERA C A,AGROPECUARIA LA GONZALERA C A,VENEZUELA,VENEZUELA,Beef equivalents,9940496.15,2083.36950081857
2013,COLOMBIA,ADUANAS DE CUCUTA,ROJAS SERRANO HECTOR EXPS E IMPS,ROJAS SERRANO HECTOR EXPS E IMPS,AGROPECUARIA LA GONZALERA C A,AGROPECUARIA LA GONZALERA C A,VENEZUELA,VENEZUELA,Beef equivalents,1141200,259.6665
2013,COLOMBIA,ADUANAS DE CUCUTA,ROJAS SERRANO HECTOR EXPS E IMPS,ROJAS SERRANO HECTOR EXPS E IMPS,OPERACIONES TAURO IMP 3000 C A,OPERACIONES TAURO IMP 3000 C A,VENEZUELA,VENEZUELA,Beef equivalents,1521600,359.4
2013,COLOMBIA,ADUANAS DE CUCUTA,ROJAS SERRANO HECTOR EXPS E IMPS,ROJAS SERRANO HECTOR EXPS E IMPS,OPERACIONES TAURO IMP 3000 C A,OPERACIONES TAURO IMP 3000 C A,VIETNAM,VIETNAM,Beef equivalents,355040,83.86
2013,COLOMBIA,ADUANAS DE CUCUTA,ROJAS VILLAN DIEGO FERNANDO,ROJAS VILLAN DIEGO FERNANDO,AGROPECUARIA LA GONZALERA C A,AGROPECUARIA LA GONZALERA C A,VENEZUELA,VENEZUELA,Beef equivalents,692345.1,136.731682179618
2013,COLOMBIA,ADUANAS DE CUCUTA,ROJAS VILLAN LEIDY JOHANNA,ROJAS VILLAN LEIDY JOHANNA,INVS 6308 C A,INVS 6308 C A,VENEZUELA,VENEZUELA,Beef equivalents,682153.63,130.950596711406
2013,COLOMBIA,ADUANAS DE CUCUTA,ROJAS VILLAN LEIDY JOHANNA,ROJAS VILLAN LEIDY JOHANNA,OPERACIONES TAURO IMP 3000 C A,OPERACIONES TAURO IMP 3000 C A,VENEZUELA,VENEZUELA,Beef equivalents,380400,89.85
2013,COLOMBIA,ADUANAS DE CUCUTA,SAN GREGORIO S A S,SAN GREGORIO S A S,EMPRESA TAURINA HNOS RODRIGUEZ JAUREGUI,EMPRESA TAURINA HNOS RODRIGUEZ JAUREGUI,VENEZUELA,VENEZUELA,Beef equivalents,24500,2.0965
2014,COLOMBIA,ADUANAS DE CUCUTA,SAN GREGORIO S A S,SAN GREGORIO S A S,GRISOLIA GUILLEN NELSON,GRISOLIA GUILLEN NELSON,VENEZUELA,VENEZUELA,Beef equivalents,21000,2.0965
2013,COLOMBIA,ADUANAS DE CUCUTA,S C I MANUECABRALES Y CIA S A S,S C I MANUECABRALES Y CIA S A S,AGROPECUARIA BAJO VERDE C A,AGROPECUARIA BAJO VERDE C A,VENEZUELA,VENEZUELA,Beef equivalents,4177800,1029.681
2013,COLOMBIA,ADUANAS DE CUCUTA,SISA LTDA,SISA LTDA,AGROMANA C A,AGROMANA C A,VENEZUELA,VENEZUELA,Beef equivalents,1129500,253.377
2013,COLOMBIA,ADUANAS DE CUCUTA,SISA LTDA,SISA LTDA,ARFIS DE VENEZUELA C A,ARFIS DE VENEZUELA C A,VENEZUELA,VENEZUELA,Beef equivalents,3660000,843.6915
2013,COLOMBIA,ADUANAS DE CUCUTA,SISA LTDA,SISA LTDA,CORVENCIA,CORVENCIA,VENEZUELA,VENEZUELA,Beef equivalents,1107000,253.377
2013,COLOMBIA,ADUANAS DE CUCUTA,SOC DE COMERCIALIZACION INTL GRUPO TIUNA LTDA,SOC DE COMERCIALIZACION INTL GRUPO TIUNA LTDA,AGROPECUARIA TEMBLADOR C A,AGROPECUARIA TEMBLADOR C A,VENEZUELA,VENEZUELA,Beef equivalents,1440000,345.024
2014,COLOMBIA,ADUANAS DE CUCUTA,SOC DE COMERCIALIZACION INTL GRUPO TIUNA LTDA,SOC DE COMERCIALIZACION INTL GRUPO TIUNA LTDA,INVS DELRAM C A,INVS DELRAM C A,VENEZUELA,VENEZUELA,Beef equivalents,5400000,1006.32
2013,COLOMBIA,ADUANAS DE CUCUTA,SOC DE IMP Y EXP DE COLOMBIA NOVISAN S A S,SOC DE IMP Y EXP DE COLOMBIA NOVISAN S A S,EL SURTIDOR,EL SURTIDOR,VENEZUELA,VENEZUELA,Beef equivalents,495200,110.815
2013,COLOMBIA,ADUANAS DE CUCUTA,SOC DE IMP Y EXP DE COLOMBIA NOVISAN S A S,SOC DE IMP Y EXP DE COLOMBIA NOVISAN S A S,IMP EL SURTIDOR C A,IMP EL SURTIDOR C A,VENEZUELA,VENEZUELA,Beef equivalents,371400,84.459
2014,COLOMBIA,ADUANAS DE CUCUTA,VRAM HOLDING S A S,VRAM HOLDING S A S,CORP DE ABASTECIMIENTO Y SERVS AGRICOLAS S A,CORP DE ABASTECIMIENTO Y SERVS AGRICOLAS S A,VENEZUELA,VENEZUELA,Beef equivalents,2773423.08,632.235450460625
2015,COLOMBIA,ADUANAS DE MEDELLIN,AGRICOLA CERRO PENON S A S,AGRICOLA CERRO PENON S A S,ANA MILAGROS MORRIBERON,ANA MILAGROS MORRIBERON,PERU,PERU,Beef equivalents,6000,1.4376
2015,COLOMBIA,ADUANAS DE MEDELLIN,AGRICOLA CERRO PENON S A S,AGRICOLA CERRO PENON S A S,JOSE GERARDO DELGADO SALAZAR,JOSE GERARDO DELGADO SALAZAR,PERU,PERU,Beef equivalents,8000,1.9168
2015,COLOMBIA,ADUANAS DE MEDELLIN,AGROSANO LTDA,AGROSANO LTDA,ANA MILAGROS MORRIBERON,ANA MILAGROS MORRIBERON,PERU,PERU,Beef equivalents,17000,3.4143
2013,COLOMBIA,ADUANAS DE MEDELLIN,AGROSANO LTDA,AGROSANO LTDA,CONSORCIO DE TOROS,CONSORCIO DE TOROS,PERU,PERU,Beef equivalents,21000,1.74309
2015,COLOMBIA,ADUANAS DE MEDELLIN,AGROSANO LTDA,AGROSANO LTDA,HIPOLITO CHACON QUISPE,HIPOLITO CHACON QUISPE,PERU,PERU,Beef equivalents,12420,1.9168
2016,COLOMBIA,ADUANAS DE MEDELLIN,ARIAS Y CIA S EN C,ARIAS Y CIA S EN C,MARTINEZ SALAS RICHARD REYNALDO,MARTINEZ SALAS RICHARD REYNALDO,PERU,PERU,Beef equivalents,4000,1.198
2016,COLOMBIA,ADUANAS DE MEDELLIN,ARIAS Y CIA S EN C,ARIAS Y CIA S EN C,MUNICIPALIDAD PROVINCIAL DE CHOTA,MUNICIPALIDAD PROVINCIAL DE CHOTA,PERU,PERU,Beef equivalents,22400,2.1564
2015,COLOMBIA,ADUANAS DE MEDELLIN,B GONZALEZ PECUARIA EL GUAJARO DOS Y CIA SOC CIVIL COM,B GONZALEZ PECUARIA EL GUAJARO DOS Y CIA SOC CIVIL COM,ANA MILAGROS MORRIBERON,ANA MILAGROS MORRIBERON,PERU,PERU,Beef equivalents,7000,1.198
2013,COLOMBIA,ADUANAS DE MEDELLIN,B GONZALEZ PECUARIA EL GUAJARO DOS Y CIA SOC CIVIL COM,B GONZALEZ PECUARIA EL GUAJARO DOS Y CIA SOC CIVIL COM,CONSORCIO DE TOROS,CONSORCIO DE TOROS,PERU,PERU,Beef equivalents,45000,4.06721
2013,COLOMBIA,ADUANAS DE MEDELLIN,B GONZALEZ PECUARIA EL GUAJARO DOS Y CIA SOC CIVIL COM,B GONZALEZ PECUARIA EL GUAJARO DOS Y CIA SOC CIVIL COM,TAURO TURF SERV S A C,TAURO TURF SERV S A C,PERU,PERU,Beef equivalents,47000,2.24625
2014,COLOMBIA,ADUANAS DE MEDELLIN,G3 BIOTECNOLOGIA ANIMAL S A S,G3 BIOTECNOLOGIA ANIMAL S A S,ADAOPI,ADAOPI,PERU,PERU,Beef equivalents,217609.46,13.74106
2015,COLOMBIA,ADUANAS DE MEDELLIN,JORGE IGNACIO DE JESUS AGUDELO RESTREPO,JORGE IGNACIO DE JESUS AGUDELO RESTREPO,GOICOCHEA PEREZ NALO,GOICOCHEA PEREZ NALO,PERU,PERU,Beef equivalents,24000,5.0316
2016,COLOMBIA,ADUANAS DE MEDELLIN,JORGE IGNACIO DE JESUS AGUDELO RESTREPO,JORGE IGNACIO DE JESUS AGUDELO RESTREPO,JOSE DE LA CRUZ BENAVIDES RUIZ,JOSE DE LA CRUZ BENAVIDES RUIZ,PERU,PERU,Beef equivalents,15000,3.56405
2013,COLOMBIA,ADUANAS DE MEDELLIN,JORGE IGNACIO DE JESUS AGUDELO RESTREPO,JORGE IGNACIO DE JESUS AGUDELO RESTREPO,MUNICIPALIDAD DISTRITAL DE LAJAS,MUNICIPALIDAD DISTRITAL DE LAJAS,PERU,PERU,Beef equivalents,8000,1.73111
2014,COLOMBIA,ADUANAS DE MEDELLIN,JORGE IGNACIO DE JESUS AGUDELO RESTREPO,JORGE IGNACIO DE JESUS AGUDELO RESTREPO,MUNICIPALIDAD DISTRITAL DE LAJAS,MUNICIPALIDAD DISTRITAL DE LAJAS,PERU,PERU,Beef equivalents,12000,2.6955
2013,COLOMBIA,ADUANAS DE MEDELLIN,JORGE IGNACIO DE JESUS AGUDELO RESTREPO,JORGE IGNACIO DE JESUS AGUDELO RESTREPO,STA ROSA IMP S A C,STA ROSA IMP S A C,PERU,PERU,Beef equivalents,16000,4.2529
2014,COLOMBIA,ARAUCA,DISTRIB JAGME S A S,DISTRIB JAGME S A S,SERVS MATO GROSSO C A,SERVS MATO GROSSO C A,VENEZUELA,VENEZUELA,Beef equivalents,900000,167.72
2014,COLOMBIA,ARAUCA,SOC DE COMERCIALIZACION INTL GRUPO TIUNA LTDA,SOC DE COMERCIALIZACION INTL GRUPO TIUNA LTDA,INVS DELRAM C A,INVS DELRAM C A,VENEZUELA,VENEZUELA,Beef equivalents,4500000,838.6
2014,COLOMBIA,BOGOTA,AGRICOLA CERRO PENON S A S,AGRICOLA CERRO PENON S A S,CITOTUSA S A,CITOTUSA S A,PERU,PERU,Beef equivalents,22000,3.3544
2015,COLOMBIA,BOGOTA,AGRICOLA CERRO PENON S A S,AGRICOLA CERRO PENON S A S,CITOTUSA S A,CITOTUSA S A,PERU,PERU,Beef equivalents,16000,0.9584
2013,COLOMBIA,BOGOTA,AGRICOLA CERRO PENON S A S,AGRICOLA CERRO PENON S A S,CONSORCIO DE TOROS,CONSORCIO DE TOROS,PERU,PERU,Beef equivalents,28000,2.081525
2016,COLOMBIA,BOGOTA,AGRICOLA CERRO PENON S A S,AGRICOLA CERRO PENON S A S,DAVILA FUENTES JORGE CARLOS,DAVILA FUENTES JORGE CARLOS,PERU,PERU,Beef equivalents,30000,4.3128
2015,COLOMBIA,BOGOTA,AGRICOLA CERRO PENON S A S,AGRICOLA CERRO PENON S A S,GANADERIA CHECAYANI S A C,GANADERIA CHECAYANI S A C,PERU,PERU,Beef equivalents,15000,1.4376
2014,COLOMBIA,BOGOTA,AGRICOLA CERRO PENON S A S,AGRICOLA CERRO PENON S A S,INV MAX MARY S R L,INV MAX MARY S R L,PERU,PERU,Beef equivalents,22000,1.9767
