YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB,COCOA_EQUIVALENT_TONNES
2019,GHANA,CEPS JAMES TOWN,AFROTROPIC COCOA PROCESSING COMPANY,AFROTROPIC COCOA PROCESSING COMPANY,HUYSER,HUYSER,ITALY,EUROPEAN UNION,Cocoa equivalents,55134.78,45.60386472
2019,GHANA,CEPS JAMES TOWN,AFROTROPIC COCOA PROCESSING COMPANY,AFROTROPIC COCOA PROCESSING COMPANY,HUYSER,HUYSER,NETHERLANDS,EUROPEAN UNION,Cocoa equivalents,518894.07,410.43478248
2019,GHANA,CEPS JAMES TOWN,AFROTROPIC COCOA PROCESSING COMPANY,AFROTROPIC COCOA PROCESSING COMPANY,INDCRESA,INDCRESA,SPAIN,EUROPEAN UNION,Cocoa equivalents,147228.31,114.0096618
2018,GHANA,CEPS JAMES TOWN,AFROTROPIC COCOA PROCESSING COMPANY,AFROTROPIC COCOA PROCESSING COMPANY,NUTKAO SRL,NUTKAO SRL,ITALY,EUROPEAN UNION,Cocoa equivalents,3788666.5,1638.76
2019,GHANA,CEPS JAMES TOWN,AFROTROPIC COCOA PROCESSING COMPANY,AFROTROPIC COCOA PROCESSING COMPANY,NUTKAO SRL,NUTKAO SRL,ITALY,EUROPEAN UNION,Cocoa equivalents,14170379.92,6279.56521664
2018,GHANA,CEPS JAMES TOWN,FRESH AND TASTY FARMS LIMITED,FRESH AND TASTY FARMS LIMITED,MADAM MARIAN K. BUASAH,MADAM MARIAN K. BUASAH,UNITED STATES,UNITED STATES,Cocoa equivalents,300,8.16332760704232
2018,GHANA,CEPS JAMES TOWN,PRAISE EXPORT SERVICES LIMITED,PRAISE EXPORT SERVICES LIMITED,MARCHE GHANACAN,MARCHE GHANACAN,CANADA,CANADA,Cocoa equivalents,82.5,0.07728260868
2018,GHANA,CEPS KIA,AGRIBUSINESS INSUSTAINABLE NATURALA,AGRIBUSINESS INSUSTAINABLE NATURALA,MICHELLE WALTER,MICHELLE WALTER,SOUTH AFRICA,SOUTH AFRICA,Cocoa equivalents,400,0.705847825944
2019,GHANA,CEPS KIA,ANGELINA NAA AYELE ARMAH,ANGELINA NAA AYELE ARMAH,KATHRINE BERGSTA,KATHRINE BERGSTA,NORWAY,NORWAY,Cocoa equivalents,55.45,0.023184782604
2019,GHANA,CEPS KIA,ANGELINA NAA AYELE ARMAH,ANGELINA NAA AYELE ARMAH,MARCO VANALLI C/O FOOD PROJECT,MARCO VANALLI C/O FOOD PROJECT,ITALY,EUROPEAN UNION,Cocoa equivalents,52.24,0.004
2019,GHANA,CEPS KIA,BARRY CALLEBAUT,BARRY CALLEBAUT,NURUL AZLEN MOHD NAWI,NURUL AZLEN MOHD NAWI,MALAYSIA,MALAYSIA,Cocoa equivalents,398.46,0.18891304344
2018,GHANA,CEPS KIA,BENJAMIN OTCHERE,BENJAMIN OTCHERE,BRAIDZ N BEAUTY,BRAIDZ N BEAUTY,AUSTRALIA,AUSTRALIA,Cocoa equivalents,2,0.15456521736
2018,GHANA,CEPS KIA,BENJAMIN OTCHERE,BENJAMIN OTCHERE,LAWRENCE HARRIS,LAWRENCE HARRIS,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,20,0.029
2018,GHANA,CEPS KIA,BENJAMIN OTCHERE,BENJAMIN OTCHERE,SPECIAL FRUITS,SPECIAL FRUITS,LEBANON,LEBANON,Cocoa equivalents,36,1.717391304
2018,GHANA,CEPS KIA,BENJAMIN OTCHERE,BENJAMIN OTCHERE,VANORTTON FOODS,VANORTTON FOODS,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Cocoa equivalents,550,0.02857487922
2018,GHANA,CEPS KIA,BISMARK OWUSU,BISMARK OWUSU,DK FREIGHT SERVICE,DK FREIGHT SERVICE,NAMIBIA,NAMIBIA,Cocoa equivalents,100,0.155423913012
2018,GHANA,CEPS KIA,BRIGHT SEKYERE,BRIGHT SEKYERE,FORTUNE TRADING COMPANY,FORTUNE TRADING COMPANY,CHINA (HONG KONG),CHINA (HONG KONG),Cocoa equivalents,90,0.6869565216
2019,GHANA,CEPS KIA,BRYTEMEDIA LIMITED,BRYTEMEDIA LIMITED,SANDRA HECHT,SANDRA HECHT,UNITED STATES,UNITED STATES,Cocoa equivalents,26.26,0.0113347826064
2018,GHANA,CEPS KIA,CHARISMA FASHIONS LIMITED,CHARISMA FASHIONS LIMITED,FAUSTINA K. ANSONG,FAUSTINA K. ANSONG,TRINIDAD AND TOBAGO,TRINIDAD AND TOBAGO,Cocoa equivalents,10,0.07298913042
2018,GHANA,CEPS KIA,CHARLES NIMAKO,CHARLES NIMAKO,ANITA DARKIE NARTEY,ANITA DARKIE NARTEY,ITALY,EUROPEAN UNION,Cocoa equivalents,4,0.013309782606
2019,GHANA,CEPS KIA,CONRAD CHARLES HESSE,CONRAD CHARLES HESSE,AL AZIZAH EXHIBITION,AL AZIZAH EXHIBITION,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Cocoa equivalents,46.43,0.486451086858
2019,GHANA,CEPS KIA,CONRAD CHARLES HESSE,CONRAD CHARLES HESSE,BRUCE MORRIS,BRUCE MORRIS,ZAMBIA,ZAMBIA,Cocoa equivalents,666.12,0.6869565216
2019,GHANA,CEPS KIA,CONRAD CHARLES HESSE,CONRAD CHARLES HESSE,NANA ZIMMERMANN,NANA ZIMMERMANN,SWITZERLAND,SWITZERLAND,Cocoa equivalents,11.21,0.38369956513968
2019,GHANA,CEPS KIA,DS FREIGHT LOGISTICS LIMITED,DS FREIGHT LOGISTICS LIMITED,JOUNI FOR CONSTRUCTION EXECUTION AN,JOUNI FOR CONSTRUCTION EXECUTION AN,LEBANON,LEBANON,Cocoa equivalents,71.26,0.080717391288
2019,GHANA,CEPS KIA,DS FREIGHT LOGISTICS LIMITED,DS FREIGHT LOGISTICS LIMITED,LUTANGU MUBITA,LUTANGU MUBITA,KENYA,KENYA,Cocoa equivalents,17.82,0.018032608692
2019,GHANA,CEPS KIA,DS FREIGHT LOGISTICS LIMITED,DS FREIGHT LOGISTICS LIMITED,PENELET NJERI,PENELET NJERI,KENYA,KENYA,Cocoa equivalents,11.88,0.018032608692
2018,GHANA,CEPS KIA,DU-OXY LIMITED,DU-OXY LIMITED,FELICIA OFOFRI MINTA,FELICIA OFOFRI MINTA,UNITED STATES,UNITED STATES,Cocoa equivalents,12,0.041217391296
2018,GHANA,CEPS KIA,EAGLE RIDGE WOODS COMPANY LIMITED.,EAGLE RIDGE WOODS COMPANY LIMITED.,VERONIQUE SENA ESINAM NAAMAN,VERONIQUE SENA ESINAM NAAMAN,CANADA,CANADA,Cocoa equivalents,10,0.0178608695616
2018,GHANA,CEPS KIA,EBENEZER AGYEKUM BOADU,EBENEZER AGYEKUM BOADU,ELIJAH ADU TAKYI,ELIJAH ADU TAKYI,ZIMBABWE,ZIMBABWE,Cocoa equivalents,20,0.0858695652
2019,GHANA,CEPS KIA,EDWIN DARKO,EDWIN DARKO,ADUSEI DANIEL APPIAH,ADUSEI DANIEL APPIAH,RWANDA,RWANDA,Cocoa equivalents,33.28,0.140826086928
2019,GHANA,CEPS KIA,EDWIN DARKO,EDWIN DARKO,ANIFFER TRADING CO LTD,ANIFFER TRADING CO LTD,TAIWAN,TAIWAN,Cocoa equivalents,104.35,0.1717391304
2019,GHANA,CEPS KIA,EDWIN DARKO,EDWIN DARKO,CHRISTIANA ACHIAA,CHRISTIANA ACHIAA,AUSTRALIA,AUSTRALIA,Cocoa equivalents,16.85,0.003434782608
2019,GHANA,CEPS KIA,EDWIN DARKO,EDWIN DARKO,COCOA SWITZERLAND GMBH,COCOA SWITZERLAND GMBH,SWITZERLAND,SWITZERLAND,Cocoa equivalents,592.07,1.4597826084
2019,GHANA,CEPS KIA,EDWIN DARKO,EDWIN DARKO,ELORM AGBO,ELORM AGBO,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Cocoa equivalents,63.44,0.3434782608
2019,GHANA,CEPS KIA,EDWIN DARKO,EDWIN DARKO,EUNICE AGO,EUNICE AGO,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Cocoa equivalents,222.27,0.589923912924
2019,GHANA,CEPS KIA,EDWIN DARKO,EDWIN DARKO,INSIDE AFRICA,INSIDE AFRICA,SWITZERLAND,SWITZERLAND,Cocoa equivalents,58.96,0.0858695652
2019,GHANA,CEPS KIA,EDWIN DARKO,EDWIN DARKO,MOHAMMED MORO,MOHAMMED MORO,QATAR,QATAR,Cocoa equivalents,2.32,0.01717391304
2018,GHANA,CEPS KIA,EDWIN DARKO,EDWIN DARKO,MRS AKUA WOOD,MRS AKUA WOOD,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,90,0.22326086952
2019,GHANA,CEPS KIA,EDWIN DARKO,EDWIN DARKO,SHEA BUTTER COTTAGE,SHEA BUTTER COTTAGE,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,69.83,0.24902173908
2019,GHANA,CEPS KIA,EDWIN DARKO,EDWIN DARKO,TIMOTHY WILLIAMS,TIMOTHY WILLIAMS,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,110.41,0.036
2018,GHANA,CEPS KIA,EMMAUR LOGISTICS,EMMAUR LOGISTICS,AYERTEY DANIEL,AYERTEY DANIEL,JAPAN,JAPAN,Cocoa equivalents,9.6,0.03434782608
2018,GHANA,CEPS KIA,ENUSAH ANAFO ENTERPRISE,ENUSAH ANAFO ENTERPRISE,TORNIKE VACHADZE,TORNIKE VACHADZE,GEORGIA,GEORGIA,Cocoa equivalents,16,0.00858695652
2018,GHANA,CEPS KIA,ENUSAH ANAFO,ENUSAH ANAFO,HE SONGQING,HE SONGQING,CHINA (MAINLAND),CHINA (MAINLAND),Cocoa equivalents,24,0.019
2018,GHANA,CEPS KIA,ENUSAH ANAFO,ENUSAH ANAFO,MERCIES  AFRICAN  MARKET,MERCIES  AFRICAN  MARKET,CANADA,CANADA,Cocoa equivalents,69.95,0.3434782608
2019,GHANA,CEPS KIA,ERIC DODZI GUMENU,ERIC DODZI GUMENU,EMBASSY OF THE REPUBLIC OF GHANA,EMBASSY OF THE REPUBLIC OF GHANA,JAPAN,JAPAN,Cocoa equivalents,11.64,0.013
2019,GHANA,CEPS KIA,ERIC DODZI GUMENU,ERIC DODZI GUMENU,SIERRA LEONE AGRICULTURAL RESEARCH,SIERRA LEONE AGRICULTURAL RESEARCH,SIERRA LEONE,SIERRA LEONE,Cocoa equivalents,833.79,1.2
2019,GHANA,CEPS KIA,ERIC DODZI GUMENU,ERIC DODZI GUMENU,SOLIDARIDAD,SOLIDARIDAD,SIERRA LEONE,SIERRA LEONE,Cocoa equivalents,1160.46,1.565
2019,GHANA,CEPS KIA,ESTHER NSIAH,ESTHER NSIAH,ADRIANA CIOCAN,ADRIANA CIOCAN,UNKNOWN COUNTRY,UNKNOWN COUNTRY,Cocoa equivalents,33.65,0.04
2019,GHANA,CEPS KIA,ESTHER NSIAH,ESTHER NSIAH,ANIFFER TRADING CO LTD,ANIFFER TRADING CO LTD,TAIWAN,TAIWAN,Cocoa equivalents,69.52,0.12021739128
2019,GHANA,CEPS KIA,ESTHER NSIAH,ESTHER NSIAH,BARRY CALLEBAUT,BARRY CALLEBAUT,FRANCE,EUROPEAN UNION,Cocoa equivalents,23.18,0.02
2019,GHANA,CEPS KIA,ESTHER NSIAH,ESTHER NSIAH,BIOTRANSFORMATION INNOVATION PLATFO,BIOTRANSFORMATION INNOVATION PLATFO,SINGAPORE,SINGAPORE,Cocoa equivalents,116.38,0.101
2018,GHANA,CEPS KIA,ESTHER NSIAH,ESTHER NSIAH,CENTER FOR WOMEN AGRICULTURE,CENTER FOR WOMEN AGRICULTURE,LIBERIA,LIBERIA,Cocoa equivalents,175,1.4
2018,GHANA,CEPS KIA,ESTHER NSIAH,ESTHER NSIAH,CHANGSHA ACCRA COCOA FOODTRADINGC,CHANGSHA ACCRA COCOA FOODTRADINGC,CHINA (MAINLAND),CHINA (MAINLAND),Cocoa equivalents,100,0.784847825928
2019,GHANA,CEPS KIA,ESTHER NSIAH,ESTHER NSIAH,KAM S.P.A,KAM S.P.A,ITALY,EUROPEAN UNION,Cocoa equivalents,11.75,0.06
2019,GHANA,CEPS KIA,ESTHER NSIAH,ESTHER NSIAH,KAY NCOCO,KAY NCOCO,UNITED STATES,UNITED STATES,Cocoa equivalents,22.19,0.00858695652
2018,GHANA,CEPS KIA,ESTHER NSIAH,ESTHER NSIAH,KWABENA ANTWI,KWABENA ANTWI,AUSTRALIA,AUSTRALIA,Cocoa equivalents,150,0.130521739104
2019,GHANA,CEPS KIA,ESTHER NSIAH,ESTHER NSIAH,LDF MEDIC LLC LIMITED LIABILTY COMP,LDF MEDIC LLC LIMITED LIABILTY COMP,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Cocoa equivalents,1014.32,0.267913043424
2019,GHANA,CEPS KIA,ESTHER NSIAH,ESTHER NSIAH,NOVA TRAFFIC LTD,NOVA TRAFFIC LTD,SWITZERLAND,SWITZERLAND,Cocoa equivalents,176.89,0.015
2019,GHANA,CEPS KIA,ESTHER OTCHERE,ESTHER OTCHERE,ADRIANA CIOCAN,ADRIANA CIOCAN,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,33.69,0.03
2019,GHANA,CEPS KIA,ESTHER OTCHERE,ESTHER OTCHERE,COMFORT BAAH,COMFORT BAAH,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,8.74,0.216391304304
2019,GHANA,CEPS KIA,ESTHER OTCHERE,ESTHER OTCHERE,EDWARD KALAYI,EDWARD KALAYI,LIBERIA,LIBERIA,Cocoa equivalents,1182.3,1.821
2019,GHANA,CEPS KIA,ESTHER OTCHERE,ESTHER OTCHERE,TIMOTHY WILLIAMS,TIMOTHY WILLIAMS,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,23.67,0.008
2018,GHANA,CEPS KIA,EVELYN BROWN,EVELYN BROWN,QATAR ALNADA FOODSTUFF,QATAR ALNADA FOODSTUFF,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Cocoa equivalents,30,0.86728260852
2018,GHANA,CEPS KIA,FARMGATE LOGISTICS,FARMGATE LOGISTICS,JOSEPH NANA KUSI,JOSEPH NANA KUSI,AUSTRALIA,AUSTRALIA,Cocoa equivalents,15,0.06869565216
2018,GHANA,CEPS KIA,FIFTH MAY ENTERPRISE,FIFTH MAY ENTERPRISE,HAWAFEL TRADING EST,HAWAFEL TRADING EST,SAUDI ARABIA,SAUDI ARABIA,Cocoa equivalents,500,1.770630434424
2018,GHANA,CEPS KIA,FIFTH MAY ENTERPRISE,FIFTH MAY ENTERPRISE,LIBERIA COCOA CORPORATION,LIBERIA COCOA CORPORATION,LIBERIA,LIBERIA,Cocoa equivalents,165,0.562
2018,GHANA,CEPS KIA,FOURTH MAY BUSINESS ENTERPRISE,FOURTH MAY BUSINESS ENTERPRISE,COCOA SWITZERLAND GMBH,COCOA SWITZERLAND GMBH,SWITZERLAND,SWITZERLAND,Cocoa equivalents,100,1.2021739128
2019,GHANA,CEPS KIA,GATYFAX LOGISTICS LIMITED,GATYFAX LOGISTICS LIMITED,MARTINE TROTIN,MARTINE TROTIN,UNKNOWN COUNTRY,UNKNOWN COUNTRY,Cocoa equivalents,11.61,0.015
2019,GHANA,CEPS KIA,GLOW LAMP LOGISTICS,GLOW LAMP LOGISTICS,BETTY KESSEH,BETTY KESSEH,SOUTH AFRICA,SOUTH AFRICA,Cocoa equivalents,34.77,0.212956521696
2018,GHANA,CEPS KIA,GORDON AMMAMOO-SMITH,GORDON AMMAMOO-SMITH,MICHELLE WALTER,MICHELLE WALTER,SOUTH AFRICA,SOUTH AFRICA,Cocoa equivalents,50,0.858695652
2019,GHANA,CEPS KIA,HERITAGE FRESH FOOD VENTURES,HERITAGE FRESH FOOD VENTURES,AFROCAN DIRECT IMPORTS,AFROCAN DIRECT IMPORTS,CANADA,CANADA,Cocoa equivalents,8.87,0.1717391304
2019,GHANA,CEPS KIA,HERITAGE FRESH FOOD VENTURES,HERITAGE FRESH FOOD VENTURES,DIVINE UNITY FOODS,DIVINE UNITY FOODS,UNITED STATES,UNITED STATES,Cocoa equivalents,70.08,0.0858695652
2018,GHANA,CEPS KIA,HERITAGE FRESH FOOD VENTURES,HERITAGE FRESH FOOD VENTURES,TROPICAL CENTRIC IMPT & EXPT,TROPICAL CENTRIC IMPT & EXPT,CANADA,CANADA,Cocoa equivalents,230,1.288043478
2019,GHANA,CEPS KIA,HERITAGE FRESH FOOD VENTURES,HERITAGE FRESH FOOD VENTURES,TROPICAL CENTRIC IMPT & EXPT,TROPICAL CENTRIC IMPT & EXPT,CANADA,CANADA,Cocoa equivalents,219.77,1.251978260616
2019,GHANA,CEPS KIA,IAS GHANA LIMITED,IAS GHANA LIMITED,AADIL BAIGCAPSTONE INTERNATIONAL,AADIL BAIGCAPSTONE INTERNATIONAL,KUWAIT,KUWAIT,Cocoa equivalents,57.09,0.04865369564232
2018,GHANA,CEPS KIA,IAS GHANA LIMITED,IAS GHANA LIMITED,NUTKAO SRL,NUTKAO SRL,ITALY,EUROPEAN UNION,Cocoa equivalents,0.17,0.0098
2019,GHANA,CEPS KIA,ITOCHU CORPORATION,ITOCHU,ITOCHU FOOD SALES AND MARKETING CO.,ITOCHU,JAPAN,JAPAN,Cocoa equivalents,2.36,0.024
2018,GHANA,CEPS KIA,KINGS PACKING & SERVICES LIMITED,KINGS PACKING & SERVICES LIMITED,PEN TRADING (PTY),PEN TRADING (PTY),NAMIBIA,NAMIBIA,Cocoa equivalents,594,0.0477434782512
2018,GHANA,CEPS KIA,KNOCK-SARP VENTURES,KNOCK-SARP VENTURES,OVERSEA INT'L SERVICES,OVERSEA INT'L SERVICES,BOTSWANA,BOTSWANA,Cocoa equivalents,2.5,0.3434782608
2018,GHANA,CEPS KIA,KONANG SHIPPING ENTERPRISE,KONANG SHIPPING ENTERPRISE,COMFORT BAAH,COMFORT BAAH,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,46,0.10304347824
2019,GHANA,CEPS KIA,LAUD BLESSING ASHITEY,LAUD BLESSING ASHITEY,BARRY CALLEBAUT,BARRY CALLEBAUT,FRANCE,EUROPEAN UNION,Cocoa equivalents,77.84,0.436
2019,GHANA,CEPS KIA,LINDA ABREY,LINDA ABREY,GLORIA AGOSOR,GLORIA AGOSOR,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,28.7,0.0621695652048
2019,GHANA,CEPS KIA,MCDAN SHIPPING COMPANY LIMITED,MCDAN SHIPPING COMPANY LIMITED,MICHAEL WILLIAMS,MICHAEL WILLIAMS,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,67.28,0.03434782608
2019,GHANA,CEPS KIA,MICHAEL OLOGO NARTEY,MICHAEL OLOGO NARTEY,C0006415679,C0006415679,UNITED STATES,UNITED STATES,Cocoa equivalents,11.2,0.01717391304
2019,GHANA,CEPS KIA,MICHAEL OLOGO NARTEY,MICHAEL OLOGO NARTEY,LOUIS FERGUSON,LOUIS FERGUSON,QATAR,QATAR,Cocoa equivalents,21.18,0.029195652168
2019,GHANA,CEPS KIA,MIRANDA ENTERPRISE LIMITED,MIRANDA ENTERPRISE LIMITED,AFRICAN SHOP LLC,AFRICAN SHOP LLC,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Cocoa equivalents,1178.84,0.353782608624
2018,GHANA,CEPS KIA,MIRANDA ENTERPRISE LIMITED,MIRANDA ENTERPRISE LIMITED,AFRICA SHOP LLC,AFRICA SHOP LLC,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Cocoa equivalents,1200,0.4508152173
2018,GHANA,CEPS KIA,NANA ATUBAM CALVARY FOODS,NANA ATUBAM CALVARY FOODS,COASTAL FOODS,COASTAL FOODS,CANADA,CANADA,Cocoa equivalents,300,1.009826086752
2019,GHANA,CEPS KIA,NANA ATUBAM CALVARY FOODS,NANA ATUBAM CALVARY FOODS,COASTAL FOODS,COASTAL FOODS,CANADA,CANADA,Cocoa equivalents,355.89,0.858695652
2018,GHANA,CEPS KIA,NEW MALATA VENTURES,NEW MALATA VENTURES,MEISHIA CARTER,MEISHIA CARTER,UNITED STATES,UNITED STATES,Cocoa equivalents,75,0.05152173912
2018,GHANA,CEPS KIA,OSCA BOAT VENTURES,OSCA BOAT VENTURES,ALPHA LOSAD ENT,ALPHA LOSAD ENT,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,9.05,0.254173912992
2019,GHANA,CEPS KIA,OSCA BOAT VENTURES,OSCA BOAT VENTURES,ALPHA LOSAD ENT,ALPHA LOSAD ENT,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,402.8,4.99760869464
2018,GHANA,CEPS KIA,OSEI ADJEI BOATENG,OSEI ADJEI BOATENG,ALPHA LOSAD ENT,ALPHA LOSAD ENT,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,3,0.54956521728
2019,GHANA,CEPS KIA,OSEI ADJEI BOATENG,OSEI ADJEI BOATENG,ALPHA LOSAD ENT,ALPHA LOSAD ENT,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,86.9,0.194065217352
2018,GHANA,CEPS KIA,PAGDEE IMPACT ENTERPRISE,PAGDEE IMPACT ENTERPRISE,SHEA HEALING,SHEA HEALING,SOUTH AFRICA,SOUTH AFRICA,Cocoa equivalents,50,0.03434782608
2018,GHANA,CEPS KIA,PETERS CARGO ENTERPRISE,PETERS CARGO ENTERPRISE,VERA WILLIAMS,VERA WILLIAMS,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,75,0.2576086956
2019,GHANA,CEPS KIA,PHILIP KWABENA AMEDOME,PHILIP KWABENA AMEDOME,BEAUTY SECRETS SARL,BEAUTY SECRETS SARL,LEBANON,LEBANON,Cocoa equivalents,11.42,0.0858695652
2019,GHANA,CEPS KIA,PHILIP KWABENA AMEDOME,PHILIP KWABENA AMEDOME,NASHWOOD IMPORT,NASHWOOD IMPORT,UNITED STATES,UNITED STATES,Cocoa equivalents,22.88,0.0858695652
2019,GHANA,CEPS KIA,PLOT ENTERPRISE (GHANA) LIMITED,PLOT ENTERPRISE (GHANA) LIMITED,MITSUI & CO  EUROPE PLC,MITSUI & CO  EUROPE PLC,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,467.9,0.184695652116
2019,GHANA,CEPS KIA,ROBERT KWAME APPIAH,ROBERT KWAME APPIAH,EMMY NDONDO,EMMY NDONDO,ZAMBIA,ZAMBIA,Cocoa equivalents,57.11,0.01717391304
2019,GHANA,CEPS KIA,SALEMOK GHANA LIMITED,SALEMOK GHANA LIMITED,SIERRA LEONE AGRIC RESEARCH INSTITU,SIERRA LEONE AGRIC RESEARCH INSTITU,SIERRA LEONE,SIERRA LEONE,Cocoa equivalents,538.81,0.6
2018,GHANA,CEPS KIA,SALIA ADAMS,SALIA ADAMS,A-STAR,A-STAR,SINGAPORE,SINGAPORE,Cocoa equivalents,180,0.273
2018,GHANA,CEPS KIA,SALIA ADAMS,SALIA ADAMS,JOYCE MBURU,JOYCE MBURU,KENYA,KENYA,Cocoa equivalents,5,0.006840579708
2018,GHANA,CEPS KIA,SALIA ADAMS,SALIA ADAMS,LIBERIA COCOA CORPORATION,LIBERIA COCOA CORPORATION,LIBERIA,LIBERIA,Cocoa equivalents,385,0.5
2018,GHANA,CEPS KIA,SAMISHAK LOGISTICS AND COMPANY LIMI,SAMISHAK LOGISTICS AND COMPANY LIMI,SHEA HEALING,SHEA HEALING,SOUTH AFRICA,SOUTH AFRICA,Cocoa equivalents,90,0.30684630428568
2018,GHANA,CEPS KIA,SEED PRODUCTION UNIT -COCOBOD,SEED PRODUCTION UNIT -COCOBOD,LIBERIA COCOA CORPORATION,LIBERIA COCOA CORPORATION,LIBERIA,LIBERIA,Cocoa equivalents,100,0.19
2018,GHANA,CEPS KIA,SELORM KWAKU ANKA,SELORM KWAKU ANKA,ALPHA LOSAD ENT,ALPHA LOSAD ENT,UNITED KINGDOM,EUROPEAN UNION,Cocoa equivalents,6.66,0.0858695652
2019,GHANA,CEPS KIA,SELORM KWAKU ANKA,SELORM KWAKU ANKA,ASTRALINE LOGISTICS LTD,ASTRALINE LOGISTICS LTD,TANZANIA,TANZANIA,Cocoa equivalents,28.02,0.104760869544
2018,GHANA,CEPS KIA,SKYLINK LOGISTICS LIMITED,SKYLINK LOGISTICS LIMITED,DIANA DACINDA ELORM,DIANA DACINDA ELORM,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Cocoa equivalents,12,0.6893608694256
2018,GHANA,CEPS KIA,STELLA MENSAH STELLAMEN'S ENTERPRIS,STELLA MENSAH STELLAMEN'S ENTERPRIS,HKGS STORAGE LIMITED,HKGS STORAGE LIMITED,CHINA (HONG KONG),CHINA (HONG KONG),Cocoa equivalents,30,0.2576086956
2019,GHANA,CEPS KIA,STEPS FREIGHT SERVICES,STEPS FREIGHT SERVICES,CHOMBA ZENENGEYA,CHOMBA ZENENGEYA,MALAWI,MALAWI,Cocoa equivalents,34.74,0.0858695652
2019,GHANA,CEPS KIA,STLS LIMITED,STLS LIMITED,DARLING WINGS CHOCOLATE,DARLING WINGS CHOCOLATE,JAPAN,JAPAN,Cocoa equivalents,807.91,0.064
2018,GHANA,CEPS KIA,THEOPHILUS QUAYE,THEOPHILUS QUAYE,AHMED MOHAMMED JILAN ABDULMALIK,AHMED MOHAMMED JILAN ABDULMALIK,SAUDI ARABIA,SAUDI ARABIA,Cocoa equivalents,5,0.02861173912464
2019,GHANA,CEPS KIA,THEOPHILUS QUAYE,THEOPHILUS QUAYE,DESDEMONA ELIKEM AGBO,DESDEMONA ELIKEM AGBO,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Cocoa equivalents,33.57,0.6869565216
2019,GHANA,CEPS KIA,THEOPHILUS QUAYE,THEOPHILUS QUAYE,ELVANTE LIMITED,ELVANTE LIMITED,KENYA,KENYA,Cocoa equivalents,45.14,0.348630434712
2018,GHANA,CEPS KIA,THEOPHILUS QUAYE,THEOPHILUS QUAYE,EUNICE AGO,EUNICE AGO,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Cocoa equivalents,10,0.56873130423264
2019,GHANA,CEPS KIA,THEOPHILUS QUAYE,THEOPHILUS QUAYE,FARIS AZZUNI,FARIS AZZUNI,JORDAN,JORDAN,Cocoa equivalents,90.6,0.49234173903072
2019,GHANA,CEPS KIA,THEOPHILUS QUAYE,THEOPHILUS QUAYE,FRISCHPUNKT,FRISCHPUNKT,UNITED STATES,UNITED STATES,Cocoa equivalents,3.48,0.03876152173128
2019,GHANA,CEPS KIA,THEOPHILUS QUAYE,THEOPHILUS QUAYE,HASHIM SULIMAN MOHAMED ALI,HASHIM SULIMAN MOHAMED ALI,SUDAN,SUDAN,Cocoa equivalents,5.79,0.0858695652
2019,GHANA,CEPS KIA,THEOPHILUS QUAYE,THEOPHILUS QUAYE,ISAAC ACHEAMPONG,ISAAC ACHEAMPONG,SOUTH AFRICA,SOUTH AFRICA,Cocoa equivalents,9.18,0.125369565192
2019,GHANA,CEPS KIA,THEOPHILUS QUAYE,THEOPHILUS QUAYE,JAMES ASANTE MACLEAN,JAMES ASANTE MACLEAN,GERMANY,EUROPEAN UNION,Cocoa equivalents,2.38,0.00858695652
2019,GHANA,CEPS KIA,THEOPHILUS QUAYE,THEOPHILUS QUAYE,KARIMA DABRE,KARIMA DABRE,CANADA,CANADA,Cocoa equivalents,1.15,0.006869565216
