YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,COTTON_EQUIVALENT_TONNES
2017,ARGENTINA,BUENOS AIRES,S A PASTORIL SANTIAGUENA,S A PASTORIL SANTIAGUENA,THAILAND,THAILAND,Cotton equivalents,636679.24,422.134909627962
2017,ARGENTINA,BUENOS AIRES,S A PASTORIL SANTIAGUENA,S A PASTORIL SANTIAGUENA,TURKEY,TURKEY,Cotton equivalents,192355,127.2
2017,ARGENTINA,BUENOS AIRES,S A PASTORIL SANTIAGUENA,S A PASTORIL SANTIAGUENA,VIETNAM,VIETNAM,Cotton equivalents,116704.39,77.28
2014,ARGENTINA,BUENOS AIRES,SERVICOM GLOBAL S A,SERVICOM GLOBAL S A,INDONESIA,INDONESIA,Cotton equivalents,100039.67,74.39
2014,ARGENTINA,BUENOS AIRES,SOGICO SA,SOGICO SA,CHINA (MAINLAND),CHINA (MAINLAND),Cotton equivalents,102063.39,128.6
2018,ARGENTINA,BUENOS AIRES,SOGICO SA,SOGICO SA,INDONESIA,INDONESIA,Cotton equivalents,294094.11,230
2018,ARGENTINA,BUENOS AIRES,SOGICO SA,SOGICO SA,PAKISTAN,PAKISTAN,Cotton equivalents,418256.1,306
2015,ARGENTINA,BUENOS AIRES,SOGICO SA,SOGICO SA,SINGAPORE,SINGAPORE,Cotton equivalents,61761.84,77.82
2016,ARGENTINA,BUENOS AIRES,SOGICO SA,SOGICO SA,SINGAPORE,SINGAPORE,Cotton equivalents,56062.98,50.86
2015,ARGENTINA,BUENOS AIRES SUR,ALFATRADE S.A.,ALFATRADE S.A.,BAHAMAS,BAHAMAS,Cotton equivalents,158708.19,199.97
2016,ARGENTINA,BUENOS AIRES SUR,ALFATRADE S.A.,ALFATRADE S.A.,BRAZIL,BRAZIL,Cotton equivalents,153237.66,136.29
2015,ARGENTINA,BUENOS AIRES SUR,ALFATRADE S.A.,ALFATRADE S.A.,COLOMBIA,COLOMBIA,Cotton equivalents,221000.42,257.04
2015,ARGENTINA,BUENOS AIRES SUR,ALFATRADE S.A.,ALFATRADE S.A.,INDIA,INDIA,Cotton equivalents,533712.06,645.16
2016,ARGENTINA,BUENOS AIRES SUR,ALFATRADE S.A.,ALFATRADE S.A.,INDIA,INDIA,Cotton equivalents,333458.1,301.49
2015,ARGENTINA,BUENOS AIRES SUR,ALFATRADE S.A.,ALFATRADE S.A.,INDONESIA,INDONESIA,Cotton equivalents,125153.78,147.9
2016,ARGENTINA,BUENOS AIRES SUR,ALFATRADE S.A.,ALFATRADE S.A.,INDONESIA,INDONESIA,Cotton equivalents,69376.25,65.56
2015,ARGENTINA,BUENOS AIRES SUR,ALFATRADE S.A.,ALFATRADE S.A.,JAPAN,JAPAN,Cotton equivalents,62351.97,72.52
2016,ARGENTINA,BUENOS AIRES SUR,ALFATRADE S.A.,ALFATRADE S.A.,JAPAN,JAPAN,Cotton equivalents,99286.37,100.08
2015,ARGENTINA,BUENOS AIRES SUR,ALFATRADE S.A.,ALFATRADE S.A.,SINGAPORE,SINGAPORE,Cotton equivalents,1557009.65,1907.37
2015,ARGENTINA,BUENOS AIRES SUR,ALFATRADE S.A.,ALFATRADE S.A.,SOUTH AFRICA,SOUTH AFRICA,Cotton equivalents,19206.58,24.2
2015,ARGENTINA,BUENOS AIRES SUR,ALFATRADE S.A.,ALFATRADE S.A.,SPAIN,EUROPEAN UNION,Cotton equivalents,141207.99,177.92
2016,ARGENTINA,BUENOS AIRES SUR,ALFATRADE S.A.,ALFATRADE S.A.,TURKEY,TURKEY,Cotton equivalents,84747.48,99.32
2015,ARGENTINA,BUENOS AIRES SUR,ALGODONERA AVELLANEDA S.A. X,ALGODONERA AVELLANEDA S.A. X,BAHAMAS,BAHAMAS,Cotton equivalents,319992.84,296.22
2015,ARGENTINA,BUENOS AIRES SUR,ALGODONERA AVELLANEDA S.A. X,ALGODONERA AVELLANEDA S.A. X,CHINA (HONG KONG),CHINA (HONG KONG),Cotton equivalents,161949.25,179.17
2015,ARGENTINA,BUENOS AIRES SUR,ALGODONERA AVELLANEDA S.A. X,ALGODONERA AVELLANEDA S.A. X,COLOMBIA,COLOMBIA,Cotton equivalents,1111227.44,1104.22
2015,ARGENTINA,BUENOS AIRES SUR,ALGODONERA AVELLANEDA S.A. X,ALGODONERA AVELLANEDA S.A. X,INDIA,INDIA,Cotton equivalents,175395.33,179.72
2015,ARGENTINA,BUENOS AIRES SUR,ALGODONERA AVELLANEDA S.A. X,ALGODONERA AVELLANEDA S.A. X,INDONESIA,INDONESIA,Cotton equivalents,539843.71,487.93
2015,ARGENTINA,BUENOS AIRES SUR,ALGODONERA AVELLANEDA S.A. X,ALGODONERA AVELLANEDA S.A. X,ITALY,EUROPEAN UNION,Cotton equivalents,99890.87,102.4
2015,ARGENTINA,BUENOS AIRES SUR,ALGODONERA AVELLANEDA S.A. X,ALGODONERA AVELLANEDA S.A. X,MOROCCO,MOROCCO,Cotton equivalents,814219.64,806.64
2015,ARGENTINA,BUENOS AIRES SUR,ALGODONERA AVELLANEDA S.A. X,ALGODONERA AVELLANEDA S.A. X,SINGAPORE,SINGAPORE,Cotton equivalents,4311612.2,4073.2
2015,ARGENTINA,BUENOS AIRES SUR,ALGODONERA AVELLANEDA S.A. X,ALGODONERA AVELLANEDA S.A. X,SOUTH KOREA,SOUTH KOREA,Cotton equivalents,367750.54,341.68
2015,ARGENTINA,BUENOS AIRES SUR,ALGODONERA AVELLANEDA S.A. X,ALGODONERA AVELLANEDA S.A. X,SPAIN,EUROPEAN UNION,Cotton equivalents,348028.6,349.45
2015,ARGENTINA,BUENOS AIRES SUR,ALGODONERA AVELLANEDA S.A. X,ALGODONERA AVELLANEDA S.A. X,THAILAND,THAILAND,Cotton equivalents,216045.95,203.63
2015,ARGENTINA,BUENOS AIRES SUR,ALGODONERA AVELLANEDA S.A. X,ALGODONERA AVELLANEDA S.A. X,TURKEY,TURKEY,Cotton equivalents,1129788.62,1092.97
2015,ARGENTINA,BUENOS AIRES SUR,ALGODONERA AVELLANEDA S.A. X,ALGODONERA AVELLANEDA S.A. X,VENEZUELA,VENEZUELA,Cotton equivalents,544091.5,503.67
2015,ARGENTINA,BUENOS AIRES SUR,ALGODONERA AVELLANEDA S.A. X,ALGODONERA AVELLANEDA S.A. X,VIETNAM,VIETNAM,Cotton equivalents,68552.04,69.1
2015,ARGENTINA,BUENOS AIRES SUR,BRASTEX SA.,BRASTEX SA.,BRAZIL,BRAZIL,Cotton equivalents,401570.11,404.78
2015,ARGENTINA,BUENOS AIRES SUR,BURATOVICH HERMANOS S.A.C.A.F.I.T.,BURATOVICH HERMANOS S.A.C.A.F.I.T.,INDONESIA,INDONESIA,Cotton equivalents,118469.2,131.05
2015,ARGENTINA,BUENOS AIRES SUR,BUYATTI SAICA,BUYATTI SAICA,COLOMBIA,COLOMBIA,Cotton equivalents,116138.3,126.65
2016,ARGENTINA,BUENOS AIRES SUR,BUYATTI SAICA,BUYATTI SAICA,COLOMBIA,COLOMBIA,Cotton equivalents,42914,49.9
2015,ARGENTINA,BUENOS AIRES SUR,BUYATTI SAICA,BUYATTI SAICA,INDIA,INDIA,Cotton equivalents,61438.4,71.44
2015,ARGENTINA,BUENOS AIRES SUR,BUYATTI SAICA,BUYATTI SAICA,INDONESIA,INDONESIA,Cotton equivalents,750299.31,953.33
2016,ARGENTINA,BUENOS AIRES SUR,BUYATTI SAICA,BUYATTI SAICA,INDONESIA,INDONESIA,Cotton equivalents,72077.19,108.98
2015,ARGENTINA,BUENOS AIRES SUR,BUYATTI SAICA,BUYATTI SAICA,JAPAN,JAPAN,Cotton equivalents,120183.04,130.305
2016,ARGENTINA,BUENOS AIRES SUR,BUYATTI SAICA,BUYATTI SAICA,JAPAN,JAPAN,Cotton equivalents,43860,51
2015,ARGENTINA,BUENOS AIRES SUR,BUYATTI SAICA,BUYATTI SAICA,TAIWAN,TAIWAN,Cotton equivalents,128109.3,193.7
2015,ARGENTINA,BUENOS AIRES SUR,BUYATTI SAICA,BUYATTI SAICA,THAILAND,THAILAND,Cotton equivalents,459874.05,507.164
2016,ARGENTINA,BUENOS AIRES SUR,BUYATTI SAICA,BUYATTI SAICA,THAILAND,THAILAND,Cotton equivalents,62014.6,72.11
2015,ARGENTINA,BUENOS AIRES SUR,BUYATTI SAICA,BUYATTI SAICA,TURKEY,TURKEY,Cotton equivalents,428574.8,512.76
2016,ARGENTINA,BUENOS AIRES SUR,CONFECOR S.A.,CONFECOR S.A.,COLOMBIA,COLOMBIA,Cotton equivalents,93233.83,98.35
2015,ARGENTINA,BUENOS AIRES SUR,CONFECOR S.A.,CONFECOR S.A.,INDIA,INDIA,Cotton equivalents,306904.45,386.7
2016,ARGENTINA,BUENOS AIRES SUR,DELGA S.A.I.C.Y F. X,DELGA S.A.I.C.Y F. X,BOLIVIA,BOLIVIA,Cotton equivalents,40.88,0.0157
2016,ARGENTINA,BUENOS AIRES SUR,DELGA S.A.I.C.Y F. X,DELGA S.A.I.C.Y F. X,PARAGUAY,PARAGUAY,Cotton equivalents,11.2,0.0038
2015,ARGENTINA,BUENOS AIRES SUR,DISTRINANDO S.A.,DISTRINANDO S.A.,CHINA (HONG KONG),CHINA (HONG KONG),Cotton equivalents,41829.27,48.65
2015,ARGENTINA,BUENOS AIRES SUR,DISTRINANDO S.A.,DISTRINANDO S.A.,CHINA (MAINLAND),CHINA (MAINLAND),Cotton equivalents,131470.49,152.91
2015,ARGENTINA,BUENOS AIRES SUR,DISTRINANDO S.A.,DISTRINANDO S.A.,COLOMBIA,COLOMBIA,Cotton equivalents,835875.84,975.91
2015,ARGENTINA,BUENOS AIRES SUR,DISTRINANDO S.A.,DISTRINANDO S.A.,INDIA,INDIA,Cotton equivalents,185835.77,216.14
2015,ARGENTINA,BUENOS AIRES SUR,DISTRINANDO S.A.,DISTRINANDO S.A.,INDONESIA,INDONESIA,Cotton equivalents,81595.02,94.9
2015,ARGENTINA,BUENOS AIRES SUR,DISTRINANDO S.A.,DISTRINANDO S.A.,SINGAPORE,SINGAPORE,Cotton equivalents,420894.99,500.98
2015,ARGENTINA,BUENOS AIRES SUR,DISTRINANDO S.A.,DISTRINANDO S.A.,SOUTH KOREA,SOUTH KOREA,Cotton equivalents,59806.39,67.82
2015,ARGENTINA,BUENOS AIRES SUR,DISTRINANDO S.A.,DISTRINANDO S.A.,SPAIN,EUROPEAN UNION,Cotton equivalents,379961.53,438.66
2015,ARGENTINA,BUENOS AIRES SUR,DISTRINANDO S.A.,DISTRINANDO S.A.,TURKEY,TURKEY,Cotton equivalents,168581.84,203.85
2015,ARGENTINA,BUENOS AIRES SUR,ENRIQUE M.BAYA CASAL S.A.,ENRIQUE M.BAYA CASAL S.A.,COLOMBIA,COLOMBIA,Cotton equivalents,234648.65,268.152164111218
2015,ARGENTINA,BUENOS AIRES SUR,ENRIQUE M.BAYA CASAL S.A.,ENRIQUE M.BAYA CASAL S.A.,SPAIN,EUROPEAN UNION,Cotton equivalents,103176,120
2015,ARGENTINA,BUENOS AIRES SUR,ENRIQUE M.BAYA CASAL S.A.,ENRIQUE M.BAYA CASAL S.A.,TAIWAN,TAIWAN,Cotton equivalents,136044.56,158.23
2015,ARGENTINA,BUENOS AIRES SUR,ENRIQUE M.BAYA CASAL S.A.,ENRIQUE M.BAYA CASAL S.A.,TURKEY,TURKEY,Cotton equivalents,100089.32,116.41
2016,ARGENTINA,BUENOS AIRES SUR,E.P. S.A.,E.P. S.A.,INDIA,INDIA,Cotton equivalents,121728.08,117.48
2015,ARGENTINA,BUENOS AIRES SUR,HILADO SA.,HILADO SA.,BELGIUM,EUROPEAN UNION,Cotton equivalents,379628.36,404.1664
2016,ARGENTINA,BUENOS AIRES SUR,HILADO SA.,HILADO SA.,BELGIUM,EUROPEAN UNION,Cotton equivalents,64028.14,71.161
2015,ARGENTINA,BUENOS AIRES SUR,HILADO SA.,HILADO SA.,NETHERLANDS,EUROPEAN UNION,Cotton equivalents,141143.67,139.9366
2016,ARGENTINA,BUENOS AIRES SUR,HILADO SA.,HILADO SA.,NETHERLANDS,EUROPEAN UNION,Cotton equivalents,31226.25,35.972
2015,ARGENTINA,BUENOS AIRES SUR,HILADO SA.,HILADO SA.,PORTUGAL,EUROPEAN UNION,Cotton equivalents,33637.44,33.9259
2015,ARGENTINA,BUENOS AIRES SUR,HILADO SA.,HILADO SA.,UNITED STATES,UNITED STATES,Cotton equivalents,274073.91,276.8376
2016,ARGENTINA,BUENOS AIRES SUR,HILADO SA.,HILADO SA.,UNITED STATES,UNITED STATES,Cotton equivalents,165039.41,183.3728
2015,ARGENTINA,BUENOS AIRES SUR,HILADO SA.,HILADO SA.,URUGUAY,URUGUAY,Cotton equivalents,33332.85,33.33285
2016,ARGENTINA,BUENOS AIRES SUR,INCOTEX SRL,INCOTEX SRL,BANGLADESH,BANGLADESH,Cotton equivalents,23205.17,37.592
2015,ARGENTINA,BUENOS AIRES SUR,INCOTEX SRL,INCOTEX SRL,CHINA (MAINLAND),CHINA (MAINLAND),Cotton equivalents,35562.4,53.77
2016,ARGENTINA,BUENOS AIRES SUR,INCOTEX SRL,INCOTEX SRL,COLOMBIA,COLOMBIA,Cotton equivalents,16046.45,25.995
2015,ARGENTINA,BUENOS AIRES SUR,INCOTEX SRL,INCOTEX SRL,INDIA,INDIA,Cotton equivalents,115420.54,189.744
2016,ARGENTINA,BUENOS AIRES SUR,INCOTEX SRL,INCOTEX SRL,INDIA,INDIA,Cotton equivalents,13972.36,22.635
2015,ARGENTINA,BUENOS AIRES SUR,INCOTEX SRL,INCOTEX SRL,INDONESIA,INDONESIA,Cotton equivalents,722764.19,1116.5575
2015,ARGENTINA,BUENOS AIRES SUR,INCOTEX SRL,INCOTEX SRL,JAPAN,JAPAN,Cotton equivalents,64712.94,99.565
2015,ARGENTINA,BUENOS AIRES SUR,INCOTEX SRL,INCOTEX SRL,THAILAND,THAILAND,Cotton equivalents,116267.45,178.318
2015,ARGENTINA,BUENOS AIRES SUR,INCOTEX SRL,INCOTEX SRL,TURKEY,TURKEY,Cotton equivalents,37929.9,64.924
2016,ARGENTINA,BUENOS AIRES SUR,INCOTEX SRL,INCOTEX SRL,TURKEY,TURKEY,Cotton equivalents,46110.33,74.698
2016,ARGENTINA,BUENOS AIRES SUR,INCOTEX SRL,INCOTEX SRL,VIETNAM,VIETNAM,Cotton equivalents,56526.37,94.964
2015,ARGENTINA,BUENOS AIRES SUR,INTERNATIONAL STAR S A,INTERNATIONAL STAR S A,UNITED STATES,UNITED STATES,Cotton equivalents,3840,24
2016,ARGENTINA,BUENOS AIRES SUR,INVERSIONES PRIVADAS DEL NORTE S A,INVERSIONES PRIVADAS DEL NORTE S A,COLOMBIA,COLOMBIA,Cotton equivalents,164263.42,152.06
2015,ARGENTINA,BUENOS AIRES SUR,INVERSIONES PRIVADAS DEL NORTE S A,INVERSIONES PRIVADAS DEL NORTE S A,INDIA,INDIA,Cotton equivalents,520956.16,579.87
2016,ARGENTINA,BUENOS AIRES SUR,INVERSIONES PRIVADAS DEL NORTE S A,INVERSIONES PRIVADAS DEL NORTE S A,INDIA,INDIA,Cotton equivalents,221063.19,204.64
2015,ARGENTINA,BUENOS AIRES SUR,INVERSIONES PRIVADAS DEL NORTE S A,INVERSIONES PRIVADAS DEL NORTE S A,INDONESIA,INDONESIA,Cotton equivalents,300459.26,297.77
2015,ARGENTINA,BUENOS AIRES SUR,INVERSIONES PRIVADAS DEL NORTE S A,INVERSIONES PRIVADAS DEL NORTE S A,TURKEY,TURKEY,Cotton equivalents,127537.58,150.07
2016,ARGENTINA,BUENOS AIRES SUR,INVERSIONES PRIVADAS DEL NORTE S A,INVERSIONES PRIVADAS DEL NORTE S A,TURKEY,TURKEY,Cotton equivalents,319355.5,308.21
2015,ARGENTINA,BUENOS AIRES SUR,MINERA DEL NORTE S A,MINERA DEL NORTE S A,CHINA (HONG KONG),CHINA (HONG KONG),Cotton equivalents,69831.3,50.72
2015,ARGENTINA,BUENOS AIRES SUR,M S U S A,M S U S A,COLOMBIA,COLOMBIA,Cotton equivalents,69725.4,73.55
2016,ARGENTINA,BUENOS AIRES SUR,M S U S A,M S U S A,COLOMBIA,COLOMBIA,Cotton equivalents,37040.2,43.07
2015,ARGENTINA,BUENOS AIRES SUR,M S U S A,M S U S A,INDIA,INDIA,Cotton equivalents,41260.19,41.59
2016,ARGENTINA,BUENOS AIRES SUR,M S U S A,M S U S A,INDIA,INDIA,Cotton equivalents,21250.6,24.71
2015,ARGENTINA,BUENOS AIRES SUR,M S U S A,M S U S A,INDONESIA,INDONESIA,Cotton equivalents,51518.2,51.93
2016,ARGENTINA,BUENOS AIRES SUR,PILAGA SOCIEDAD ANONIMA GANADERA,PILAGA SOCIEDAD ANONIMA GANADERA,CHINA (HONG KONG),CHINA (HONG KONG),Cotton equivalents,113300,103
2015,ARGENTINA,BUENOS AIRES SUR,PILAGA SOCIEDAD ANONIMA GANADERA,PILAGA SOCIEDAD ANONIMA GANADERA,SPAIN,EUROPEAN UNION,Cotton equivalents,95312,92
2015,ARGENTINA,BUENOS AIRES SUR,PILAGA SOCIEDAD ANONIMA GANADERA,PILAGA SOCIEDAD ANONIMA GANADERA,TURKEY,TURKEY,Cotton equivalents,96420.52,93.07
2016,ARGENTINA,BUENOS AIRES SUR,PILAGA SOCIEDAD ANONIMA GANADERA,PILAGA SOCIEDAD ANONIMA GANADERA,TURKEY,TURKEY,Cotton equivalents,519398.72,480.08
2015,ARGENTINA,BUENOS AIRES SUR,RODAMIENTOS IRIONDO S.R.L.,RODAMIENTOS IRIONDO S.R.L.,TURKEY,TURKEY,Cotton equivalents,35849.1,45.15
2015,ARGENTINA,BUENOS AIRES SUR,RODAMIENTOS IRIONDO S.R.L.,RODAMIENTOS IRIONDO S.R.L.,VIETNAM,VIETNAM,Cotton equivalents,108015.76,136.04
2015,ARGENTINA,BUENOS AIRES SUR,SACEIF LOUIS DREYFUS Y CIA LTDA,LOUIS DREYFUS,CHINA (MAINLAND),CHINA (MAINLAND),Cotton equivalents,341289.44,275.95
2015,ARGENTINA,BUENOS AIRES SUR,SACEIF LOUIS DREYFUS Y CIA LTDA,LOUIS DREYFUS,COLOMBIA,COLOMBIA,Cotton equivalents,846281.51,699.639
2016,ARGENTINA,BUENOS AIRES SUR,SACEIF LOUIS DREYFUS Y CIA LTDA,LOUIS DREYFUS,COLOMBIA,COLOMBIA,Cotton equivalents,605190.14,510.77
2016,ARGENTINA,BUENOS AIRES SUR,SACEIF LOUIS DREYFUS Y CIA LTDA,LOUIS DREYFUS,INDIA,INDIA,Cotton equivalents,235196.66,215.348
2016,ARGENTINA,BUENOS AIRES SUR,SACEIF LOUIS DREYFUS Y CIA LTDA,LOUIS DREYFUS,INDONESIA,INDONESIA,Cotton equivalents,59302.02,49.416
2015,ARGENTINA,BUENOS AIRES SUR,SACEIF LOUIS DREYFUS Y CIA LTDA,LOUIS DREYFUS,MALAYSIA,MALAYSIA,Cotton equivalents,638684.24,525.5
2016,ARGENTINA,BUENOS AIRES SUR,SACEIF LOUIS DREYFUS Y CIA LTDA,LOUIS DREYFUS,MOROCCO,MOROCCO,Cotton equivalents,108957.62,97.795
2015,ARGENTINA,BUENOS AIRES SUR,SACEIF LOUIS DREYFUS Y CIA LTDA,LOUIS DREYFUS,SINGAPORE,SINGAPORE,Cotton equivalents,283217.05,243.619
2016,ARGENTINA,BUENOS AIRES SUR,SACEIF LOUIS DREYFUS Y CIA LTDA,LOUIS DREYFUS,SINGAPORE,SINGAPORE,Cotton equivalents,1557124.4,1398.432
2015,ARGENTINA,BUENOS AIRES SUR,SACEIF LOUIS DREYFUS Y CIA LTDA,LOUIS DREYFUS,SOUTH KOREA,SOUTH KOREA,Cotton equivalents,346298.41,280
2015,ARGENTINA,BUENOS AIRES SUR,SACEIF LOUIS DREYFUS Y CIA LTDA,LOUIS DREYFUS,SPAIN,EUROPEAN UNION,Cotton equivalents,425155.5,350
2015,ARGENTINA,BUENOS AIRES SUR,SACEIF LOUIS DREYFUS Y CIA LTDA,LOUIS DREYFUS,TAIWAN,TAIWAN,Cotton equivalents,397037.72,311.962
2015,ARGENTINA,BUENOS AIRES SUR,SACEIF LOUIS DREYFUS Y CIA LTDA,LOUIS DREYFUS,TURKEY,TURKEY,Cotton equivalents,429358.46,371.46
2016,ARGENTINA,BUENOS AIRES SUR,SACEIF LOUIS DREYFUS Y CIA LTDA,LOUIS DREYFUS,TURKEY,TURKEY,Cotton equivalents,333453.05,298.86
2015,ARGENTINA,BUENOS AIRES SUR,SACEIF LOUIS DREYFUS Y CIA LTDA,LOUIS DREYFUS,VIETNAM,VIETNAM,Cotton equivalents,534310.19,438.112
2015,ARGENTINA,BUENOS AIRES SUR,SAFICO SA,SAFICO SA,MOROCCO,MOROCCO,Cotton equivalents,45038.21,46.43
2016,ARGENTINA,BUENOS AIRES SUR,SAFICO SA,SAFICO SA,MOROCCO,MOROCCO,Cotton equivalents,22310.55,23
2015,ARGENTINA,BUENOS AIRES SUR,SAFICO SA,SAFICO SA,SINGAPORE,SINGAPORE,Cotton equivalents,424238.16,469.29
2015,ARGENTINA,BUENOS AIRES SUR,SAFICO SA,SAFICO SA,TURKEY,TURKEY,Cotton equivalents,184091.16,189.78
2015,ARGENTINA,BUENOS AIRES SUR,S A PASTORIL SANTIAGUENA,S A PASTORIL SANTIAGUENA,COLOMBIA,COLOMBIA,Cotton equivalents,115877.21,104.09
2015,ARGENTINA,BUENOS AIRES SUR,SOGICO SA,SOGICO SA,COLOMBIA,COLOMBIA,Cotton equivalents,86667.84,100.8
2016,ARGENTINA,BUENOS AIRES SUR,SOGICO SA,SOGICO SA,COLOMBIA,COLOMBIA,Cotton equivalents,193771.11,195.32
2015,ARGENTINA,BUENOS AIRES SUR,SOGICO SA,SOGICO SA,INDIA,INDIA,Cotton equivalents,44021.25,51.2
2015,ARGENTINA,BUENOS AIRES SUR,SOGICO SA,SOGICO SA,INDONESIA,INDONESIA,Cotton equivalents,77062.98,89.63
2016,ARGENTINA,BUENOS AIRES SUR,SOGICO SA,SOGICO SA,JAPAN,JAPAN,Cotton equivalents,21331.2,88.88
2015,ARGENTINA,BUENOS AIRES SUR,SOGICO SA,SOGICO SA,MOROCCO,MOROCCO,Cotton equivalents,151856.11,176.62
2015,ARGENTINA,BUENOS AIRES SUR,SOGICO SA,SOGICO SA,SINGAPORE,SINGAPORE,Cotton equivalents,87596.43,101.88
2015,ARGENTINA,BUENOS AIRES SUR,SONY ARGENTINA SA.,SONY ARGENTINA SA.,COLOMBIA,COLOMBIA,Cotton equivalents,63496.23,73.85
2015,ARGENTINA,BUENOS AIRES SUR,SONY ARGENTINA SA.,SONY ARGENTINA SA.,MOROCCO,MOROCCO,Cotton equivalents,171958,200
2015,ARGENTINA,BUENOS AIRES SUR,SONY ARGENTINA SA.,SONY ARGENTINA SA.,TURKEY,TURKEY,Cotton equivalents,174055.89,202.44
2015,ARGENTINA,BUENOS AIRES SUR,TECOTEX S.A.C.I.F.I.Y A. X,TECOTEX S.A.C.I.F.I.Y A. X,CHINA (HONG KONG),CHINA (HONG KONG),Cotton equivalents,41887.5,50
2015,ARGENTINA,BUENOS AIRES SUR,TECOTEX S.A.C.I.F.I.Y A. X,TECOTEX S.A.C.I.F.I.Y A. X,CHINA (MAINLAND),CHINA (MAINLAND),Cotton equivalents,43678.71,48.92
2015,ARGENTINA,BUENOS AIRES SUR,TECOTEX S.A.C.I.F.I.Y A. X,TECOTEX S.A.C.I.F.I.Y A. X,COLOMBIA,COLOMBIA,Cotton equivalents,545164.93,634.86
2015,ARGENTINA,BUENOS AIRES SUR,TECOTEX S.A.C.I.F.I.Y A. X,TECOTEX S.A.C.I.F.I.Y A. X,INDIA,INDIA,Cotton equivalents,280842.45,330.25
2015,ARGENTINA,BUENOS AIRES SUR,TECOTEX S.A.C.I.F.I.Y A. X,TECOTEX S.A.C.I.F.I.Y A. X,INDONESIA,INDONESIA,Cotton equivalents,312262.66,363.67
2015,ARGENTINA,BUENOS AIRES SUR,TECOTEX S.A.C.I.F.I.Y A. X,TECOTEX S.A.C.I.F.I.Y A. X,ITALY,EUROPEAN UNION,Cotton equivalents,91480.86,99.96
2015,ARGENTINA,BUENOS AIRES SUR,TECOTEX S.A.C.I.F.I.Y A. X,TECOTEX S.A.C.I.F.I.Y A. X,SINGAPORE,SINGAPORE,Cotton equivalents,842641.32,997.72
2015,ARGENTINA,BUENOS AIRES SUR,TECOTEX S.A.C.I.F.I.Y A. X,TECOTEX S.A.C.I.F.I.Y A. X,THAILAND,THAILAND,Cotton equivalents,19410.67,23.17
2016,ARGENTINA,BUENOS AIRES SUR,TINTORERIA ULLUM S.A.,TINTORERIA ULLUM S.A.,BRAZIL,BRAZIL,Cotton equivalents,392643.88,393.95
2016,ARGENTINA,BUENOS AIRES SUR,TIPOITI SATIC.,TIPOITI SATIC.,BRAZIL,BRAZIL,Cotton equivalents,103662.74,87.89
2015,ARGENTINA,BUENOS AIRES SUR,TIPOITI SATIC.,TIPOITI SATIC.,CHINA (HONG KONG),CHINA (HONG KONG),Cotton equivalents,196733.79,220.91
2015,ARGENTINA,BUENOS AIRES SUR,TIPOITI SATIC.,TIPOITI SATIC.,CHINA (MAINLAND),CHINA (MAINLAND),Cotton equivalents,129907.18,151.09
2015,ARGENTINA,BUENOS AIRES SUR,TIPOITI SATIC.,TIPOITI SATIC.,COLOMBIA,COLOMBIA,Cotton equivalents,429044.55,487.86
2016,ARGENTINA,BUENOS AIRES SUR,TIPOITI SATIC.,TIPOITI SATIC.,COLOMBIA,COLOMBIA,Cotton equivalents,180522.48,153.05
2015,ARGENTINA,BUENOS AIRES SUR,TIPOITI SATIC.,TIPOITI SATIC.,INDIA,INDIA,Cotton equivalents,479995.62,529.75
2015,ARGENTINA,BUENOS AIRES SUR,TIPOITI SATIC.,TIPOITI SATIC.,INDONESIA,INDONESIA,Cotton equivalents,238523.08,269.19
2015,ARGENTINA,BUENOS AIRES SUR,TIPOITI SATIC.,TIPOITI SATIC.,SINGAPORE,SINGAPORE,Cotton equivalents,408226.87,440.16
2015,ARGENTINA,BUENOS AIRES SUR,TIPOITI SATIC.,TIPOITI SATIC.,TURKEY,TURKEY,Cotton equivalents,218530.78,246.61
2016,ARGENTINA,BUENOS AIRES SUR,TIPOITI SATIC.,TIPOITI SATIC.,TURKEY,TURKEY,Cotton equivalents,115478.25,124.72
2015,ARGENTINA,BUENOS AIRES SUR,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,COLOMBIA,COLOMBIA,Cotton equivalents,822235.81,885.11
2016,ARGENTINA,BUENOS AIRES SUR,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,COLOMBIA,COLOMBIA,Cotton equivalents,752034.48,645.52
2015,ARGENTINA,BUENOS AIRES SUR,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,INDIA,INDIA,Cotton equivalents,400291.42,443.14
2015,ARGENTINA,BUENOS AIRES SUR,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,INDONESIA,INDONESIA,Cotton equivalents,720268.16,750.4
2016,ARGENTINA,BUENOS AIRES SUR,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,UNION AGRICOLA DE AVELLANEDA COOPERATIVA LTDA,INDONESIA,INDONESIA,Cotton equivalents,58024.19,48.74
