YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,IMPORTER,IMPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB_USD,PALM_OIL_EQUIVALENT_TONNES
2016,BRAZIL,SANTOS,IND E COM DE PROD ALIM CEPERA LTDA,IND E COM DE PROD ALIM CEPERA LTDA,UNKNOWN,UNKNOWN,AUSTRALIA,AUSTRALIA,Palm oil equivalents,864,0.371578947368421
2017,BRAZIL,SANTOS,IND E COM DE PROD ALIM CEPERA LTDA,IND E COM DE PROD ALIM CEPERA LTDA,UNKNOWN,UNKNOWN,AUSTRALIA,AUSTRALIA,Palm oil equivalents,4627,1.84631578947368
2017,BRAZIL,SANTOS,IND E COM DE PROD ALIM CEPERA LTDA,IND E COM DE PROD ALIM CEPERA LTDA,UNKNOWN,UNKNOWN,PANAMA,PANAMA,Palm oil equivalents,1064,0.286315789473684
2016,BRAZIL,SANTOS,IND E COM DE PROD ALIM CEPERA LTDA,IND E COM DE PROD ALIM CEPERA LTDA,UNKNOWN,UNKNOWN,UNITED STATES,UNITED STATES,Palm oil equivalents,624,0.12
2016,BRAZIL,SANTOS,INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA,INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA,UNKNOWN,UNKNOWN,ECUADOR,ECUADOR,Palm oil equivalents,28061,22.9442105263158
2015,BRAZIL,SANTOS,J N DISTRIBUIDORA DE PRODUTOS DE HIGIENE E BELEZA,J N DISTRIBUIDORA DE PRODUTOS DE HIGIENE E BELEZA,UNKNOWN,UNKNOWN,ANGOLA,ANGOLA,Palm oil equivalents,1730,0.557894736842105
2017,BRAZIL,SANTOS,JPM COMERCIO E EXPORTACAO LTDA,JPM COMERCIO E EXPORTACAO LTDA,PRIME DISTRIBUTION USA CORP.,PRIME DISTRIBUTION USA CORP.,UNITED STATES,UNITED STATES,Palm oil equivalents,8,0.024
2017,BRAZIL,SANTOS,JPM COMERCIO E EXPORTACAO LTDA,JPM COMERCIO E EXPORTACAO LTDA,UNKNOWN,UNKNOWN,UNITED STATES,UNITED STATES,Palm oil equivalents,2444,0.941052631578947
2015,BRAZIL,SANTOS,M8M COMERCIO IMPORTACAO E EXPORTACAO LTDA,M8M COMERCIO IMPORTACAO E EXPORTACAO LTDA,UNKNOWN,UNKNOWN,PORTUGAL,EUROPEAN UNION,Palm oil equivalents,407,0.0126315789473684
2015,BRAZIL,SANTOS,MAIPUR IMPORT EXPORT COMERCIO LTDA - EPP,MAIPUR IMPORT EXPORT COMERCIO LTDA - EPP,"PEDAGOS DO BRASIL, COMERCIO DE PRODUTOS UNIPESSOAL, LDA","PEDAGOS DO BRASIL, COMERCIO DE PRODUTOS UNIPESSOAL, LDA",PORTUGAL,EUROPEAN UNION,Palm oil equivalents,1795,0.36
2016,BRAZIL,SANTOS,MAIPUR IMPORT EXPORT COMERCIO LTDA - EPP,MAIPUR IMPORT EXPORT COMERCIO LTDA - EPP,"PEDAGOS DO BRASIL, COMERCIO DE PRODUTOS UNIPESSOAL, LDA","PEDAGOS DO BRASIL, COMERCIO DE PRODUTOS UNIPESSOAL, LDA",PORTUGAL,EUROPEAN UNION,Palm oil equivalents,1272,0.24
2017,BRAZIL,SANTOS,MAIPUR IMPORT EXPORT COMERCIO LTDA - EPP,MAIPUR IMPORT EXPORT COMERCIO LTDA - EPP,"PEDAGOS DO BRASIL, COMERCIO DE PRODUTOS UNIPESSOAL, LDA","PEDAGOS DO BRASIL, COMERCIO DE PRODUTOS UNIPESSOAL, LDA",PORTUGAL,EUROPEAN UNION,Palm oil equivalents,713,0.12
2015,BRAZIL,SANTOS,MAIPUR IMPORT EXPORT COMERCIO LTDA - EPP,MAIPUR IMPORT EXPORT COMERCIO LTDA - EPP,UNKNOWN,UNKNOWN,PORTUGAL,EUROPEAN UNION,Palm oil equivalents,710,0.0252631578947368
2016,BRAZIL,SANTOS,MAIPUR IMPORT EXPORT COMERCIO LTDA - EPP,MAIPUR IMPORT EXPORT COMERCIO LTDA - EPP,UNKNOWN,UNKNOWN,PORTUGAL,EUROPEAN UNION,Palm oil equivalents,670,0.0252631578947368
2017,BRAZIL,SANTOS,PETER KIESSLING 34841092897,PETER KIESSLING 34841092897,UNKNOWN,UNKNOWN,SINGAPORE,SINGAPORE,Palm oil equivalents,247,0.0821052631578947
2017,BRAZIL,SANTOS,P. SEVERINI NETTO COMERCIAL LTDA,P. SEVERINI NETTO COMERCIAL LTDA,UNKNOWN,UNKNOWN,CANADA,CANADA,Palm oil equivalents,1078,0.186315789473684
2016,BRAZIL,SANTOS,P. SEVERINI NETTO COMERCIAL LTDA,P. SEVERINI NETTO COMERCIAL LTDA,UNKNOWN,UNKNOWN,UNITED STATES,UNITED STATES,Palm oil equivalents,2268,0.593684210526316
2017,BRAZIL,SANTOS,SEA OLIMPIC IMPORTACAO E EXPORTACAO EIRELI,SEA OLIMPIC IMPORTACAO E EXPORTACAO EIRELI,BRAZIL FOR US LLC,BRAZIL FOR US LLC,UNITED STATES,UNITED STATES,Palm oil equivalents,252,0.019
2017,BRAZIL,SANTOS,"SPT COMIMPEX - COMERCIO, IMPORTACAO E EXPORTACAO LTDA","SPT COMIMPEX - COMERCIO, IMPORTACAO E EXPORTACAO LTDA",UNKNOWN,UNKNOWN,SYRIA,SYRIA,Palm oil equivalents,55136,24.3894736842105
2015,BRAZIL,SANTOS,VALSAMPA - EXPORTACAO E IMPORTACAO LTDA - EPP,VALSAMPA - EXPORTACAO E IMPORTACAO LTDA - EPP,UNKNOWN,UNKNOWN,UNITED STATES,UNITED STATES,Palm oil equivalents,933,0.225263157894737
2017,BRAZIL,SAO BORJA,INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA,INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA,UNKNOWN,UNKNOWN,ARGENTINA,ARGENTINA,Palm oil equivalents,11673,7.69473684210526
2015,BRAZIL,SAO FRANCISCO DO SUL,BARTH E PENEDO COMERCIO EXTERIOR LTDA - EPP,BARTH E PENEDO COMERCIO EXTERIOR LTDA - EPP,UNKNOWN,UNKNOWN,NEW ZEALAND,NEW ZEALAND,Palm oil equivalents,301,0.104210526315789
2015,BRAZIL,SAO PAULO,COMPANHIA REFINADORA DA AMAZONIA,COMPANHIA REFINADORA DA AMAZONIA,UNKNOWN,UNKNOWN,UNITED KINGDOM,EUROPEAN UNION,Palm oil equivalents,775,0.210526315789474
2015,BRAZIL,SAO PAULO,INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA,INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA,UNKNOWN,UNKNOWN,COLOMBIA,COLOMBIA,Palm oil equivalents,393,0.189473684210526
2016,BRAZIL,SAO PAULO,INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA,INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA,UNKNOWN,UNKNOWN,COLOMBIA,COLOMBIA,Palm oil equivalents,758,0.378947368421053
2017,BRAZIL,SAO PAULO,INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA,INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA,UNKNOWN,UNKNOWN,COLOMBIA,COLOMBIA,Palm oil equivalents,438,0.189473684210526
2015,BRAZIL,SAO PAULO,INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA,INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA,UNKNOWN,UNKNOWN,MEXICO,MEXICO,Palm oil equivalents,365,0.189473684210526
2016,BRAZIL,SAO PAULO,INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA,INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA,UNKNOWN,UNKNOWN,MEXICO,MEXICO,Palm oil equivalents,554,0.189473684210526
2017,BRAZIL,SAO PAULO,INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA,INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA,UNKNOWN,UNKNOWN,MEXICO,MEXICO,Palm oil equivalents,1511,0.484210526315789
2017,BRAZIL,SAO PAULO,JPM COMERCIO E EXPORTACAO LTDA,JPM COMERCIO E EXPORTACAO LTDA,UNKNOWN,UNKNOWN,UNITED STATES,UNITED STATES,Palm oil equivalents,427,0.722105263157895
2017,BRAZIL,SAO PAULO,SEA OLIMPIC IMPORTACAO E EXPORTACAO EIRELI,SEA OLIMPIC IMPORTACAO E EXPORTACAO EIRELI,BRAZIL FOR US LLC,BRAZIL FOR US LLC,UNITED STATES,UNITED STATES,Palm oil equivalents,119,0.026
2015,BRAZIL,SAO PAULO,SUN.F INTERNATIONAL IMPORTACAO E EXPORTACAO LTDA,SUN.F INTERNATIONAL IMPORTACAO E EXPORTACAO LTDA,UNKNOWN,UNKNOWN,ITALY,EUROPEAN UNION,Palm oil equivalents,27,0.00210526315789474
2017,BRAZIL,UNKNOWN PORT BRAZIL,BRAZIL MERCHANT IMPORTACAO E EXPORTACAO DE MAQUINAS LTDA - E,BRAZIL MERCHANT IMPORTACAO E EXPORTACAO DE MAQUINAS LTDA - E,UNKNOWN,UNKNOWN,SURINAME,SURINAME,Palm oil equivalents,1078,0.195789473684211
2017,BRAZIL,UNKNOWN PORT BRAZIL,COMPANHIA REFINADORA DA AMAZONIA,COMPANHIA REFINADORA DA AMAZONIA,UNKNOWN,UNKNOWN,ITALY,EUROPEAN UNION,Palm oil equivalents,96628,87.9368421052631
2016,BRAZIL,UNKNOWN PORT BRAZIL,COMPANHIA REFINADORA DA AMAZONIA,COMPANHIA REFINADORA DA AMAZONIA,UNKNOWN,UNKNOWN,UNITED STATES,UNITED STATES,Palm oil equivalents,396411,274.388421052632
2017,BRAZIL,UNKNOWN PORT BRAZIL,COMPANHIA REFINADORA DA AMAZONIA,COMPANHIA REFINADORA DA AMAZONIA,UNKNOWN,UNKNOWN,UNITED STATES,UNITED STATES,Palm oil equivalents,1624987,1080.34210526316
2017,BRAZIL,UNKNOWN PORT BRAZIL,EMBRAIMPEX EMPRESA BRASILEIRA DE IMPORTACOES E EXPORTACOES L,EMBRAIMPEX EMPRESA BRASILEIRA DE IMPORTACOES E EXPORTACOES L,UNKNOWN,UNKNOWN,FRENCH GUYANA,FRENCH GUYANA,Palm oil equivalents,1338,0.372631578947368
2015,BRAZIL,URUGUAIANA,FIRMENICH & CIA.,FIRMENICH & CIA.,FIRMENICH S.A.I.C. Y F.,FIRMENICH S.A.I.C. Y F.,ARGENTINA,ARGENTINA,Palm oil equivalents,2717,0.585
2015,BRAZIL,URUGUAIANA,FIRMENICH & CIA.,FIRMENICH & CIA.,FIRMENICH S.A.I.C.YF.,FIRMENICH S.A.I.C.YF.,ARGENTINA,ARGENTINA,Palm oil equivalents,7121,1.56
2015,BRAZIL,URUGUAIANA,INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA,INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA,UNKNOWN,UNKNOWN,ARGENTINA,ARGENTINA,Palm oil equivalents,641,0.405263157894737
2016,BRAZIL,URUGUAIANA,INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA,INDUSTRIA E COMERCIO DE COSMETICOS NATURA LTDA,UNKNOWN,UNKNOWN,ARGENTINA,ARGENTINA,Palm oil equivalents,1663,1.08421052631579
