YEAR,COUNTRY OF PRODUCTION,PORT OF EXPORT,EXPORTER,EXPORTER GROUP,COUNTRY,ECONOMIC BLOC,TYPE,FOB,SHRIMP_EQUIVALENT_TONNES
2014,ARGENTINA,BAHIA BLANCA,ARGENOVA SA.,ARGENOVA SA.,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,703308,98.292
2014,ARGENTINA,BAHIA BLANCA,ARGENOVA SA.,ARGENOVA SA.,JAPAN,JAPAN,Shrimp equivalents,522057.6,62.388
2014,ARGENTINA,BAHIA BLANCA,ARGENOVA SA.,ARGENOVA SA.,SPAIN,EUROPEAN UNION,Shrimp equivalents,1491830.4,225.312
2017,ARGENTINA,BAHIA BLANCA,WHITE GULF S A,WHITE GULF S A,CHINA (HONG KONG),CHINA (HONG KONG),Shrimp equivalents,116688,22.44
2013,ARGENTINA,BAHIA BLANCA,WHITE GULF S A,WHITE GULF S A,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,6120,3.06
2015,ARGENTINA,BAHIA BLANCA,WHITE GULF S A,WHITE GULF S A,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,43900,7.13349436392915
2017,ARGENTINA,BAHIA BLANCA,WHITE GULF S A,WHITE GULF S A,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,144430,52.52
2014,ARGENTINA,BUENOS AIRES,AGRO PATAGONICO SA,AGRO PATAGONICO SA,COLOMBIA,COLOMBIA,Shrimp equivalents,172800,24
2014,ARGENTINA,BUENOS AIRES,AGRO PATAGONICO SA,AGRO PATAGONICO SA,DENMARK,EUROPEAN UNION,Shrimp equivalents,308568,45.7954285714286
2014,ARGENTINA,BUENOS AIRES,AGRO PATAGONICO SA,AGRO PATAGONICO SA,GERMANY,EUROPEAN UNION,Shrimp equivalents,856872,119.292
2014,ARGENTINA,BUENOS AIRES,AGRO PATAGONICO SA,AGRO PATAGONICO SA,ITALY,EUROPEAN UNION,Shrimp equivalents,180000,24
2014,ARGENTINA,BUENOS AIRES,AGRO PATAGONICO SA,AGRO PATAGONICO SA,MOROCCO,MOROCCO,Shrimp equivalents,156078,24.012
2013,ARGENTINA,BUENOS AIRES,AGRO PATAGONICO SA,AGRO PATAGONICO SA,NETHERLANDS ANTILLES,NETHERLANDS ANTILLES,Shrimp equivalents,734.4,0.108
2014,ARGENTINA,BUENOS AIRES,AGRO PATAGONICO SA,AGRO PATAGONICO SA,SINGAPORE,SINGAPORE,Shrimp equivalents,391266,60.012
2014,ARGENTINA,BUENOS AIRES,AGRO PATAGONICO SA,AGRO PATAGONICO SA,THAILAND,THAILAND,Shrimp equivalents,142272,23.712
2014,ARGENTINA,BUENOS AIRES,AGRO PATAGONICO SA,AGRO PATAGONICO SA,UNITED STATES,UNITED STATES,Shrimp equivalents,93672,15.348
2014,ARGENTINA,BUENOS AIRES,CONGELADOS DEL MAR S A,CONGELADOS DEL MAR S A,URUGUAY,URUGUAY,Shrimp equivalents,35997,7.152
2015,ARGENTINA,BUENOS AIRES SUR,AGRO PATAGONICO SA,AGRO PATAGONICO SA,UNITED STATES,UNITED STATES,Shrimp equivalents,119092.48,18.32192
2015,ARGENTINA,BUENOS AIRES SUR,UNKNOWN,UNKNOWN,URUGUAY,URUGUAY,Shrimp equivalents,94248,16.123
2014,ARGENTINA,BUENOS AIRES,YUKEN S.A.,YUKEN S.A.,ITALY,EUROPEAN UNION,Shrimp equivalents,300150,48.024
2014,ARGENTINA,BUENOS AIRES,YUKEN S.A.,YUKEN S.A.,MALAYSIA,MALAYSIA,Shrimp equivalents,156078,24.012
2014,ARGENTINA,BUENOS AIRES,YUKEN S.A.,YUKEN S.A.,SPAIN,EUROPEAN UNION,Shrimp equivalents,151506,24.012
2014,ARGENTINA,CAMPANA,CONGELADOS DEL MAR S A,CONGELADOS DEL MAR S A,URUGUAY,URUGUAY,Shrimp equivalents,35892,6.4
2017,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,ALGERIA,ALGERIA,Shrimp equivalents,51979.2,9.996
2015,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,ANGOLA,ANGOLA,Shrimp equivalents,130596,24
2015,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,CAPE VERDE,CAPE VERDE,Shrimp equivalents,75645.6,13.008
2013,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,CHILE,CHILE,Shrimp equivalents,6000,1.08
2014,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,CHILE,CHILE,Shrimp equivalents,533792,158.416
2015,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,CHILE,CHILE,Shrimp equivalents,261593.6,42.224
2017,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,CHILE,CHILE,Shrimp equivalents,361927.2,56.724
2015,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,230080,46.016
2017,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,429000,66
2014,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Shrimp equivalents,186000,24
2015,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Shrimp equivalents,250317.6,72
2014,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,GREECE,EUROPEAN UNION,Shrimp equivalents,121196.4,21.996
2017,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,GREECE,EUROPEAN UNION,Shrimp equivalents,108090,20.016
2015,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,INDIA,INDIA,Shrimp equivalents,116000,24
2017,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,INDIA,INDIA,Shrimp equivalents,154952,24.992
2015,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,ISRAEL,ISRAEL,Shrimp equivalents,9273.6,1.512
2014,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,PORTUGAL,EUROPEAN UNION,Shrimp equivalents,478476,108.224
2015,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,PORTUGAL,EUROPEAN UNION,Shrimp equivalents,452562,96
2017,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,PORTUGAL,EUROPEAN UNION,Shrimp equivalents,1700246.92,406.808
2017,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Shrimp equivalents,399039.6,72
2014,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,SOUTH AFRICA,SOUTH AFRICA,Shrimp equivalents,516949.6,93.616
2015,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,SOUTH AFRICA,SOUTH AFRICA,Shrimp equivalents,628515.2,123.2
2017,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,SOUTH AFRICA,SOUTH AFRICA,Shrimp equivalents,515888.4,93
2014,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,SPAIN,EUROPEAN UNION,Shrimp equivalents,252000,24
2017,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,SPAIN,EUROPEAN UNION,Shrimp equivalents,117000,22.5
2014,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,THAILAND,THAILAND,Shrimp equivalents,154000,22
2015,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,Shrimp equivalents,110400,24
2013,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,URUGUAY,URUGUAY,Shrimp equivalents,118596,22.8
2014,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,URUGUAY,URUGUAY,Shrimp equivalents,325148.4,37.032
2017,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,URUGUAY,URUGUAY,Shrimp equivalents,242102.4,31.224
2015,ARGENTINA,COMODORO RIVADAVIA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,VIETNAM,VIETNAM,Shrimp equivalents,300000,48
2014,ARGENTINA,COMODORO RIVADAVIA,CONGELADOS ARTICO S.A.,CONGELADOS ARTICO S.A.,COLOMBIA,COLOMBIA,Shrimp equivalents,116718,45.036
2017,ARGENTINA,COMODORO RIVADAVIA,ECOPROM S R L,ECOPROM S R L,ALGERIA,ALGERIA,Shrimp equivalents,251402.4,48
2015,ARGENTINA,COMODORO RIVADAVIA,ECOPROM S R L,ECOPROM S R L,CHILE,CHILE,Shrimp equivalents,42648,6.108
2013,ARGENTINA,COMODORO RIVADAVIA,ECOPROM S R L,ECOPROM S R L,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,140750.4,22.992
2014,ARGENTINA,COMODORO RIVADAVIA,ECOPROM S R L,ECOPROM S R L,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,124944,68.4
2017,ARGENTINA,COMODORO RIVADAVIA,ECOPROM S R L,ECOPROM S R L,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,1118190.95,180.948
2013,ARGENTINA,COMODORO RIVADAVIA,ECOPROM S R L,ECOPROM S R L,EGYPT,EGYPT,Shrimp equivalents,758772.69,158.504
2014,ARGENTINA,COMODORO RIVADAVIA,ECOPROM S R L,ECOPROM S R L,EGYPT,EGYPT,Shrimp equivalents,942965.2,185.14
2015,ARGENTINA,COMODORO RIVADAVIA,ECOPROM S R L,ECOPROM S R L,EGYPT,EGYPT,Shrimp equivalents,430286.4,92.088
2013,ARGENTINA,COMODORO RIVADAVIA,ECOPROM S R L,ECOPROM S R L,FRANCE,EUROPEAN UNION,Shrimp equivalents,195546.8,22.988
2017,ARGENTINA,COMODORO RIVADAVIA,ECOPROM S R L,ECOPROM S R L,FRANCE,EUROPEAN UNION,Shrimp equivalents,134632,19.024
2017,ARGENTINA,COMODORO RIVADAVIA,ECOPROM S R L,ECOPROM S R L,GREECE,EUROPEAN UNION,Shrimp equivalents,241132.8,44.304
2014,ARGENTINA,COMODORO RIVADAVIA,ECOPROM S R L,ECOPROM S R L,ITALY,EUROPEAN UNION,Shrimp equivalents,782574,113.34
2015,ARGENTINA,COMODORO RIVADAVIA,ECOPROM S R L,ECOPROM S R L,ITALY,EUROPEAN UNION,Shrimp equivalents,140066.8,22.012
2017,ARGENTINA,COMODORO RIVADAVIA,ECOPROM S R L,ECOPROM S R L,MOROCCO,MOROCCO,Shrimp equivalents,168750,27
2013,ARGENTINA,COMODORO RIVADAVIA,ECOPROM S R L,ECOPROM S R L,SPAIN,EUROPEAN UNION,Shrimp equivalents,82374.74,9.466
2013,ARGENTINA,COMODORO RIVADAVIA,ECOPROM S R L,ECOPROM S R L,UKRAINE,UKRAINE,Shrimp equivalents,48036,10.008
2017,ARGENTINA,COMODORO RIVADAVIA,ECOPROM S R L,ECOPROM S R L,VIETNAM,VIETNAM,Shrimp equivalents,518144.41,73.584
2017,ARGENTINA,COMODORO RIVADAVIA,ELECTRONIC SYSTEM SA.,ELECTRONIC SYSTEM SA.,VIETNAM,VIETNAM,Shrimp equivalents,802740.96,105.744
2017,ARGENTINA,COMODORO RIVADAVIA,NEWSAN SA.,NEWSAN SA.,BELGIUM,EUROPEAN UNION,Shrimp equivalents,365053.92,82.428
2015,ARGENTINA,COMODORO RIVADAVIA,NEWSAN SA.,NEWSAN SA.,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,125620,22
2017,ARGENTINA,COMODORO RIVADAVIA,NEWSAN SA.,NEWSAN SA.,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,2864520.74,453.436
2017,ARGENTINA,COMODORO RIVADAVIA,NEWSAN SA.,NEWSAN SA.,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,Shrimp equivalents,197935.5,24.01
2015,ARGENTINA,COMODORO RIVADAVIA,NEWSAN SA.,NEWSAN SA.,FRANCE,EUROPEAN UNION,Shrimp equivalents,131040,24
2017,ARGENTINA,COMODORO RIVADAVIA,NEWSAN SA.,NEWSAN SA.,FRANCE,EUROPEAN UNION,Shrimp equivalents,308143.68,42.804
2017,ARGENTINA,COMODORO RIVADAVIA,NEWSAN SA.,NEWSAN SA.,ISRAEL,ISRAEL,Shrimp equivalents,202320,36
2015,ARGENTINA,COMODORO RIVADAVIA,NEWSAN SA.,NEWSAN SA.,ITALY,EUROPEAN UNION,Shrimp equivalents,137255.05,21.996
2017,ARGENTINA,COMODORO RIVADAVIA,NEWSAN SA.,NEWSAN SA.,ITALY,EUROPEAN UNION,Shrimp equivalents,1351525.14,212.742
2015,ARGENTINA,COMODORO RIVADAVIA,NEWSAN SA.,NEWSAN SA.,JAPAN,JAPAN,Shrimp equivalents,310272,43.2
2017,ARGENTINA,COMODORO RIVADAVIA,NEWSAN SA.,NEWSAN SA.,JAPAN,JAPAN,Shrimp equivalents,128088,21.6
2013,ARGENTINA,COMODORO RIVADAVIA,NEWSAN SA.,NEWSAN SA.,LEBANON,LEBANON,Shrimp equivalents,145980,24
2015,ARGENTINA,COMODORO RIVADAVIA,NEWSAN SA.,NEWSAN SA.,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Shrimp equivalents,128351.4,21.996
2017,ARGENTINA,COMODORO RIVADAVIA,NEWSAN SA.,NEWSAN SA.,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Shrimp equivalents,2617119.51,641.79696
2017,ARGENTINA,COMODORO RIVADAVIA,NEWSAN SA.,NEWSAN SA.,SOUTH AFRICA,SOUTH AFRICA,Shrimp equivalents,153760.2,24
2014,ARGENTINA,COMODORO RIVADAVIA,NEWSAN SA.,NEWSAN SA.,SPAIN,EUROPEAN UNION,Shrimp equivalents,141334.8,21.996
2015,ARGENTINA,COMODORO RIVADAVIA,NEWSAN SA.,NEWSAN SA.,SPAIN,EUROPEAN UNION,Shrimp equivalents,464100,71.304
2017,ARGENTINA,COMODORO RIVADAVIA,NEWSAN SA.,NEWSAN SA.,SPAIN,EUROPEAN UNION,Shrimp equivalents,2708780.82,474.558
2017,ARGENTINA,COMODORO RIVADAVIA,NEWSAN SA.,NEWSAN SA.,THAILAND,THAILAND,Shrimp equivalents,644191.38,89.01
2017,ARGENTINA,COMODORO RIVADAVIA,NEWSAN SA.,NEWSAN SA.,UNITED KINGDOM,EUROPEAN UNION,Shrimp equivalents,218559.3,66.03
2017,ARGENTINA,COMODORO RIVADAVIA,NEWSAN SA.,NEWSAN SA.,UNITED STATES,UNITED STATES,Shrimp equivalents,548923.91,68.29538
2017,ARGENTINA,COMODORO RIVADAVIA,NEWSAN SA.,NEWSAN SA.,VIETNAM,VIETNAM,Shrimp equivalents,1144757.71,211.380830769231
2013,ARGENTINA,COMODORO RIVADAVIA,PESQUERA DEL SUD SRL,PESQUERA DEL SUD SRL,FRANCE,EUROPEAN UNION,Shrimp equivalents,168,0.024
2013,ARGENTINA,COMODORO RIVADAVIA,PESQUERA DEL SUD SRL,PESQUERA DEL SUD SRL,ISRAEL,ISRAEL,Shrimp equivalents,165600,24
2014,ARGENTINA,COMODORO RIVADAVIA,PESQUERA DEL SUD SRL,PESQUERA DEL SUD SRL,ISRAEL,ISRAEL,Shrimp equivalents,175200,24
2017,ARGENTINA,COMODORO RIVADAVIA,PESQUERA DEL SUD SRL,PESQUERA DEL SUD SRL,SPAIN,EUROPEAN UNION,Shrimp equivalents,130800,24
2017,ARGENTINA,COMODORO RIVADAVIA,UNKNOWN,UNKNOWN,AZERBAIJAN,AZERBAIJAN,Shrimp equivalents,62594.88,8.004
2017,ARGENTINA,COMODORO RIVADAVIA,UNKNOWN,UNKNOWN,CHINA (MAINLAND),CHINA (MAINLAND),Shrimp equivalents,1213453.54,195.878172307692
2017,ARGENTINA,COMODORO RIVADAVIA,UNKNOWN,UNKNOWN,EGYPT,EGYPT,Shrimp equivalents,124068,24.012
2015,ARGENTINA,COMODORO RIVADAVIA,UNKNOWN,UNKNOWN,GREECE,EUROPEAN UNION,Shrimp equivalents,251058,48.096
2017,ARGENTINA,COMODORO RIVADAVIA,UNKNOWN,UNKNOWN,INDIA,INDIA,Shrimp equivalents,154952,23.8387692307692
2017,ARGENTINA,COMODORO RIVADAVIA,UNKNOWN,UNKNOWN,ITALY,EUROPEAN UNION,Shrimp equivalents,192725.91,19.658
2017,ARGENTINA,COMODORO RIVADAVIA,UNKNOWN,UNKNOWN,JAPAN,JAPAN,Shrimp equivalents,260928,43.2
2017,ARGENTINA,COMODORO RIVADAVIA,UNKNOWN,UNKNOWN,MALAYSIA,MALAYSIA,Shrimp equivalents,524574.72,72.024
2017,ARGENTINA,COMODORO RIVADAVIA,UNKNOWN,UNKNOWN,MONTENEGRO,MONTENEGRO,Shrimp equivalents,92026.2,15.168
2015,ARGENTINA,COMODORO RIVADAVIA,UNKNOWN,UNKNOWN,PORTUGAL,EUROPEAN UNION,Shrimp equivalents,104868,21.9936
2017,ARGENTINA,COMODORO RIVADAVIA,UNKNOWN,UNKNOWN,PORTUGAL,EUROPEAN UNION,Shrimp equivalents,407826.6,68.627076923077
2017,ARGENTINA,COMODORO RIVADAVIA,UNKNOWN,UNKNOWN,RUSSIAN FEDERATION,RUSSIAN FEDERATION,Shrimp equivalents,663979.04,96.216
2014,ARGENTINA,COMODORO RIVADAVIA,UNKNOWN,UNKNOWN,SOUTH AFRICA,SOUTH AFRICA,Shrimp equivalents,154800,24
2015,ARGENTINA,COMODORO RIVADAVIA,UNKNOWN,UNKNOWN,SOUTH AFRICA,SOUTH AFRICA,Shrimp equivalents,134436,24.372
2017,ARGENTINA,COMODORO RIVADAVIA,UNKNOWN,UNKNOWN,SPAIN,EUROPEAN UNION,Shrimp equivalents,505743.18,70.998
2015,ARGENTINA,COMODORO RIVADAVIA,UNKNOWN,UNKNOWN,THAILAND,THAILAND,Shrimp equivalents,168000,24
2017,ARGENTINA,COMODORO RIVADAVIA,UNKNOWN,UNKNOWN,THAILAND,THAILAND,Shrimp equivalents,273662.28,42.6249138461538
2015,ARGENTINA,COMODORO RIVADAVIA,UNKNOWN,UNKNOWN,URUGUAY,URUGUAY,Shrimp equivalents,103468.8,16.6616425120773
2017,ARGENTINA,COMODORO RIVADAVIA,UNKNOWN,UNKNOWN,VIETNAM,VIETNAM,Shrimp equivalents,160920,21.6
2014,ARGENTINA,COMODORO RIVADAVIA,YUKEN S.A.,YUKEN S.A.,DENMARK,EUROPEAN UNION,Shrimp equivalents,122314.8,19.68
2014,ARGENTINA,COMODORO RIVADAVIA,YUKEN S.A.,YUKEN S.A.,SPAIN,EUROPEAN UNION,Shrimp equivalents,139446,22.008
2013,ARGENTINA,DIAMANTE,TRANSPORTE PABLO ARIEL SRL,TRANSPORTE PABLO ARIEL SRL,BOLIVIA,BOLIVIA,Shrimp equivalents,4222.8,3.603
2014,ARGENTINA,DIAMANTE,TRANSPORTE PABLO ARIEL SRL,TRANSPORTE PABLO ARIEL SRL,BOLIVIA,BOLIVIA,Shrimp equivalents,24507.3,11.838
2015,ARGENTINA,DIAMANTE,TRANSPORTE PABLO ARIEL SRL,TRANSPORTE PABLO ARIEL SRL,BOLIVIA,BOLIVIA,Shrimp equivalents,84723.6,17.4296
2017,ARGENTINA,DIAMANTE,TRANSPORTE PABLO ARIEL SRL,TRANSPORTE PABLO ARIEL SRL,BOLIVIA,BOLIVIA,Shrimp equivalents,74107.2,16.5230769230769
2014,ARGENTINA,DIAMANTE,TRANSPORTE PABLO ARIEL SRL,TRANSPORTE PABLO ARIEL SRL,BRAZIL,BRAZIL,Shrimp equivalents,14430,5.064
2014,ARGENTINA,DIAMANTE,TRANSPORTE PABLO ARIEL SRL,TRANSPORTE PABLO ARIEL SRL,COLOMBIA,COLOMBIA,Shrimp equivalents,238517.4,53.6777142857143
2015,ARGENTINA,DIAMANTE,TRANSPORTE PABLO ARIEL SRL,TRANSPORTE PABLO ARIEL SRL,COLOMBIA,COLOMBIA,Shrimp equivalents,70752,16.08
2017,ARGENTINA,DIAMANTE,TRANSPORTE PABLO ARIEL SRL,TRANSPORTE PABLO ARIEL SRL,COLOMBIA,COLOMBIA,Shrimp equivalents,107940,19.7409230769231
2014,ARGENTINA,DIAMANTE,TRANSPORTE PABLO ARIEL SRL,TRANSPORTE PABLO ARIEL SRL,EGYPT,EGYPT,Shrimp equivalents,193443.36,36.2693485714286
2014,ARGENTINA,DIAMANTE,TRANSPORTE PABLO ARIEL SRL,TRANSPORTE PABLO ARIEL SRL,PARAGUAY,PARAGUAY,Shrimp equivalents,1630.8,0.504
2014,ARGENTINA,DIAMANTE,TRANSPORTE PABLO ARIEL SRL,TRANSPORTE PABLO ARIEL SRL,SPAIN,EUROPEAN UNION,Shrimp equivalents,183622.08,44.22
2013,ARGENTINA,DIAMANTE,TRANSPORTE PABLO ARIEL SRL,TRANSPORTE PABLO ARIEL SRL,URUGUAY,URUGUAY,Shrimp equivalents,1992,1.44
2014,ARGENTINA,DIAMANTE,TRANSPORTE PABLO ARIEL SRL,TRANSPORTE PABLO ARIEL SRL,URUGUAY,URUGUAY,Shrimp equivalents,2467.5,0.705
2015,ARGENTINA,DIAMANTE,TRANSPORTE PABLO ARIEL SRL,TRANSPORTE PABLO ARIEL SRL,URUGUAY,URUGUAY,Shrimp equivalents,5551.2,1.608
2017,ARGENTINA,DIAMANTE,TRANSPORTE PABLO ARIEL SRL,TRANSPORTE PABLO ARIEL SRL,URUGUAY,URUGUAY,Shrimp equivalents,19891.2,2.616
2014,ARGENTINA,EZEIZA,ARBUMASA SA.,ARBUMASA SA.,JAPAN,JAPAN,Shrimp equivalents,26,0.004
2013,ARGENTINA,EZEIZA,CABO VIRGENES S.R.L.,CABO VIRGENES S.R.L.,CANADA,CANADA,Shrimp equivalents,39,0.006
2014,ARGENTINA,EZEIZA,CABO VIRGENES S.R.L.,CABO VIRGENES S.R.L.,CHINA (HONG KONG),CHINA (HONG KONG),Shrimp equivalents,84,0.012
2015,ARGENTINA,EZEIZA,CABO VIRGENES S.R.L.,CABO VIRGENES S.R.L.,FRANCE,EUROPEAN UNION,Shrimp equivalents,64,0.0128
2014,ARGENTINA,EZEIZA,CHIARCO SA,CHIARCO SA,COLOMBIA,COLOMBIA,Shrimp equivalents,15,0.002
2014,ARGENTINA,EZEIZA,COAST FISH S R L,COAST FISH S R L,SWITZERLAND,SWITZERLAND,Shrimp equivalents,31.5,0.006
2015,ARGENTINA,EZEIZA,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,COMERCIALIZADORA INTERIOR DE LA PATAGONIA AUSTRAL S R L,UNITED STATES,UNITED STATES,Shrimp equivalents,24.92,0.0032
2014,ARGENTINA,EZEIZA,COMPANIA DE INDIAS S A,COMPANIA DE INDIAS S A,CANADA,CANADA,Shrimp equivalents,30,0.006
2014,ARGENTINA,EZEIZA,CONARPESA CONTINENTAL ARMADORES DE PESCA SA.,CONARPESA CONTINENTAL ARMADORES DE PESCA SA.,CHINA (HONG KONG),CHINA (HONG KONG),Shrimp equivalents,404.4,0.0568
2015,ARGENTINA,EZEIZA,CONARPESA CONTINENTAL ARMADORES DE PESCA SA.,CONARPESA CONTINENTAL ARMADORES DE PESCA SA.,UNITED STATES,UNITED STATES,Shrimp equivalents,66.4,0.0106924315619968
2014,ARGENTINA,EZEIZA,FOOD PARTNERS PATAGONIA S A,FOOD PARTNERS PATAGONIA S A,BELGIUM,EUROPEAN UNION,Shrimp equivalents,38,0.008
